sample_id,physical_scenario_id,split,category,truth_topology_id,case_seed,main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm,parameter_domain_truth,parameter_vector_hash,noiseless_cfr_hash,observation_hash,experiment_hash,calibration_hash
r21_independent35_boundary_lower_01,r21_independent35_boundary_lower_01,independent35,boundary_lower,R21C_011,710865097,0.951,1.02514164741835,0.946685571948353,47.5380346120008,50.6888855758757,in_domain,3ba5d5b8b0c1b07c0d80a06b66dec27a64ca22e48b815464b1c311e8b821d4a2,a112b0cd06733793c6b138b361b9a4dc9b6c29389408a5edef19a8970ac10474,6a0de97e7e8e46dc421b9889a2107b6368d86aa2dce71440dedd447b7c984883,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_boundary_lower_02,r21_independent35_boundary_lower_02,independent35,boundary_lower,R21C_012,727642716,0.951,1.00038896437511,0.962399849125527,53.622307858569,46.8378578171162,in_domain,e7a83071acc9247eb1d5fe92ddfba9b0b999beaa4ee364900bb4566454f3b100,9be10fafa6312a34135da118b030e78f286d5c3caba3b43704abc349b0d7fd70,ce8a6008d7e0324d2f6c8d45595f317da5312ee04213211d68bc69e093036dc5,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_boundary_lower_03,r21_independent35_boundary_lower_03,independent35,boundary_lower,R21C_013,744420335,0.951,0.990784565275545,0.882628066401178,51.0373482796079,51.3558644223723,in_domain,cf9bee6c14e615ac693d59d293a71625ca06bb34c8b4bb3a5a22e4474900ee00,3ec8ce1b67fa4b533c5e1ca59a7532567533d1785a62350148e4147f39877958,55634a5d681cb66106804bf52e417caf08754689ef914a9efd5d1b900e156fcc,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_boundary_lower_04,r21_independent35_boundary_lower_04,independent35,boundary_lower,R21C_014,626977002,0.951,1.02820596818483,0.965766717452009,49.8515367602053,46.3150758540337,in_domain,2229799100208a9566c9d265cbe46a7d333fe65da71b4a8a9dc1765d84171b63,1439bd66e9454dc8680cd58eccb237121997d48a7e4b334c934803eda718d93e,ad98432070bb62364e11f675361964126287db0e3300f01e249d8492dc45e643,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_boundary_lower_05,r21_independent35_boundary_lower_05,independent35,boundary_lower,R21C_015,643754621,0.951,0.961360360081297,1.06736902475963,47.5048706465849,52.7572735090146,in_domain,0ad5dd64ef08549488278e8fb5b3a5ed35368ba8dfa54f83057717b5e594c9ad,126d8444c96f573d2a851f469ebd29f595f0327fb4024864466c20ce0a3543e2,1925be95f4bd131070a692ee8e822ffdb2be8c8541547ee635278c507cd73170,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_boundary_upper_01,r21_independent35_boundary_upper_01,independent35,boundary_upper,R21C_016,822601924,1.049,1.03043848446259,0.875515604785079,49.1575876277169,48.2626683893826,in_domain,d419ef985119e148fa219799b324d04ecb9fd20ea3fc2a80894f86cf3670c250,ad7eb9fc3ca953adb7f3e21ab4aed4424775836f3591f8f22bb8a178805d0f42,2a5627768acd2aa2ae4a855dc2171bc600f40f57c269525fb2fcf547f2fa4f2b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_boundary_upper_02,r21_independent35_boundary_upper_02,independent35,boundary_upper,R21C_017,772269067,1.049,0.974942465821718,0.976845141845047,48.2477975212378,51.0374785023476,in_domain,eff92d8ecaac30d63b06711b3937ba23e1eed607f56449e652c309f582e7657d,ba11921632a6fd3573d80781ff02d711decfbf0579748b55cd0b861f276dee59,73fc1d477dd2f0a0a593481ff56499b218ba94401a52c88b14d916a13f3178c6,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_boundary_upper_03,r21_independent35_boundary_upper_03,independent35,boundary_upper,R21C_018,789046686,1.049,0.998228366792795,1.14198817288046,46.2027359741074,47.9910314927362,in_domain,b76eae31e403416d41c26c3fea50b6ce6de5de85fa68e4b231a2e9423b002864,17f1b44773019295e49d4fb3ad50f5193300ca436fae50fcdfdeaa643ef87f7e,8bacf692bb7a3d147a9ec2f76e2f7d8afb2a62b7a26c3cb91eb53903a8fc43d0,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_boundary_upper_04,r21_independent35_boundary_upper_04,independent35,boundary_upper,R21C_019,872934781,1.049,1.02199525375813,0.91866814295303,47.4746365986966,51.6278514543963,in_domain,0f0dd2a19ead05c39fe6b4c00fb52ed449e654be1553234728476b7308b5f8a6,0a4d80a45b0c4634475f2322238d68245bff7ed09fd192dcc8b3350b91b19425,0627ebfda1bf22c61bb4cb9b158b6bb7ac49e829cd43ec3846c1f240125b86d0,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_boundary_upper_05,r21_independent35_boundary_upper_05,independent35,boundary_upper,R21C_020,889712400,1.049,1.02702595723515,0.957618931746141,51.9911028403635,53.2616761995013,in_domain,46a2b6cee13b440442bcdd82ebdc650ecab67762e4c07814bd6502a4cdc5e748,e9d5d42e4cd3064813a5ff626fec670d29cdc8228f596f0043d8281df1460830,1402bb6bdba66a3c44604bd7f805327ba9bb061e2974cd5fa42108fde817d1c5,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_parameter_ood_near_01,r21_independent35_parameter_ood_near_01,independent35,parameter_ood_near,R21C_021,755932088,1.1,0.975752362798407,1.0206707735256,46.8687526421761,48.3183023155967,out_of_domain,d445d5a1e484441ec3ceb5aac01b457634202a29ff00c8a367559ed4ee57d277,761ebcab02981af276fc4ac8946bed38a68b722cee592014bcd388b1c435b392,78e3746cf437798ef13de7669ac9bb7c2b34d5b240043634e2c20a81ded4c3ad,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_parameter_ood_near_02,r21_independent35_parameter_ood_near_02,independent35,parameter_ood_near,R21C_022,739154469,1.1,1.03976081783517,0.890720811372783,49.4928911269191,53.2742751864178,out_of_domain,2fb6d6875b2a6deaa7b49be93d1014d5f8073094daa748ae2b100d05e9a02125,836d1131251f229795dc72cca8192ee2cb245f26684a4a6285ce5b8d81cf46ce,85e9795b110b9ecbcb9c7fe8540c051c16d15e2e5e581da8d4d1bcb1885ccb90,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_parameter_ood_near_03,r21_independent35_parameter_ood_near_03,independent35,parameter_ood_near,R21C_023,722376850,1.1,1.02500858357308,1.04895692881727,47.0380248576955,49.292676462187,out_of_domain,7aa03fc3152f41b1b1fe441cd519f303a8c2872f0cdae0a001f0b85491e50696,f7239a82ac44a1ad55c4b74e2d2f7cc65306cbc7709bfcb87ef7417f260e11cf,02388e331a5048a8e526a48c69bd5cf4c301cc0c21bd262ca1f52f0dfcabafaa,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_parameter_ood_near_04,r21_independent35_parameter_ood_near_04,independent35,parameter_ood_near,R21C_024,705599231,1.1,0.999857193532533,1.12583301777511,53.9953325896439,49.3094868331458,out_of_domain,b196d335125d94cba9e7e71383b7cb417e2c1b379f0a62440d658fbddf091514,1b3e1e893b267966c93f80b05cdeb303055047c00e167a55bcef07d4962e3ca0,aae073808c10db4d54f47c1a7e02d5d1cbf7c01f97fb2df9cebb9983a14b390e,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_parameter_ood_near_05,r21_independent35_parameter_ood_near_05,independent35,parameter_ood_near,R21C_025,688821612,1.1,1.01116877014679,1.14168019144113,48.2334820638319,52.9058608443802,out_of_domain,9bd6a256b4ae13c0acdd1e28d9e5445182c05cfb2e27ca18dbd88cd36759b009,92fd6304d5038632caee5317799501f3078c9e0eb7ee35ffe4df879b1d6d14c2,b235a7b4f695229051ce3ab6647b79bbe4e45845195811ffdeebcedddafbaf17,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_parameter_ood_medium_01,r21_independent35_parameter_ood_medium_01,independent35,parameter_ood_medium,R21C_026,573945779,1.3,1.02445814281729,1.0202869097548,49.5937138573707,48.4053664060508,out_of_domain,4917fb5eb63c5b911c31e16508259acdc35fbf13628e2033e3c007430f695a86,971bcc11d76a39de4906d5c45cd1563411fb8dc7135acbc7f32d0972d414468a,4fb371ae7d55ea14580695378a3e2065de317264d62f11d003c6992d8c3c0d2d,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_parameter_ood_medium_02,r21_independent35_parameter_ood_medium_02,independent35,parameter_ood_medium,R21C_027,624278636,1.3,0.99579359166122,1.07468554716563,53.4476034115153,52.9459463517698,out_of_domain,a9e977dddec249a8d2739aac1fcb949517ba389eb297214c5bff4c5825b98780,f64f2dc6491997444977c5d8b9fea451b59c7ed7dda55873b0c8fd7ffd592412,62ae87ab56867f05380539f06b4759dfaebb970bbf2d9edee72ac9fec93fd258,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_parameter_ood_medium_03,r21_independent35_parameter_ood_medium_03,independent35,parameter_ood_medium,R21C_028,607501017,1.3,1.0069289269761,1.07494010826276,48.3273965444036,51.0543928909141,out_of_domain,96a6d40e1d58f4d74296bd78109b0afbe5cf63ec2935921e0538e030268ce5c2,465168fea065ddf1cf2f997984dd3e968a34898c420cb30d7ad7c44f67b1c81f,b8b8d3eea981db207c422772c4b803415ff038b57a30d508194f03c261cb0101,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_parameter_ood_medium_04,r21_independent35_parameter_ood_medium_04,independent35,parameter_ood_medium,R21C_029,657833874,1.3,0.997234449070714,1.02373879499578,52.8632509451151,51.8124221428049,out_of_domain,cf3ed16ed5c14863f274af5c951681614ca747b9b9d34756f061c9902c549885,588bf2a9285fd2d104eb6ad55395bb77dff035e16810948bc69bfee2778f73e6,3d6ce35c3bb2aacde4400c901137e29da7bbaad161bbd35dded2ae1758d2b25d,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_parameter_ood_medium_05,r21_independent35_parameter_ood_medium_05,independent35,parameter_ood_medium,R21C_030,641056255,1.3,0.976254403628208,1.13612643581723,53.8999129240285,49.2348077325111,out_of_domain,bb3f56382f964ee5195673f92e181aa4c4899ff13d6efa8e246f26c17ba19293,5d0d84e9772a7a8e7d5964ea9f881348c5bfaee18f65341a894883844a16fc8c,480e6157b1677e0024f41832b383a375e9b1cb26d96b377fcdd66fce2b12d866,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_parameter_ood_far_01,r21_independent35_parameter_ood_far_01,independent35,parameter_ood_far,R21C_031,129760782,1.6,1.00609239329227,1.05971185698585,51.0620891528418,47.9374364891068,out_of_domain,8e2846e6a05f04f1082d761de97cd75eea5a0acd604c81fa5f57879f2f082f7a,89d6c1e96a833467dedc9ce15e67bc4e3844c83e43efeb0b488b6a6f7c80c63c,a5bf4091df50bf7881aa94f488b1e9d13d043b2fdf19a2f25c3e5eaceaf9a318,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_parameter_ood_far_02,r21_independent35_parameter_ood_far_02,independent35,parameter_ood_far,R21C_032,79427925,1.6,1.03040667527423,1.10432217797669,48.3512310202476,49.5058195104536,out_of_domain,5f05658b96dc825c768cbbcbedbe296bc585396306d7ecd3d9385d508d6be808,76b25834bc7391baaffd15cdb11929cd24b34f2f21284b0febaad390dabb1990,812ece042fa422df95f2bfb0fd09810e00dbfe75fabbf345be8206887ac3e6a6,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_parameter_ood_far_03,r21_independent35_parameter_ood_far_03,independent35,parameter_ood_far,R21C_033,96205544,1.6,0.980764957484425,0.899787598479685,53.8847357214717,52.1610517491781,out_of_domain,eb80876e1857e791497c8d35f0481c49783818ce8350fc8be0feb30582e49c92,da22bba2503d31da5c4c419f8a6be48c1413e68ed89ff3b1ca74b575efd01a3b,35258583cc18c1a39fa97615875cf304f48e90bb7094db823139f4549b8027c3,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_parameter_ood_far_04,r21_independent35_parameter_ood_far_04,independent35,parameter_ood_far,R21C_034,180093639,1.6,0.995535873190529,0.865771615808396,46.9090724681255,50.6846701130707,out_of_domain,f53f069127b68e5b95fef0c3f53ff2322d1477b038106adcd620e686ea2f7cf2,a2bdf3965343f156450b126033157b136926589fae940133755bc5746b8082e4,b1cc602814819bc503bd53425061d1777b82dcd89b57be9d7fff59dbe28c8237,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r21_independent35_parameter_ood_far_05,r21_independent35_parameter_ood_far_05,independent35,parameter_ood_far,R21C_035,196871258,1.6,1.02122791524611,1.09222746639254,47.0192567624962,46.7999110444659,out_of_domain,7896377ebfda843ef496564ed4f3f7e0a03a63d7704519f08e7a37cbd9f89ff0,fc74ffa8c427aedafb50030e3f71f5423f054b89b600a6a5fc283d55e629ac58,d536b4516407f72aa51d845a0eafee46180d8961ab9a305c6d43953eeb3b6944,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
