sample_id,method_id,topology_status,topology_set,parameter_domain_status,profile_reliable,member_count,truth_free_best_distance,scientific_hash
final_s01_G001_main_length_scale_far_lower_02,A6_3_M1_boundary,unique_topology,"G006",parameter_out_suspected,0,1,0.454381494275501,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_main_length_scale_far_lower_02,A6_3_M2_profile,unique_topology,"G006",parameter_out_suspected,0,1,0.454381494275501,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_main_length_scale_far_lower_02,A6_3_M3_joint_diagnostic,unique_topology,"G006",parameter_domain_indeterminate,0,1,0.454381494275501,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_main_length_scale_far_upper_01,A6_3_M0_topology_only,equivalence_class,"G004,G007",parameter_not_evaluated,0,1,0.420874683432769,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_main_length_scale_far_upper_01,A6_3_M1_boundary,equivalence_class,"G004,G007",parameter_domain_indeterminate,0,1,0.420874683432769,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_main_length_scale_far_upper_01,A6_3_M2_profile,equivalence_class,"G004,G007",parameter_out_suspected,0,1,0.420874683432769,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_main_length_scale_far_upper_01,A6_3_M3_joint_diagnostic,equivalence_class,"G004,G007",parameter_domain_indeterminate,0,1,0.420874683432769,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_main_length_scale_far_upper_02,A6_3_M0_topology_only,equivalence_class,"G004,G007",parameter_not_evaluated,0,1,0.420874683432769,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_main_length_scale_far_upper_02,A6_3_M1_boundary,equivalence_class,"G004,G007",parameter_domain_indeterminate,0,1,0.420874683432769,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_main_length_scale_far_upper_02,A6_3_M2_profile,equivalence_class,"G004,G007",parameter_out_suspected,0,1,0.420874683432769,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_main_length_scale_far_upper_02,A6_3_M3_joint_diagnostic,equivalence_class,"G004,G007",parameter_domain_indeterminate,0,1,0.420874683432769,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_source_impedance_ohm_near_lower_01,A6_3_M0_topology_only,unique_topology,"G001",parameter_not_evaluated,1,1,0.0151271942222798,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_source_impedance_ohm_near_lower_01,A6_3_M1_boundary,unique_topology,"G001",parameter_out_suspected,1,1,0.0151271942222798,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_source_impedance_ohm_near_lower_01,A6_3_M2_profile,unique_topology,"G001",parameter_out_suspected,1,1,0.0151271942222798,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_source_impedance_ohm_near_lower_01,A6_3_M3_joint_diagnostic,unique_topology,"G001",parameter_domain_indeterminate,1,1,0.0151271942222798,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_source_impedance_ohm_near_lower_02,A6_3_M0_topology_only,unique_topology,"G001",parameter_not_evaluated,1,1,0.0151271942222798,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_source_impedance_ohm_near_lower_02,A6_3_M1_boundary,unique_topology,"G001",parameter_out_suspected,1,1,0.0151271942222798,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_source_impedance_ohm_near_lower_02,A6_3_M2_profile,unique_topology,"G001",parameter_out_suspected,1,1,0.0151271942222798,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_source_impedance_ohm_near_lower_02,A6_3_M3_joint_diagnostic,unique_topology,"G001",parameter_domain_indeterminate,1,1,0.0151271942222798,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_source_impedance_ohm_near_upper_01,A6_3_M0_topology_only,unique_topology,"G001",parameter_not_evaluated,1,1,0.0146094242676996,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_source_impedance_ohm_near_upper_01,A6_3_M1_boundary,unique_topology,"G001",parameter_in_domain,1,1,0.0146094242676996,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_source_impedance_ohm_near_upper_01,A6_3_M2_profile,unique_topology,"G001",parameter_out_suspected,1,1,0.0146094242676996,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_source_impedance_ohm_near_upper_01,A6_3_M3_joint_diagnostic,unique_topology,"G001",parameter_domain_indeterminate,1,1,0.0146094242676996,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_source_impedance_ohm_near_upper_02,A6_3_M0_topology_only,unique_topology,"G001",parameter_not_evaluated,1,1,0.0146094242676996,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_source_impedance_ohm_near_upper_02,A6_3_M1_boundary,unique_topology,"G001",parameter_in_domain,1,1,0.0146094242676996,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_source_impedance_ohm_near_upper_02,A6_3_M2_profile,unique_topology,"G001",parameter_out_suspected,1,1,0.0146094242676996,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
