case_id,expected_output_path,attempt_count,retry_count,final_status,runtime_s,error_identifier,error_message,checksum_valid,scientific_hash,source_tree_hash
cal_G002_010,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G002_010.mat,1,0,completed,0.802125,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G003_001,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G003_001.mat,1,0,completed,0.885934,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G003_002,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G003_002.mat,1,0,completed,0.879062,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G003_003,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G003_003.mat,1,0,completed,0.916506,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G003_004,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G003_004.mat,1,0,completed,0.908188,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G003_005,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G003_005.mat,1,0,completed,1.170188,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G003_006,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G003_006.mat,1,0,completed,0.912462,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G003_007,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G003_007.mat,1,0,completed,0.908883,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G003_008,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G003_008.mat,1,0,completed,0.843724,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G003_009,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G003_009.mat,1,0,completed,0.895738,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G003_010,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G003_010.mat,1,0,completed,0.860816,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G004_001,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G004_001.mat,1,0,completed,1.185795,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G004_002,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G004_002.mat,1,0,completed,1.064364,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G004_003,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G004_003.mat,1,0,completed,1.062919,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G004_004,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G004_004.mat,1,0,completed,1.054535,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G004_005,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G004_005.mat,1,0,completed,1.092636,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G004_006,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G004_006.mat,1,0,completed,1.101282,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G004_007,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G004_007.mat,1,0,completed,1.188852,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G004_008,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G004_008.mat,1,0,completed,1.129088,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G004_009,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G004_009.mat,1,0,completed,1.084402,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G004_010,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G004_010.mat,1,0,completed,1.056252,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G005_001,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G005_001.mat,1,0,completed,0.905755,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G005_002,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G005_002.mat,1,0,completed,0.801432,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G005_003,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G005_003.mat,1,0,completed,0.812758,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G005_004,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G005_004.mat,1,0,completed,0.870107,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G005_005,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G005_005.mat,1,0,completed,1.12008,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G005_006,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G005_006.mat,1,0,completed,0.828612,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G005_007,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G005_007.mat,1,0,completed,0.869939,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G005_008,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G005_008.mat,1,0,completed,0.791116,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G005_009,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G005_009.mat,1,0,completed,0.828688,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G005_010,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G005_010.mat,1,0,completed,0.801839,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G006_001,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G006_001.mat,1,0,completed,1.259341,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G006_002,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G006_002.mat,1,0,completed,1.016825,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G006_003,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G006_003.mat,1,0,completed,1.051291,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G006_004,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G006_004.mat,1,0,completed,1.04424,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G006_005,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G006_005.mat,1,0,completed,1.141558,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G006_006,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G006_006.mat,1,0,completed,1.152399,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G006_007,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G006_007.mat,1,0,completed,1.254138,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G006_008,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G006_008.mat,1,0,completed,1.051645,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G006_009,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G006_009.mat,1,0,completed,1.103751,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G006_010,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G006_010.mat,1,0,completed,1.087326,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
