sample_id,accepted_topology_id,accepted_member_count,evaluated_member_count,profile_status,profile_reliable,in_distance,ext_distance,parameter_domain_status,compatibility_hash,topology_calibration_hash,parameter_calibration_hash
r_pilot_G006_branch_length_scale_medium_lower_02,G006,1,1,reliable,1,0.054399817570093,3.11833094229974e-05,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G006_branch_load_scale_far_upper_03,G006,1,1,not_reliable,0,0.0133296641868911,0.0038319419541934,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G007_interior_01,G004,2,2,not_reliable,0,0.00158131384581934,0.00158131384581921,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G007_interior_01,G007,2,2,reliable,1,0.000153803645720662,9.42669248519197e-06,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G007_boundary_01,G004,2,2,not_reliable,0,0.000762680012685721,0.00076268001268581,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G007_boundary_01,G007,2,2,not_reliable,0,1.18526661871809e-05,1.18526661762287e-05,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G007_branch_length_scale_near_lower_01,G004,2,2,reliable,1,0.0094745467513218,0.000418453993659859,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G007_branch_length_scale_near_lower_01,G007,2,2,reliable,1,0.00945957719967728,8.03312511130785e-09,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G007_source_impedance_ohm_far_lower_03,G004,2,2,not_reliable,0,0.00405310114543064,0.00405310114543064,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G007_source_impedance_ohm_far_lower_03,G007,2,2,not_reliable,0,0.00319816883004166,0.00110949718673604,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
