stage,artifact,metric,canonical_value,reproduced_value,absolute_error,tolerance,match,notes
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_31.domain_accepted,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_31.candidate_set_size,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_31.best_candidate,S6A_0002,S6A_0002,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_31.best_is_truth,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_31.true_topology_in_candidate_set,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_31.margin,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_31.top1_confidence,0.341089013878509,0.341089013878509,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_31.normalized_entropy,0.917244017986561,0.917244017986561,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_31.decision_state,REJECTED,REJECTED,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_31.decision_reason,frozen_candidate_set_empty_or_rule_a_rejected,frozen_candidate_set_empty_or_rule_a_rejected,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_31.normalized_score_semantics,not_a_Bayesian_posterior,not_a_Bayesian_posterior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.sample,stale_switch_prior_snr_30_r02,stale_switch_prior_snr_30_r02,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.method,stale_switch_prior,stale_switch_prior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.snr_db,30,30,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.replicate,2,2,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.candidate_count,4,4,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.true_topology_included,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.domain_relative_distance,0.470976334198218,0.470976334198218,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.domain_threshold,0.340036070481076,0.340036070481076,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.domain_accepted,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.candidate_set_size,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.best_candidate,S6A_0002,S6A_0002,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.best_is_truth,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.true_topology_in_candidate_set,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.margin,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.top1_confidence,0.343519110486138,0.343519110486138,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.normalized_entropy,0.91741846974935,0.91741846974935,0E-14,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.decision_state,REJECTED,REJECTED,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.decision_reason,frozen_candidate_set_empty_or_rule_a_rejected,frozen_candidate_set_empty_or_rule_a_rejected,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_32.normalized_score_semantics,not_a_Bayesian_posterior,not_a_Bayesian_posterior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.sample,stale_switch_prior_snr_30_r03,stale_switch_prior_snr_30_r03,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.method,stale_switch_prior,stale_switch_prior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.snr_db,30,30,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.replicate,3,3,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.candidate_count,4,4,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.true_topology_included,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.domain_relative_distance,0.424557985019606,0.424557985019606,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.domain_threshold,0.340036070481076,0.340036070481076,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.domain_accepted,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.candidate_set_size,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.best_candidate,S6A_0002,S6A_0002,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.best_is_truth,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.true_topology_in_candidate_set,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.margin,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.top1_confidence,0.351500085597186,0.351500085597186,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.normalized_entropy,0.914374620331922,0.914374620331922,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.decision_state,REJECTED,REJECTED,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.decision_reason,frozen_candidate_set_empty_or_rule_a_rejected,frozen_candidate_set_empty_or_rule_a_rejected,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_33.normalized_score_semantics,not_a_Bayesian_posterior,not_a_Bayesian_posterior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.sample,stale_switch_prior_snr_15_r01,stale_switch_prior_snr_15_r01,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.method,stale_switch_prior,stale_switch_prior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.snr_db,15,15,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.replicate,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.candidate_count,4,4,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.true_topology_included,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.domain_relative_distance,0.486910518136724,0.486910518136724,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.domain_threshold,0.340036070481076,0.340036070481076,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.domain_accepted,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.candidate_set_size,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.best_candidate,S6A_0002,S6A_0002,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.best_is_truth,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.true_topology_in_candidate_set,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.margin,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.top1_confidence,0.35173701487744,0.35173701487744,0E-14,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.normalized_entropy,0.905667682018819,0.905667682018819,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.decision_state,REJECTED,REJECTED,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.decision_reason,frozen_candidate_set_empty_or_rule_a_rejected,frozen_candidate_set_empty_or_rule_a_rejected,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_34.normalized_score_semantics,not_a_Bayesian_posterior,not_a_Bayesian_posterior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.sample,stale_switch_prior_snr_15_r02,stale_switch_prior_snr_15_r02,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.method,stale_switch_prior,stale_switch_prior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.snr_db,15,15,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.replicate,2,2,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.candidate_count,4,4,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.true_topology_included,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.domain_relative_distance,0.439182041968101,0.439182041968101,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.domain_threshold,0.340036070481076,0.340036070481076,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.domain_accepted,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.candidate_set_size,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.best_candidate,S6A_0002,S6A_0002,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.best_is_truth,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.true_topology_in_candidate_set,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.margin,2.77555756156289e-17,2.77555756156289e-17,0E-31,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.top1_confidence,0.349647058888412,0.349647058888412,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.normalized_entropy,0.903250070361193,0.903250070361193,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.decision_state,REJECTED,REJECTED,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.decision_reason,frozen_candidate_set_empty_or_rule_a_rejected,frozen_candidate_set_empty_or_rule_a_rejected,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_35.normalized_score_semantics,not_a_Bayesian_posterior,not_a_Bayesian_posterior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.sample,stale_switch_prior_snr_15_r03,stale_switch_prior_snr_15_r03,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.method,stale_switch_prior,stale_switch_prior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.snr_db,15,15,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.replicate,3,3,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.candidate_count,4,4,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.true_topology_included,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.domain_relative_distance,0.472223407964049,0.472223407964049,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.domain_threshold,0.340036070481076,0.340036070481076,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.domain_accepted,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.candidate_set_size,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.best_candidate,S6A_0002,S6A_0002,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.best_is_truth,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.true_topology_in_candidate_set,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.margin,2.77555756156289e-17,2.77555756156289e-17,0E-31,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.top1_confidence,0.344316682714919,0.344316682714919,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.normalized_entropy,0.914409831970302,0.914409831970302,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.decision_state,REJECTED,REJECTED,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.decision_reason,frozen_candidate_set_empty_or_rule_a_rejected,frozen_candidate_set_empty_or_rule_a_rejected,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_36.normalized_score_semantics,not_a_Bayesian_posterior,not_a_Bayesian_posterior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_1.method,existing_library,existing_library,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_1.sample_count,9,9,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_1.true_topology_included,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_1.unique_confident_count,9,9,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_1.multiple_ambiguous_count,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_1.rejected_count,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_1.low_confidence_count,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_1.best_truth_count,9,9,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_1.true_in_candidate_set_count,9,9,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_1.correct_unique_confident_count,9,9,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_2.method,broad_unknown_switches,broad_unknown_switches,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_2.sample_count,9,9,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_2.true_topology_included,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_2.unique_confident_count,8,8,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_2.multiple_ambiguous_count,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_2.rejected_count,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_2.low_confidence_count,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_2.best_truth_count,9,9,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_2.true_in_candidate_set_count,8,8,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_2.correct_unique_confident_count,8,8,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_3.method,informative_switch_prior,informative_switch_prior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_3.sample_count,9,9,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_3.true_topology_included,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_3.unique_confident_count,7,7,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_3.multiple_ambiguous_count,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_3.rejected_count,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_3.low_confidence_count,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_3.best_truth_count,9,9,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_3.true_in_candidate_set_count,8,8,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_3.correct_unique_confident_count,7,7,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_4.method,stale_switch_prior,stale_switch_prior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_4.sample_count,9,9,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_4.true_topology_included,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_4.unique_confident_count,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_4.multiple_ambiguous_count,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_4.rejected_count,9,9,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_4.low_confidence_count,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_4.best_truth_count,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_4.true_in_candidate_set_count,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_metrics.csv,row_4.correct_unique_confident_count,0,0,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_1.sample,wrong_open_rate_00_r01,wrong_open_rate_00_r01,,exact,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_1.error_type,wrong_open,wrong_open,,exact,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_1.prior_error_rate,0,0,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_1.prior_error_applied,0,0,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_1.candidate_count,7,7,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_1.coverage,1,1,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_1.false_unique,0,0,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_1.decision_state,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,,exact,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_1.best_is_truth,1,1,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_1.candidate_set_size,1,1,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_1.distance,0.0792347199039487,0.0792347199039487,0E-16,1E-12,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_1.margin,0.0696747936473384,0.0696747936473384,0E-16,1E-12,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_1.confidence,0.570953586829378,0.570953586829378,0E-15,1E-12,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_1.entropy,0.728360587941667,0.728360587941667,0E-15,1E-12,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_2.sample,wrong_open_rate_00_r02,wrong_open_rate_00_r02,,exact,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_2.error_type,wrong_open,wrong_open,,exact,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_2.prior_error_rate,0,0,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_2.prior_error_applied,0,0,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_2.candidate_count,7,7,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_2.coverage,1,1,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_2.false_unique,0,0,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_2.decision_state,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,,exact,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_2.best_is_truth,1,1,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_2.candidate_set_size,1,1,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_2.distance,0.0513834800138353,0.0513834800138353,0E-16,1E-12,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_2.margin,0.0760387826379456,0.0760387826379456,0E-16,1E-12,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_2.confidence,0.621331646772548,0.621331646772548,0E-15,1E-12,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_2.entropy,0.670645838396023,0.670645838396023,0E-15,1E-12,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_3.sample,wrong_open_rate_00_r03,wrong_open_rate_00_r03,,exact,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_3.error_type,wrong_open,wrong_open,,exact,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_3.prior_error_rate,0,0,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_3.prior_error_applied,0,0,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_3.candidate_count,7,7,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_3.coverage,1,1,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_3.false_unique,0,0,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_3.decision_state,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,,exact,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_3.best_is_truth,1,1,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_3.candidate_set_size,1,1,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_3.distance,0.0415633809522706,0.0415633809522706,0E-16,1E-12,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_3.margin,0.0872205228578252,0.0872205228578252,0E-16,1E-12,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_3.confidence,0.691808108506053,0.691808108506053,0E-15,1E-12,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_3.entropy,0.586481266342207,0.586481266342207,0E-15,1E-12,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_4.sample,wrong_open_rate_00_r04,wrong_open_rate_00_r04,,exact,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_4.error_type,wrong_open,wrong_open,,exact,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_4.prior_error_rate,0,0,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_4.prior_error_applied,0,0,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_4.candidate_count,7,7,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_4.coverage,1,1,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_4.false_unique,0,0,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_4.decision_state,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,,exact,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_4.best_is_truth,1,1,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_4.candidate_set_size,1,1,0,0,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_4.distance,0.0746569708423328,0.0746569708423328,0E-16,1E-12,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_4.margin,0.0682941231167685,0.0682941231167685,0E-16,1E-12,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_4.confidence,0.565255278820857,0.565255278820857,0E-15,1E-12,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_4.entropy,0.732632712401582,0.732632712401582,0E-15,1E-12,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_5.sample,wrong_open_rate_00_r05,wrong_open_rate_00_r05,,exact,true,ordered row and column comparison
stage6b,results/data/stage6b/stage6b_prior_sensitivity.csv,row_5.error_type,wrong_open,wrong_open,,exact,true,ordered row and column comparison
