method_id,threshold_name,value,calibration_count,calibration_hash,status
M3_frozen,residual_threshold,0.217035453425043,140,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,calibrated
M3_frozen,margin_threshold,0.00528502065108969,140,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,calibrated
W_GLRT_compatible,weighted_residual_threshold,2612171.92346452,140,02c1a24559b840c2e494c69fa392c36709e140390ab798b694fc3a22a59e4869,calibrated_explicit_noise_scale
C_set,alpha,0.05,140,1d8de81603fc81f4cf48ebfb3a2161bf33b55076f5aaff190ecd727acc803365,calibrated
