sample_id,method_id,decision,decision_reason,ranked_candidates,accepted_candidate_set,accepted_candidate_count,best_topology_id,best_residual,second_residual,noise_whitened_residual,margin,rho,stability,p_values,indistinguishability_component_count,calibration_hash,candidate_generation_hash,compatibility_hash
stage4a7_1_pilot_0005,M0_min_residual,equivalence_class,minimum exact composite residual; no rejection,"G005,G002,G006,G007,G004,G003,G001","G002,G005",2,G005,0.0593878617095675,0.110547026290285,NaN,0.0511591645807175,0.537218084483647,1,,NaN,not_applicable,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0005,M3_frozen,equivalence_class,best observation class has multiple members,"G005,G002,G006,G007,G004,G003,G001","G002,G005",2,G005,0.0593878617095675,0.110547026290285,NaN,0.0511591645807175,0.537218084483647,1,,NaN,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0005,W_GLRT_compatible,equivalence_class,GLRT-compatible weighted residual rank under explicit frozen covariance scale,"G005,G002,G006,G007,G004,G003,G001","G002,G005",2,G005,0.0593878617095675,0.110547026290285,215142.005224518,0.0511591645807175,0.537218084483647,1,,NaN,02c1a24559b840c2e494c69fa392c36709e140390ab798b694fc3a22a59e4869,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0005,C_set,ambiguous_candidate_set,class-conditional empirical calibration set,"G005,G002,G006,G007,G004,G003,G001","G001,G002,G003,G004,G005,G006,G007",7,G005,0.0593878617095675,0.110547026290285,NaN,0.0511591645807175,0.537218084483647,1,G001:0.38095238095238093;G002:0.76190476190476186;G003:0.52380952380952384;G004:0.42857142857142855;G005:0.76190476190476186;G006:0.42857142857142855;G007:0.2857142857142857,NaN,1d8de81603fc81f4cf48ebfb3a2161bf33b55076f5aaff190ecd727acc803365,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0005,C_set_plus_I,ambiguous_candidate_set,empirical candidate set with calibrated residual-indistinguishability audit,"G005,G002,G006,G007,G004,G003,G001","G001,G002,G003,G004,G005,G006,G007",7,G005,0.0593878617095675,0.110547026290285,NaN,0.0511591645807175,0.537218084483647,1,G001:0.38095238095238093;G002:0.76190476190476186;G003:0.52380952380952384;G004:0.42857142857142855;G005:0.76190476190476186;G006:0.42857142857142855;G007:0.2857142857142857,6,1d8de81603fc81f4cf48ebfb3a2161bf33b55076f5aaff190ecd727acc803365,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0006,M0_min_residual,equivalence_class,minimum exact composite residual; no rejection,"G002,G005,G006,G007,G004,G003,G001","G002,G005",2,G002,0,0.0966310350221523,NaN,0.0966310350221523,0,1,,NaN,not_applicable,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0006,M3_frozen,equivalence_class,best observation class has multiple members,"G002,G005,G006,G007,G004,G003,G001","G002,G005",2,G002,0,0.0966310350221523,NaN,0.0966310350221523,0,1,,NaN,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0006,W_GLRT_compatible,equivalence_class,GLRT-compatible weighted residual rank under explicit frozen covariance scale,"G002,G005,G006,G007,G004,G003,G001","G002,G005",2,G002,0,0.0966310350221523,0,0.0966310350221523,0,1,,NaN,02c1a24559b840c2e494c69fa392c36709e140390ab798b694fc3a22a59e4869,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0006,C_set,ambiguous_candidate_set,class-conditional empirical calibration set,"G002,G005,G006,G007,G004,G003,G001","G001,G002,G003,G004,G005,G006,G007",7,G002,0,0.0966310350221523,NaN,0.0966310350221523,0,1,G001:0.52380952380952384;G002:1;G003:0.5714285714285714;G004:0.47619047619047616;G005:1;G006:0.52380952380952384;G007:0.33333333333333331,NaN,1d8de81603fc81f4cf48ebfb3a2161bf33b55076f5aaff190ecd727acc803365,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0006,C_set_plus_I,ambiguous_candidate_set,empirical candidate set with calibrated residual-indistinguishability audit,"G002,G005,G006,G007,G004,G003,G001","G001,G002,G003,G004,G005,G006,G007",7,G002,0,0.0966310350221523,NaN,0.0966310350221523,0,1,G001:0.52380952380952384;G002:1;G003:0.5714285714285714;G004:0.47619047619047616;G005:1;G006:0.52380952380952384;G007:0.33333333333333331,5,1d8de81603fc81f4cf48ebfb3a2161bf33b55076f5aaff190ecd727acc803365,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
