scheme,flow,truth_id,best_candidate,candidate_set,set_size,state,reason,noise_seed,correct_unique,false_unique,distance_1,distance_2,margin,fit_statistic,fit_threshold
H50,B,T5,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209300003,0,0,1.0856600502761,1.0856600502761,0,0.945484988442307,Inf
H50,C_control,T5,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209300003,0,0,1.0856600502761,1.0856600502761,0,0.945484988442307,Inf
Zin50,A,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100001,0,0,1.04572104392144,1.04572628295516,5.23903371663081e-06,1.04572104392144,Inf
Zin50,B,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100001,0,0,1.08087853329121,1.08088381719942,5.28390821319391e-06,1.00406548021932,Inf
Zin50,C_control,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100001,0,0,1.08087853329121,1.08088381719942,5.28390821319391e-06,1.00406548021932,Inf
Zin50,A,T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100002,0,0,1.04567432027553,1.04568571186018,1.13915846540191e-05,1.04567432027553,Inf
Zin50,B,T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100002,0,0,1.08931742980703,1.08933716012631,1.97303192785991e-05,0.958076197969331,Inf
Zin50,C_control,T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100002,0,0,1.08931742980703,1.08933716012631,1.97303192785991e-05,0.958076197969331,Inf
Zin50,A,T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100003,0,0,1.04311978368014,1.04312974796486,9.96428472244126e-06,1.04311978368014,Inf
Zin50,B,T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100003,0,0,1.0601428307251,1.06015533432873,1.25036036264792e-05,1.01238145462431,Inf
Zin50,C_control,T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100003,0,0,1.0601428307251,1.06015533432873,1.25036036264792e-05,1.01238145462431,Inf
Zin50,A,T4_NEAR_T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209200001,0,0,1.0406502820139,1.04065063265076,3.50636853996278e-07,1.0406502820139,Inf
Zin50,B,T4_NEAR_T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209200001,0,0,1.04417363817234,1.04418728151402,1.36433416735304e-05,1.05089370097668,Inf
Zin50,C_control,T4_NEAR_T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209200001,0,0,1.04417363817234,1.04418728151402,1.36433416735304e-05,1.05089370097668,Inf
Zin50,A,T4_NEAR_T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209200002,0,0,0.906893207299331,0.906912976188185,1.97688888540215e-05,0.906893207299331,Inf
Zin50,B,T4_NEAR_T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209200002,0,0,0.92630213565936,0.926313668324715,1.15326653541414e-05,0.87084840153681,Inf
Zin50,C_control,T4_NEAR_T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209200002,0,0,0.92630213565936,0.926313668324715,1.15326653541414e-05,0.87084840153681,Inf
Zin50,A,T4_NEAR_T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209200003,0,0,0.978886211219582,0.978908119828145,2.19086085631037e-05,0.978886211219582,Inf
Zin50,B,T4_NEAR_T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209200003,0,0,0.995142711162964,0.995162713175951,2.00020129872414e-05,0.948542639696921,Inf
Zin50,C_control,T4_NEAR_T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209200003,0,0,0.995142711162964,0.995162713175951,2.00020129872414e-05,0.948542639696921,Inf
Zin50,A,T5,T5,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209300001,0,0,0.97023741568703,287.867883910123,286.897646494436,0.97023741568703,Inf
Zin50,B,T5,T5,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209300001,0,0,0.939864412795007,306.023106421954,305.083242009159,1.03466134210534,Inf
Zin50,C_control,T5,T5,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209300001,0,0,0.939864412795007,306.023106421954,305.083242009159,1.03466134210534,Inf
Zin50,A,T5,T5,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209300002,0,0,1.00750228235953,284.32280503661,283.31530275425,1.00750228235953,Inf
Zin50,B,T5,T5,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209300002,0,0,1.00011202385371,286.661455820821,285.661343796967,1.03534574853336,Inf
Zin50,C_control,T5,T5,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209300002,0,0,1.00011202385371,286.661455820821,285.661343796967,1.03534574853336,Inf
Zin50,A,T5,T5,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209300003,0,0,1.0423185703376,291.159573527188,290.11725495685,1.0423185703376,Inf
Zin50,B,T5,T5,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209300003,0,0,1.0890216852299,302.834442286812,301.745420601582,0.963090821387246,Inf
Zin50,C_control,T5,T5,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209300003,0,0,1.0890216852299,302.834442286812,301.745420601582,0.963090821387246,Inf
H50_Zin50,A,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100001,0,0,1.03060439709023,1.03060712688323,2.72979300652842e-06,1.03060439709023,Inf
H50_Zin50,B,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100001,0,0,1.0314606396747,1.03146341165436,2.77197965981024e-06,1.04539136402603,Inf
H50_Zin50,C_control,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100001,0,0,1.0314606396747,1.03146341165436,2.77197965981024e-06,1.04539136402603,Inf
H50_Zin50,A,T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100002,0,0,1.0239538356774,1.02395975074156,5.91506415648091e-06,1.0239538356774,Inf
H50_Zin50,B,T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100002,0,0,1.04825902798815,1.04826943917376,1.04111856034095e-05,0.976627599175438,Inf
H50_Zin50,C_control,T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100002,0,0,1.04825902798815,1.04826943917376,1.04111856034095e-05,0.976627599175438,Inf
H50_Zin50,A,T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100003,0,0,1.02655176341324,1.02655685006609,5.08665284448817e-06,1.02655176341324,Inf
H50_Zin50,B,T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100003,0,0,1.03680658397189,1.03681310147093,6.51749903513021e-06,1.00763328567924,Inf
H50_Zin50,C_control,T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100003,0,0,1.03680658397189,1.03681310147093,6.51749903513021e-06,1.00763328567924,Inf
H50_Zin50,A,T4_NEAR_T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209200001,0,0,1.00464823884653,1.00464833431612,9.54695849042508e-08,1.00464823884653,Inf
