method_id,in_domain_acceptance,medium_far_ood_false_acceptance,threshold,near_boundary_threshold,gate_pass,selected_for_execution,scientifically_unique_winner,selection_status,tied_methods,domain_calibration_hash
profile_min_distance,0.977011494252874,0.833333333333333,0.0565666276596148,0.0380279310625785,1,0,1,tied_methods_or_no_unique_winner,profile_relative_distance,e8a5f39b1daf4a702b2e79f5fbb8aba07bf9f471d171123c9fbae2e2efdd0b1c
profile_relative_distance,0.954022988505747,0.557471264367816,0.112097109026398,0.104313992703433,1,1,1,tied_methods_or_no_unique_winner,profile_relative_distance,6a33b14885b042a944b41d8f6c913e318c83d45e81fd09b184aacb348f13f5c2
