method_id,in_domain_acceptance,medium_far_ood_false_acceptance,threshold,near_boundary_threshold,gate_pass,selected_for_execution,scientifically_unique_winner,selection_status,tied_methods,domain_calibration_hash,selection_rule_id,selection_rule_version,acceptance_floor,eligible_method_count,primary_objective,tie_break_rule,selection_split,pilot_used_for_selection,canonical_rule_a_selected_method,strict_lexicographic_rule_b_selected_method,stage,mode,git_head_at_run,git_branch_at_run,git_dirty_at_run,source_tree_hash,configuration_hash,matlab_version,platform,computer_arch,use_parallel,worker_count,run_command,start_time_utc,runtime_environment_hash,experiment_hash,end_time_utc,runtime_s,selected_method,frozen_topology_experiment_hash,frozen_topology_calibration_hash
profile_min_distance,0.977011494252874,0.833333333333333,0.0565666276596148,0.0380279310625785,1,0,0,deterministic_execution_fallback_no_statistical_comparison,profile_relative_distance,6a33b14885b042a944b41d8f6c913e318c83d45e81fd09b184aacb348f13f5c2,domain_gate_then_ood_v1,1.0,0.9,2,development_medium_far_ood_false_acceptance_after_acceptance_gate,stable_predeclared_method_order,development,0,profile_relative_distance,profile_min_distance,Stage 4A Freeze-R.1,smoke,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,3e0fa27a0f28e9c54bb6d0fd53abfdc3e8dd919792d8c7cd998c0207ce1e9689,8c862ed3c0ec412bf713d8c031f549be82ec82cc5ca2bb281aff77f43804d3aa,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'smoke')",2026-09-09T12:24:08.484Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,2f64ea9c31f531221c10c19088a0c0f6d293a66f4391acb10bfac41ca1a014d5,2026-09-09T12:25:54.132Z,105.781191,profile_relative_distance,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
profile_relative_distance,0.954022988505747,0.557471264367816,0.112097109026398,0.104313992703433,1,1,0,deterministic_execution_fallback_no_statistical_comparison,profile_relative_distance,6a33b14885b042a944b41d8f6c913e318c83d45e81fd09b184aacb348f13f5c2,domain_gate_then_ood_v1,1.0,0.9,2,development_medium_far_ood_false_acceptance_after_acceptance_gate,stable_predeclared_method_order,development,0,profile_relative_distance,profile_min_distance,Stage 4A Freeze-R.1,smoke,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,3e0fa27a0f28e9c54bb6d0fd53abfdc3e8dd919792d8c7cd998c0207ce1e9689,8c862ed3c0ec412bf713d8c031f549be82ec82cc5ca2bb281aff77f43804d3aa,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'smoke')",2026-09-09T12:24:08.484Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,2f64ea9c31f531221c10c19088a0c0f6d293a66f4391acb10bfac41ca1a014d5,2026-09-09T12:25:54.132Z,105.781191,profile_relative_distance,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
