grid_id,replicate_id,residual_threshold,margin_threshold,calibration_sample_count,calibration_seed,configuration_hash
B_ofdm_active_subcarriers,final06,0.202159284306324,0.00854611052381694,35,20261306,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,final06,0.202159284306324,0.00854611052381694,35,20261306,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,final06,0.202159284306324,0.00854611052381694,35,20261306,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,final07,0.206714093649908,0.00736243222763654,35,20261307,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,final07,0.206714093649908,0.00736243222763654,35,20261307,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,final07,0.206714093649908,0.00736243222763654,35,20261307,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,final07,0.207957182288708,0.00719039074077305,35,20261307,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,final07,0.207957182288708,0.00719039074077305,35,20261307,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,final07,0.207957182288708,0.00719039074077305,35,20261307,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,final08,0.210125837391399,0.00731479956069008,35,20261308,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,final08,0.210125837391399,0.00731479956069008,35,20261308,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,final08,0.210125837391399,0.00731479956069008,35,20261308,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,final08,0.211104292345759,0.00664126774901171,35,20261308,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,final08,0.211104292345759,0.00664126774901171,35,20261308,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,final08,0.211104292345759,0.00664126774901171,35,20261308,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
