measurement_kind,condition,snr_db,method,feature,sample_count,trials,strict_accuracy,equivalence_class_accuracy,unique_strict_accuracy,ambiguity_rate,false_unique_rate,accuracy_std,ci_low,ci_high,mean_margin,mean_intra,mean_inter,intra_inter_ratio,nmse,amplitude_rmse_db,raw_phase_rmse_deg,weighted_phase_rmse_deg,valid_phase_fraction,runtime_s,edge_precision,edge_recall,edge_f1
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,amplitude,20,5,1,1,1,0,0,0,1,1,0.00267886756872008,0.00052463056757088,0.00320349813629096,0.163768026466936,0.000994056505411481,0.349278289318657,2.47709012153799,1.8265908421109,1,0.0069057,1,1,1
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,amplitude_raw_db,20,5,1,1,1,0,0,0,1,1,1.84242362843383,0.349457829385556,2.19188145781939,0.159432814278751,0.000994056505411481,0.349278289318657,2.47709012153799,1.8265908421109,1,0.00622895,1,1,1
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,amplitude_db_standardized,20,5,1,1,1,0,0,0,1,1,0.237549890138124,0.0765929344609275,0.314142824599052,0.243815642005145,0.000994056505411481,0.349278289318657,2.47709012153799,1.8265908421109,1,0.00608435,1,1,1
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,phase_weighted,20,5,1,1,1,0,0,0,1,1,0.0617669803957385,0.0101945169978181,0.0719614973935566,0.14166627109028,0.000994056505411481,0.349278289318657,2.47709012153799,1.8265908421109,1,0.00602055,1,1,1
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,complex,20,5,1,1,1,0,0,0,1,1,0.00427420348832963,0.000744281194095665,0.00501848468242529,0.14830795373395,0.000994056505411481,0.349278289318657,2.47709012153799,1.8265908421109,1,0.00625065,1,1,1
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,amp_phase_joint_weighted,20,5,1,1,1,0,0,0,1,1,0.043767341639959,0.00721831163521919,0.0509856532751782,0.141575348584056,0.000994056505411481,0.349278289318657,2.47709012153799,1.8265908421109,1,0.00593045,1,1,1
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,amplitude,20,5,1,1,1,0,0,0,1,1,0.00207380524514933,0.00165388054757045,0.00372768579271978,0.443674880216702,0.00998803985199866,1.10119954331855,42.3218659144892,6.04152861020026,0.999832682654769,0.00595745,1,1,1
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,amplitude_raw_db,20,5,1,1,1,0,0,0,1,1,1.41537955343346,1.10221305111466,2.51759260454812,0.43780437276606,0.00998803985199866,1.10119954331855,42.3218659144892,6.04152861020026,0.999832682654769,0.00584205,1,1,1
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,amplitude_db_standardized,20,5,1,1,1,0,0,0,1,1,0.164191497198758,0.238814429697559,0.403005926896316,0.59258292188591,0.00998803985199866,1.10119954331855,42.3218659144892,6.04152861020026,0.999832682654769,0.0057859,1,1,1
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,phase_weighted,20,5,0.9,0.9,0.9,0,0,0.223606797749979,0.704,1,0.0492029529760885,0.0337295621499314,0.0827613449053945,0.407552127004317,0.00998803985199866,1.10119954331855,42.3218659144892,6.04152861020026,0.999832682654769,0.005762,0.980952380952381,0.980952380952381,0.980952380952381
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,complex,20,5,1,1,1,0,0,0,1,1,0.00343023122829985,0.00235222563880317,0.00578245686710302,0.40678654296329,0.00998803985199866,1.10119954331855,42.3218659144892,6.04152861020026,0.999832682654769,0.0057661,1,1,1
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,amp_phase_joint_weighted,20,5,0.9,0.9,0.9,0,0,0.223606797749979,0.704,1,0.0348694094602362,0.0238796826934672,0.0586296731957544,0.407296875316651,0.00998803985199866,1.10119954331855,42.3218659144892,6.04152861020026,0.999832682654769,0.0057961,0.980952380952381,0.980952380952381,0.980952380952381
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,amp_phase_joint_weighted,20,5,0.9,0.9,0.9,0,0,0.223606797749979,0.704,1,0.0334646639276643,0.0235914068441817,0.056936651813897,0.414344821702767,0.00998803985199866,1.10119954331855,42.3218659144892,6.04152861020026,0.999832682654769,0.08183495,0.980952380952381,0.980952380952381,0.980952380952381
bidirectional_endpoint_fixed,noise_only,10,nominal_nearest,amplitude,20,5,1,1,1,0,0,0,1,1,0.000974997830709903,0.00493461028925462,0.00590960811996452,0.835014807933532,0.0998386280725819,3.07238230226252,395.2263476225,18.3664871977363,0.999707194645845,0.0060017,1,1,1
bidirectional_endpoint_fixed,noise_only,10,nominal_nearest,amplitude_raw_db,20,5,1,1,1,0,0,0,1,1,0.565757720174019,3.07328151524891,3.63903923542293,0.844531019433137,0.0998386280725819,3.07238230226252,395.2263476225,18.3664871977363,0.999707194645845,0.0059582,1,1,1
bidirectional_endpoint_fixed,noise_only,10,nominal_nearest,amplitude_db_standardized,20,5,1,1,1,0,0,0,1,1,0.0700506035211624,0.627977379502,0.698027983023162,0.899644992428853,0.0998386280725819,3.07238230226252,395.2263476225,18.3664871977363,0.999707194645845,0.00594185,1,1,1
bidirectional_endpoint_fixed,noise_only,10,nominal_nearest,phase_weighted,20,5,0.85,0.85,0.85,0,0,0.223606797749979,0.654,1,0.0325490365370978,0.102587841073152,0.134181056913499,0.764547868625646,0.0998386280725819,3.07238230226252,395.2263476225,18.3664871977363,0.999707194645845,0.0059033,0.971428571428571,0.971428571428571,0.971428571428571
bidirectional_endpoint_fixed,noise_only,10,nominal_nearest,complex,20,5,1,1,1,0,0,0,1,1,0.00202074107832317,0.00720051547374761,0.00922125655207079,0.780860551171913,0.0998386280725819,3.07238230226252,395.2263476225,18.3664871977363,0.999707194645845,0.0059681,1,1,1
