scenario,feature,weight_amplitude,weight_phase,sample_count,strict_accuracy,group_accuracy,numeric_tie_rate,mean_distance_gap,group_intra_distance,group_inter_distance,intra_inter_ratio
fixed_received_snr_20dB,amplitude,0.20000000000000001,0.80000000000000004,300,0.82666666666666666,1,0.33333333333333331,0.002770967071182209,0.0016584091553989557,0.005559691704533863,0.29829156786635175
fixed_received_snr_20dB,amplitude_raw_db,0.20000000000000001,0.80000000000000004,300,0.80333333333333334,1,0.33333333333333331,1.9174349066135612,1.4387139975960541,4.158929305891685,0.34593374683188804
fixed_received_snr_20dB,amplitude_db_standardized,0.20000000000000001,0.80000000000000004,300,0.82999999999999996,1,0.33333333333333331,0.22990098564200215,0.26571800273658358,0.5658140200909908,0.46962074692644135
fixed_received_snr_20dB,phase,0.20000000000000001,0.80000000000000004,300,0.68000000000000005,0.81999999999999995,0.34999999999999998,0.066430029944687566,0.86361320324886814,0.92180531993696335,0.93687157642779217
fixed_received_snr_20dB,phase_masked,0.20000000000000001,0.80000000000000004,300,0.68000000000000005,0.81999999999999995,0.34999999999999998,0.066183457165532464,0.86413288824130763,0.92203479444405012,0.93720203776295119
fixed_received_snr_20dB,phase_weighted,0.20000000000000001,0.80000000000000004,300,0.85333333333333339,1,0.33333333333333331,0.077562940527661717,0.038266256495290418,0.15490979948097339,0.2470228263383068
fixed_received_snr_20dB,complex,0.20000000000000001,0.80000000000000004,300,0.81666666666666665,1,0.33333333333333331,0.0046707680759153361,0.0023531314285520975,0.0092572300355675333,0.2541939024428525
fixed_received_snr_20dB,cir,0.20000000000000001,0.80000000000000004,300,0.84666666666666668,1,0.33333333333333331,0.0030902845740079926,0.0015568843573640434,0.0061247903368337473,0.2541939024428525
fixed_received_snr_20dB,amp_phase_joint,0.20000000000000001,0.80000000000000004,300,0.68000000000000005,0.81999999999999995,0.34999999999999998,0.059432326865134118,0.77244525110534956,0.82452382361918541,0.93683800149613528
fixed_received_snr_20dB,amplitude,0.5,0.5,300,0.82666666666666666,1,0.33333333333333331,0.002770967071182209,0.0016584091553989557,0.005559691704533863,0.29829156786635175
fixed_received_snr_20dB,amplitude_raw_db,0.5,0.5,300,0.80333333333333334,1,0.33333333333333331,1.9174349066135612,1.4387139975960541,4.158929305891685,0.34593374683188804
fixed_received_snr_20dB,amplitude_db_standardized,0.5,0.5,300,0.82999999999999996,1,0.33333333333333331,0.22990098564200215,0.26571800273658358,0.5658140200909908,0.46962074692644135
fixed_received_snr_20dB,phase,0.5,0.5,300,0.68000000000000005,0.81999999999999995,0.34999999999999998,0.066430029944687566,0.86361320324886814,0.92180531993696335,0.93687157642779217
fixed_received_snr_20dB,phase_masked,0.5,0.5,300,0.68000000000000005,0.81999999999999995,0.34999999999999998,0.066183457165532464,0.86413288824130763,0.92203479444405012,0.93720203776295119
fixed_received_snr_20dB,phase_weighted,0.5,0.5,300,0.85333333333333339,1,0.33333333333333331,0.077562940527661717,0.038266256495290418,0.15490979948097339,0.2470228263383068
fixed_received_snr_20dB,complex,0.5,0.5,300,0.81666666666666665,1,0.33333333333333331,0.0046707680759153361,0.0023531314285520975,0.0092572300355675333,0.2541939024428525
fixed_received_snr_20dB,cir,0.5,0.5,300,0.84666666666666668,1,0.33333333333333331,0.0030902845740079926,0.0015568843573640434,0.0061247903368337473,0.2541939024428525
fixed_received_snr_20dB,amp_phase_joint,0.5,0.5,300,0.68000000000000005,0.81999999999999995,0.34999999999999998,0.047022119134204059,0.61068609554337205,0.65192883303087346,0.93673736242687666
fixed_received_snr_20dB,amplitude,0.80000000000000004,0.20000000000000001,300,0.82666666666666666,1,0.33333333333333331,0.002770967071182209,0.0016584091553989557,0.005559691704533863,0.29829156786635175
fixed_received_snr_20dB,amplitude_raw_db,0.80000000000000004,0.20000000000000001,300,0.80333333333333334,1,0.33333333333333331,1.9174349066135612,1.4387139975960541,4.158929305891685,0.34593374683188804
fixed_received_snr_20dB,amplitude_db_standardized,0.80000000000000004,0.20000000000000001,300,0.82999999999999996,1,0.33333333333333331,0.22990098564200215,0.26571800273658358,0.5658140200909908,0.46962074692644135
fixed_received_snr_20dB,phase,0.80000000000000004,0.20000000000000001,300,0.68000000000000005,0.81999999999999995,0.34999999999999998,0.066430029944687566,0.86361320324886814,0.92180531993696335,0.93687157642779217
fixed_received_snr_20dB,phase_masked,0.80000000000000004,0.20000000000000001,300,0.68000000000000005,0.81999999999999995,0.34999999999999998,0.066183457165532464,0.86413288824130763,0.92203479444405012,0.93720203776295119
fixed_received_snr_20dB,phase_weighted,0.80000000000000004,0.20000000000000001,300,0.85333333333333339,1,0.33333333333333331,0.077562940527661717,0.038266256495290418,0.15490979948097339,0.2470228263383068
fixed_received_snr_20dB,complex,0.80000000000000004,0.20000000000000001,300,0.81666666666666665,1,0.33333333333333331,0.0046707680759153361,0.0023531314285520975,0.0092572300355675333,0.2541939024428525
fixed_received_snr_20dB,cir,0.80000000000000004,0.20000000000000001,300,0.84666666666666668,1,0.33333333333333331,0.0030902845740079926,0.0015568843573640434,0.0061247903368337473,0.2541939024428525
fixed_received_snr_20dB,amp_phase_joint,0.80000000000000004,0.20000000000000001,300,0.68000000000000005,0.81999999999999995,0.34999999999999998,0.02983209350874283,0.38626841290734942,0.41253180261835143,0.93633608477138608
