experiment,noise_mode,view_kind,snr_db,method,true_id,predicted_id,count
noise_only,fixed_received_snr,siso_forward,10,joint,T2,T3,0
noise_only,fixed_received_snr,siso_forward,10,joint,T2,T4,0
noise_only,fixed_received_snr,siso_forward,10,joint,T2,T5,0
noise_only,fixed_received_snr,siso_forward,10,joint,T3,T2,0
noise_only,fixed_received_snr,siso_forward,10,joint,T3,T3,9
noise_only,fixed_received_snr,siso_forward,10,joint,T3,T4,0
noise_only,fixed_received_snr,siso_forward,10,joint,T3,T5,11
noise_only,fixed_received_snr,siso_forward,10,joint,T4,T2,0
noise_only,fixed_received_snr,siso_forward,10,joint,T4,T3,0
noise_only,fixed_received_snr,siso_forward,10,joint,T4,T4,20
noise_only,fixed_received_snr,siso_forward,10,joint,T4,T5,0
noise_only,fixed_received_snr,siso_forward,10,joint,T5,T2,0
noise_only,fixed_received_snr,siso_forward,10,joint,T5,T3,8
noise_only,fixed_received_snr,siso_forward,10,joint,T5,T4,0
noise_only,fixed_received_snr,siso_forward,10,joint,T5,T5,12
noise_only,fixed_received_snr,siso_forward,10,single_feature,T2,T2,20
noise_only,fixed_received_snr,siso_forward,10,single_feature,T2,T3,0
noise_only,fixed_received_snr,siso_forward,10,single_feature,T2,T4,0
noise_only,fixed_received_snr,siso_forward,10,single_feature,T2,T5,0
noise_only,fixed_received_snr,siso_forward,10,single_feature,T3,T2,0
noise_only,fixed_received_snr,siso_forward,10,single_feature,T3,T3,14
noise_only,fixed_received_snr,siso_forward,10,single_feature,T3,T4,0
noise_only,fixed_received_snr,siso_forward,10,single_feature,T3,T5,6
noise_only,fixed_received_snr,siso_forward,10,single_feature,T4,T2,0
noise_only,fixed_received_snr,siso_forward,10,single_feature,T4,T3,0
noise_only,fixed_received_snr,siso_forward,10,single_feature,T4,T4,20
noise_only,fixed_received_snr,siso_forward,10,single_feature,T4,T5,0
noise_only,fixed_received_snr,siso_forward,10,single_feature,T5,T2,0
noise_only,fixed_received_snr,siso_forward,10,single_feature,T5,T3,16
