true_or_pred,T1,T2,T3,T4,T5,T6
T1,50,0,0,0,0,0
T2,0,50,0,0,0,0
T3,1,0,27,0,22,0
T4,0,0,0,47,0,3
T5,1,0,32,0,17,0
T6,0,0,0,9,1,40
