experiment,noise_mode,view_kind,snr_db,method,sample_count,trial_count,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,group_accuracy_mean,group_accuracy_std,group_accuracy_ci_low,group_accuracy_ci_high,edge_precision,edge_recall,edge_f1,nmse,amplitude_rmse_db,weighted_phase_rmse_deg,intra_distance,inter_distance,intra_inter_ratio,length_rmse_m,main_length_rmse_m,branch_length_rmse_m,load_relative_rmse,Zs_rmse_ohm,Zr_rmse_ohm
noise_only,fixed_received_snr,siso_forward,30,oracle,80,20,0.75,0.19867985355975656,0.66292471496941341,0.83707528503058659,1,0,1,1,0.95238095238095233,0.95238095238095233,0.95238095238095233,0.00099961620419998336,0.36550597935580742,1.8814064554263854,0.0074004983892994782,0.04968666623438215,0.14894334738398057,0,0,0,0,0,0
noise_only,fixed_received_snr,siso_forward,30,joint,80,20,0.75,0.1813690625275029,0.67051150364592638,0.82948849635407362,1,0,1,1,0.95238095238095233,0.95238095238095233,0.95238095238095233,0.00099961620419998336,0.36550597935580742,1.8814064554263854,0.0069173131222878322,0.046842570380766876,0.147671510467069,0,0,0,0,1.1180339887498949,0
noise_only,fixed_received_snr,siso_forward,30,single_feature,80,20,0.69999999999999996,0.17396309348461486,0.62375731268888102,0.7762426873111189,1,0,1,1,0.94285714285714284,0.94285714285714284,0.94285714285714284,0.00099961620419998336,0.36550597935580742,1.8814064554263854,0.00052689193653874026,0.0032549644285518146,0.161873331676673,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,siso_forward,20,oracle,80,20,0.76249999999999996,0.18978866362906205,0.67932145076624872,0.84567854923375119,1,0,1,1,0.95476190476190481,0.95476190476190481,0.95476190476190481,0.0099652355811705676,1.1312680495721725,6.0395877117351651,0.0237554334493023,0.058998986538252605,0.40264138154136286,0,0,0,0,0,0
noise_only,fixed_received_snr,siso_forward,20,joint,80,20,0.73750000000000004,0.18978866362906205,0.65432145076624881,0.82067854923375128,1,0,1,1,0.94999999999999996,0.94999999999999996,0.95000000000000007,0.0099652355811705676,1.1312680495721725,6.0395877117351651,0.022216513080591159,0.055712040891260681,0.39877399436781669,0,0,0,0.067082039324993681,1.9364916731037085,0
noise_only,fixed_received_snr,siso_forward,20,single_feature,80,20,0.76249999999999996,0.15120132970732486,0.6962330955032684,0.82876690449673152,1,0,1,1,0.95476190476190481,0.95476190476190481,0.95476190476190481,0.0099652355811705676,1.1312680495721725,6.0395877117351651,0.0016532530274768671,0.0038902351640995305,0.42497508704195369,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,siso_forward,10,oracle,80,20,0.76249999999999996,0.17158318528831495,0.68730035344427964,0.83769964655572027,1,0,1,1,0.95476190476190481,0.95476190476190481,0.95476190476190481,0.10008946296485363,3.1067830023300753,18.93160757443464,0.074454609817761669,0.097108556036156007,0.76671523969566913,0,0,0,0,0,0
noise_only,fixed_received_snr,siso_forward,10,joint,80,20,0.76249999999999996,0.18978866362906205,0.67932145076624872,0.84567854923375119,1,0,1,1,0.95476190476190481,0.95476190476190481,0.95476190476190481,0.10008946296485363,3.1067830023300753,18.93160757443464,0.07107312528278989,0.093218634227352257,0.76243474142142686,0.037500000000000033,0,0.083852549156242184,0.10488088481701513,1.25,1.6770509831248424
noise_only,fixed_received_snr,siso_forward,10,single_feature,80,20,0.72499999999999998,0.16018081887929686,0.65479766085768487,0.79520233914231508,1,0,1,1,0.94761904761904758,0.94761904761904758,0.94761904761904758,0.10008946296485363,3.1067830023300753,18.93160757443464,0.0049427246252733027,0.006066284102121268,0.81478620883333219,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,siso_forward,0,oracle,80,20,0.66249999999999998,0.23332550112168238,0.56024059044711205,0.7647594095528879,0.86250000000000004,0.18978866362906205,0.77932145076624881,0.94567854923375128,0.94312796208530802,0.94761904761904758,0.94536817102137749,1.0016090081994109,6.4291504679518026,58.496014911666109,0.22993203339043372,0.23000888165785854,0.99966589000011252,0,0,0,0,0,0
