measurement_kind,condition,snr_db,method,feature,sample_count,trials,strict_accuracy,equivalence_class_accuracy,unique_strict_accuracy,ambiguity_rate,false_unique_rate,accuracy_std,ci_low,ci_high,mean_margin,mean_intra,mean_inter,intra_inter_ratio,nmse,amplitude_rmse_db,raw_phase_rmse_deg,weighted_phase_rmse_deg,valid_phase_fraction,runtime_s,edge_precision,edge_recall,edge_f1
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,amplitude,400,100,1,1,1,0,0,0,1,1,0.00267876107279386,0.000527045579315331,0.00320580665210919,0.164403420577025,0.000999379419868947,0.349552327764289,2.49258350991003,1.85170032903376,1,0.00815355,1,1,1
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,amplitude_raw_db,400,100,1,1,1,0,0,0,1,1,1.83738493157919,0.349692712780547,2.18707764435974,0.159890396978987,0.000999379419868947,0.349552327764289,2.49258350991003,1.85170032903376,1,0.0079177425,1,1,1
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,amplitude_db_standardized,400,100,1,1,1,0,0,0,1,1,0.237138718985891,0.0768130376965804,0.313951756682471,0.244665099212261,0.000999379419868947,0.349552327764289,2.49258350991003,1.85170032903376,1,0.00777032,1,1,1
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,phase_weighted,400,100,1,1,1,0,0,0,1,1,0.0618598440935169,0.0103404775450818,0.0722003216385987,0.143219272579442,0.000999379419868947,0.349552327764289,2.49258350991003,1.85170032903376,1,0.0078463,1,1,1
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,complex,400,100,1,1,1,0,0,0,1,1,0.00427662791844864,0.00074617214359426,0.0050228000620429,0.148557006923898,0.000999379419868947,0.349552327764289,2.49258350991003,1.85170032903376,1,0.00779974,1,1,1
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,amp_phase_joint_weighted,400,100,1,1,1,0,0,0,1,1,0.0438328827436903,0.00732151490748628,0.0511543976511766,0.143125816032708,0.000999379419868947,0.349552327764289,2.49258350991003,1.85170032903376,1,0.007910225,1,1,1
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,amplitude,400,100,1,1,1,0,0,0,1,1,0.0020742360504493,0.00165631034444262,0.00373054639489192,0.443985992698158,0.00999045941415674,1.09793703951145,51.0093000867713,5.87139942321226,0.999785973229225,0.0087501175,1,1,1
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,amplitude_raw_db,400,100,1,1,1,0,0,0,1,1,1.41544221036367,1.09844729817166,2.51388950853533,0.436951303723626,0.00999045941415674,1.09793703951145,51.0093000867713,5.87139942321226,0.999785973229225,0.00869199,1,1,1
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,amplitude_db_standardized,400,100,1,1,1,0,0,0,1,1,0.164744878944499,0.238444612851015,0.403189491795514,0.591395901190667,0.00999045941415674,1.09793703951145,51.0093000867713,5.87139942321226,0.999785973229225,0.00850264,1,1,1
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,phase_weighted,400,100,0.92,0.92,0.92,0,0,0.137068883368468,0.89313449885978,0.94686550114022,0.0499233004312657,0.0327734360704679,0.0823883023948219,0.397792345731445,0.00999045941415674,1.09793703951145,51.0093000867713,5.87139942321226,0.999785973229225,0.0084238425,0.984761904761905,0.984761904761905,0.984761904761905
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,complex,400,100,1,1,1,0,0,0,1,1,0.00344213742004685,0.00235128239727397,0.00579341981732082,0.405853963878855,0.00999045941415674,1.09793703951145,51.0093000867713,5.87139942321226,0.999785973229225,0.00846531,1,1,1
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,amp_phase_joint_weighted,400,100,0.92,0.92,0.92,0,0,0.137068883368468,0.89313449885978,0.94686550114022,0.0353787697880924,0.0232045469189019,0.0583665774039912,0.397565660879666,0.00999045941415674,1.09793703951145,51.0093000867713,5.87139942321226,0.999785973229225,0.00837753,0.984761904761905,0.984761904761905,0.984761904761905
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,amp_phase_joint_weighted,400,100,0.92,0.92,0.92,0,0,0.137068883368468,0.89313449885978,0.94686550114022,0.0335603198555494,0.0231085393566806,0.0564611074579232,0.409282431696933,0.00999045941415674,1.09793703951145,51.0093000867713,5.87139942321226,0.999785973229225,0.0927852475,0.984761904761905,0.984761904761905,0.984761904761905
bidirectional_endpoint_fixed,noise_only,10,nominal_nearest,amplitude,400,100,1,1,1,0,0,0,1,1,0.000971680485319433,0.00495053445474087,0.00592221494006031,0.835926170334247,0.0999570357414062,3.05773527974217,383.444841661707,18.7630696512232,0.999694645844952,0.0079451,1,1,1
bidirectional_endpoint_fixed,noise_only,10,nominal_nearest,amplitude_raw_db,400,100,1,1,1,0,0,0,1,1,0.56532982883319,3.05856063472652,3.62389046355971,0.843999195197011,0.0999570357414062,3.05773527974217,383.444841661707,18.7630696512232,0.999694645844952,0.007735325,1,1,1
bidirectional_endpoint_fixed,noise_only,10,nominal_nearest,amplitude_db_standardized,400,100,1,1,1,0,0,0,1,1,0.070508975758342,0.627882834198345,0.698391809956687,0.899040946996909,0.0999570357414062,3.05773527974217,383.444841661707,18.7630696512232,0.999694645844952,0.0077417425,1,1,1
