scenario,feature,true_id,predicted_id,count
main_length_-1percent,phase_masked,T4,T2,0
main_length_-1percent,phase_masked,T4,T3,0
main_length_-1percent,phase_masked,T4,T4,1
main_length_-1percent,phase_masked,T4,T5,0
main_length_-1percent,phase_masked,T4,T6,0
main_length_-1percent,phase_masked,T5,T1,0
main_length_-1percent,phase_masked,T5,T2,0
main_length_-1percent,phase_masked,T5,T3,0
main_length_-1percent,phase_masked,T5,T4,0
main_length_-1percent,phase_masked,T5,T5,1
main_length_-1percent,phase_masked,T5,T6,0
main_length_-1percent,phase_masked,T6,T1,0
main_length_-1percent,phase_masked,T6,T2,0
main_length_-1percent,phase_masked,T6,T3,0
main_length_-1percent,phase_masked,T6,T4,0
main_length_-1percent,phase_masked,T6,T5,0
main_length_-1percent,phase_masked,T6,T6,1
main_length_-1percent,phase_weighted,T1,T1,1
main_length_-1percent,phase_weighted,T1,T2,0
main_length_-1percent,phase_weighted,T1,T3,0
main_length_-1percent,phase_weighted,T1,T4,0
main_length_-1percent,phase_weighted,T1,T5,0
main_length_-1percent,phase_weighted,T1,T6,0
main_length_-1percent,phase_weighted,T2,T1,0
main_length_-1percent,phase_weighted,T2,T2,1
main_length_-1percent,phase_weighted,T2,T3,0
main_length_-1percent,phase_weighted,T2,T4,0
main_length_-1percent,phase_weighted,T2,T5,0
main_length_-1percent,phase_weighted,T2,T6,0
main_length_-1percent,phase_weighted,T3,T1,0
main_length_-1percent,phase_weighted,T3,T2,0
main_length_-1percent,phase_weighted,T3,T3,0
main_length_-1percent,phase_weighted,T3,T4,0
main_length_-1percent,phase_weighted,T3,T5,1
main_length_-1percent,phase_weighted,T3,T6,0
main_length_-1percent,phase_weighted,T4,T1,0
main_length_-1percent,phase_weighted,T4,T2,0
main_length_-1percent,phase_weighted,T4,T3,0
main_length_-1percent,phase_weighted,T4,T4,1
main_length_-1percent,phase_weighted,T4,T5,0
main_length_-1percent,phase_weighted,T4,T6,0
main_length_-1percent,phase_weighted,T5,T1,0
main_length_-1percent,phase_weighted,T5,T2,0
main_length_-1percent,phase_weighted,T5,T3,0
main_length_-1percent,phase_weighted,T5,T4,0
main_length_-1percent,phase_weighted,T5,T5,1
main_length_-1percent,phase_weighted,T5,T6,0
main_length_-1percent,phase_weighted,T6,T1,0
main_length_-1percent,phase_weighted,T6,T2,0
main_length_-1percent,phase_weighted,T6,T3,0
main_length_-1percent,phase_weighted,T6,T4,0
main_length_-1percent,phase_weighted,T6,T5,0
main_length_-1percent,phase_weighted,T6,T6,1
main_length_-1percent,complex,T1,T1,1
main_length_-1percent,complex,T1,T2,0
main_length_-1percent,complex,T1,T3,0
main_length_-1percent,complex,T1,T4,0
main_length_-1percent,complex,T1,T5,0
main_length_-1percent,complex,T1,T6,0
main_length_-1percent,complex,T2,T1,0
main_length_-1percent,complex,T2,T2,1
main_length_-1percent,complex,T2,T3,0
main_length_-1percent,complex,T2,T4,0
main_length_-1percent,complex,T2,T5,0
main_length_-1percent,complex,T2,T6,0
main_length_-1percent,complex,T3,T1,0
main_length_-1percent,complex,T3,T2,0
main_length_-1percent,complex,T3,T3,1
main_length_-1percent,complex,T3,T4,0
main_length_-1percent,complex,T3,T5,0
main_length_-1percent,complex,T3,T6,0
main_length_-1percent,complex,T4,T1,0
main_length_-1percent,complex,T4,T2,0
main_length_-1percent,complex,T4,T3,0
main_length_-1percent,complex,T4,T4,1
main_length_-1percent,complex,T4,T5,0
main_length_-1percent,complex,T4,T6,0
main_length_-1percent,complex,T5,T1,0
main_length_-1percent,complex,T5,T2,0
main_length_-1percent,complex,T5,T3,1
main_length_-1percent,complex,T5,T4,0
main_length_-1percent,complex,T5,T5,0
