sample_index,h_sampled_real,h_sampled_imag
0,-0.000318829127626259,0.00199660705502524
1,0.00174209874357261,0.0030053628527263
2,-0.00153821988029313,0.00288822680234924
3,0.000813319427660989,0.00270086488720933
4,-0.00277246600642994,0.00355114818833001
5,-0.000467249496157435,0.00191165112551433
6,-0.00386875979318027,0.00385373463321452
7,-0.00203986108982864,0.000629116227606193
8,-0.00466801736446772,0.00366786196507222
9,-0.00382637973788757,-0.00112743811148132
10,-0.00501230136409089,0.00286053973913759
11,-0.00574877530885338,-0.00333700377218083
12,-0.00473736964239885,0.00125792076375949
13,-0.00776177906353743,-0.00604161333503341
14,-0.00361859392896993,-0.00146936311776244
15,-0.00992552395796714,-0.00953342966952998
16,-0.00112614479640423,-0.00621952063367136
17,-0.0126408754153942,-0.01513002999264
18,0.00513981236862352,-0.016648203827048
19,-0.0177510044940633,-0.0316987783241652
20,0.0616457307990014,-0.0687382635169778
21,0.0856960344817285,0.0519171858162275
22,-0.0123462199906166,0.0487097435097736
23,0.00439099037754175,0.0152167266665714
24,-0.00831198176354737,0.0221840913238933
25,-0.000537313410933688,0.0107378360918866
26,-0.00765380218890254,0.017729706199512
27,-0.00159662703399294,0.0183576827668756
28,-0.0363900453505934,0.0298842290802512
29,-0.0374566273731845,-0.0263317419669261
30,0.00271411550789518,-0.0145527214492437
31,-0.00825783993376066,-0.00845892221464906
32,0.00285041743164748,-0.00747179610743952
33,-0.00521272713150276,-0.00369855187046842
34,0.00207512173424923,-0.00627748258219224
35,-0.00405005779273056,-2.68903568173175e-05
36,-0.00432462546564108,-0.00584381825047637
37,-0.00675359578050881,-0.00789084626528897
38,0.00169346590019986,-0.0142961274489281
39,-0.000239475168755254,-0.0078562056102776
40,0.00599721946865495,-0.0257415144029607
41,0.0359890253950027,-0.00837926610190029
42,0.0190854795985153,0.0223684263200798
43,-0.00185377564445333,0.0138612507981927
44,-0.000228671771349548,0.00679408654700007
45,-0.00340161265832754,0.00599496625466255
46,-0.00174418143126471,0.000994834273106095
47,-0.0022759411148885,0.00243665967700408
48,-8.84173284069508e-05,-0.00489418356352156
49,0.00952891781603524,0.00270037783518113
50,0.000798796671836352,0.00965584724559722
51,-0.0024935406945392,0.00606581405335985
52,-0.00432908755271571,0.00447236964981016
53,-0.0031774430817462,0.00291246375549722
54,-0.00499951531644252,0.00308385503808052
55,-0.00364030137930759,0.00202002617903604
56,-0.0084731783913714,0.00471332983572164
57,-0.0127275083656693,-0.00414370047203915
58,-0.00675826268129136,-0.0102554586242502
59,-0.00127206355165614,-0.00996022935854038
60,-0.000729275745961954,-0.0109154385998694
61,0.0106451407665967,-0.0154459685895261
62,0.0200748412323957,0.0026274247539121
63,0.00504865315842652,0.0119540888348886
64,-0.000792201859489804,0.00687849260647858
65,-0.00363136520738866,0.00370970308842036
66,-0.00128711942815414,0.000184501948565442
67,-0.00102095522914845,0.00167755618340955
68,-0.000877268422011156,0.000849559780379906
69,-0.00226748977708581,0.00203824029760002
70,-0.0030251730493914,-0.00107177403621588
71,-0.00115433816641869,-0.000919660727167375
72,-0.00153334052010466,-0.00118423031448125
73,-0.00115994109986554,-0.00131963306370445
74,-0.0010395551398935,-0.00231939265981961
75,-3.21757894939841e-05,-0.00207344682618005
76,-0.000122743969840743,-0.00326795644545464
77,0.00327612106502752,-0.00307947372848266
78,0.00305292495168332,0.000491576154013026
79,0.000697063010936965,0.000458747806803666
80,9.13864177353351e-05,-0.00119058130780917
81,0.00196347851259334,-0.00380527340762483
82,0.00805382641000698,-0.00200206479826998
83,0.00743226725196116,0.00672492257999387
84,-0.000147176920259525,0.00775012626641585
85,-0.00217673083439062,0.0048520921755162
86,-0.00352522327913322,0.0028174223211465
87,-0.00216350612399829,0.000961841408343464
88,-0.00240433158055224,0.00136053543399214
89,-0.0019381700412387,1.09061544594858e-05
90,-0.00162190854486622,0.000738977210615672
91,-0.00179926487187147,9.1055187273344e-05
92,-0.00195050378300039,0.000755712648096879
93,-0.00294039802458053,-0.00058194304724014
94,-0.00203956676603904,-0.00121990844137582
95,-0.00179538589149368,-0.00176626447752151
96,-0.000930900272914907,-0.00140425950007606
97,-0.00167867234798008,-0.00148716040683745
98,-0.00142921526221294,-0.00221384140561225
99,-0.00132610027982995,-0.0032843433120098
100,0.00038231045526847,-0.00379643939049094
101,0.000658857478428267,-0.0040061622301274
102,0.00376978242365051,-0.00503048156338047
103,0.00637459874583652,-0.00122767708663628
104,0.00458823574455658,0.00194902343383025
105,0.0025096750648455,0.00215201837527806
106,0.00243797430440348,0.00207432761581334
107,0.00125740111758157,0.00314307768065732
108,0.00019624139289902,0.00233101501951903
109,-0.000156913005682042,0.00240488165085216
110,-0.000746444142461477,0.00161547885518831
111,-0.000620245806456941,0.00168572952245362
112,-0.00120089780358601,0.0011455188785104
113,-0.000929907847052877,0.00110870821379859
114,-0.00157619620354644,0.000676878350624351
115,-0.00110571406915529,0.000335407919248804
116,-0.00156302683499884,0.000154123307781891
117,-0.00107598293929854,-0.000345832287640643
118,-0.00126766350342591,-0.000360827127298608
119,-0.000777013403215599,-0.000770804998517718
120,-0.00106240593211333,-0.000605797704343095
121,-0.000741481700729487,-0.00150941335139615
122,-0.000162194248760267,-0.00175889770045008
123,0.00158353867974638,-0.00198122142286816
124,0.00220410309809031,0.000593463621837512
125,0.000490359737418664,0.00123501482078059
126,-0.000328700779868265,0.00116070483734045
127,-0.00103140890415038,0.000157728456709522
128,-0.000457054111336648,-0.000123019525493522
129,-0.000730482843327348,-0.000408672245825425
130,-0.00015830313021159,-0.000583070136057723
131,-0.000331851220830552,-0.0006315990170852
132,0.000275845641487696,-0.00075407047384096
133,0.000122720845275076,-0.000529939151896501
134,0.000695214489823585,-0.000622297918257692
135,0.000474494393026232,3.72884359258495e-05
136,0.000466016049208612,-0.000149561165514505
137,0.000203978472254252,0.000221819115714661
138,0.000160325564809249,-0.000234313541751629
