true_or_pred,T1,T2,T3,T4,T5,T6
T1,50,0,0,0,0,0
T2,0,50,0,0,0,0
T3,0,0,22,0,28,0
T4,0,0,0,50,0,0
T5,0,0,20,0,30,0
T6,0,0,0,0,0,50
