sample_id,replicate_id,grid_id,topology_id,parameter_names,sensitivity_norms,singular_values,condition_number,effective_rank,low_sensitivity,experiment_scientific_hash
final01_test_out_source_impedance_ohm_near,final01,B_ofdm_active_subcarriers,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[32.082547 7.2291468 1.2865183 0.58898727 1.7393282],[32.378353 5.7618874 2.0672232 0.85283345 0.1409482],229.718092638414,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_out_source_impedance_ohm_near,final01,B_ofdm_active_subcarriers,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[31.408869 6.9395262 1.2386711 0.5663563 1.7486365],[31.682544 5.5585119 2.0468096 0.82993534 0.16737862],189.286687096899,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_out_receiver_impedance_ohm_medium,final01,B_ofdm_active_subcarriers,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[41.907858 6.1322762 1.0635781 0.98057542 1.6834078],[41.991024 5.5344941 2.0106387 0.91963102 0.18668003],224.935818094204,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_out_receiver_impedance_ohm_medium,final01,B_ofdm_active_subcarriers,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[41.904086 6.1479849 1.0710017 0.96575872 1.7043989],[41.9889 5.539497 2.0203719 0.92373793 0.21415811],196.064954936527,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_out_joint_parameter_set_far,final01,B_ofdm_active_subcarriers,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[23.119592 4.1356528 0.76742695 0.51151512 1.4244329],[23.190158 3.7203401 1.5893744 0.5799657 0.10913592],212.488770019402,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_out_joint_parameter_set_far,final01,B_ofdm_active_subcarriers,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[23.119192 4.1356124 0.76741741 0.49449672 1.4467746],[23.189757 3.7203174 1.6027704 0.57864786 0.13268893],174.767836760471,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_01,final02,B_ofdm_active_subcarriers,G001,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[55.835427 0 0 1.1412435 2.5451417],[55.835436 2.7816558 0.20399361 1.531522e-18 3.3708192e-19],Inf,3,[false true true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_02,final02,B_ofdm_active_subcarriers,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[39.716222 5.2111522 0.89186386 0.81100457 1.8950459],[39.791377 4.6026537 2.095038 0.78507704 0.18753626],212.17964789307,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_02,final02,B_ofdm_active_subcarriers,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[39.759247 5.2263962 0.89397005 0.79815505 1.9146623],[39.835266 4.6117413 2.107455 0.78476222 0.20336989],195.875929914463,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_03,final02,B_ofdm_active_subcarriers,G003,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[42.122601 5.1171496 0.91199934 0.78200803 1.9854035],[42.17257 4.6877685 2.1702428 0.80232056 0.17131498],246.169769640165,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_04,final02,B_ofdm_active_subcarriers,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[31.804155 6.4394194 1.145268 0.64747629 1.5028507],[31.980334 5.4989492 1.8282874 0.78684608 0.13351855],239.519793478716,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_04,final02,B_ofdm_active_subcarriers,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[31.866555 6.4566429 1.1467514 0.63442093 1.5234975],[32.042765 5.5169754 1.8382509 0.7885983 0.16523466],193.922778628928,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_05,final02,B_ofdm_active_subcarriers,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[40.242555 5.2683793 0.90279402 0.79367609 1.9302911],[40.321903 4.6221432 2.1221382 0.7945182 0.18776539],214.746189409435,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_05,final02,B_ofdm_active_subcarriers,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[40.245057 5.267768 0.90267565 0.78104724 1.9490254],[40.324466 4.6208874 2.1338105 0.79236074 0.20351902],198.136102682552,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_06,final02,B_ofdm_active_subcarriers,G006,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[33.173381 6.854294 1.2060604 0.60014065 1.5633857],[33.383903 5.7429151 1.8822865 0.83048114 0.12154066],274.672705758225,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
