mode,snr_db,feature,edge_precision_micro,edge_recall_micro,edge_f1_micro
fixed_received_snr,30,amplitude,0.96750000000000003,0.96750000000000003,0.96750000000000003
fixed_received_snr,30,amplitude_raw_db,0.97062499999999996,0.97062499999999996,0.97062499999999996
fixed_received_snr,30,amplitude_db_standardized,0.97124999999999995,0.97124999999999995,0.97124999999999995
fixed_received_snr,30,phase,0.96915167095115684,0.9425,0.95564005069708491
fixed_received_snr,30,phase_masked,0.96915167095115684,0.9425,0.95564005069708491
fixed_received_snr,30,phase_weighted,0.96999999999999997,0.96999999999999997,0.96999999999999997
fixed_received_snr,30,complex,0.96812500000000001,0.96812500000000001,0.96812500000000001
fixed_received_snr,30,cir,0.97062499999999996,0.97062499999999996,0.97062499999999996
fixed_received_snr,30,amp_phase_joint,0.96915167095115684,0.9425,0.95564005069708491
fixed_received_snr,20,amplitude,0.97375,0.97375,0.97375
fixed_received_snr,20,amplitude_raw_db,0.97062499999999996,0.97062499999999996,0.97062499999999996
fixed_received_snr,20,amplitude_db_standardized,0.96499999999999997,0.96499999999999997,0.96499999999999997
fixed_received_snr,20,phase,0.96113989637305697,0.92749999999999999,0.94402035623409664
fixed_received_snr,20,phase_masked,0.96116504854368934,0.92812499999999998,0.94435612082670894
fixed_received_snr,20,phase_weighted,0.97187500000000004,0.97187500000000004,0.97187500000000004
fixed_received_snr,20,complex,0.96750000000000003,0.96750000000000003,0.96750000000000003
fixed_received_snr,20,cir,0.96562499999999996,0.96562499999999996,0.96562499999999996
fixed_received_snr,20,amp_phase_joint,0.96113989637305697,0.92749999999999999,0.94402035623409664
fixed_received_snr,10,amplitude,0.96937499999999999,0.96937499999999999,0.96937499999999999
fixed_received_snr,10,amplitude_raw_db,0.96516129032258069,0.93500000000000005,0.94984126984126982
fixed_received_snr,10,amplitude_db_standardized,0.97030342156229821,0.93937499999999996,0.95458875833597956
fixed_received_snr,10,phase,0.89637635092180545,0.88124999999999998,0.8887488181531672
fixed_received_snr,10,phase_masked,0.8984674329501916,0.87937500000000002,0.88881869867340491
fixed_received_snr,10,phase_weighted,0.96415094339622642,0.958125,0.96112852664576809
fixed_received_snr,10,complex,0.97375,0.97375,0.97375
fixed_received_snr,10,cir,0.96999999999999997,0.96999999999999997,0.96999999999999997
fixed_received_snr,10,amp_phase_joint,0.89637635092180545,0.88124999999999998,0.8887488181531672
fixed_received_snr,0,amplitude,0.96410978184377194,0.85624999999999996,0.90698444223766961
fixed_received_snr,0,amplitude_raw_db,0.99392558845861811,0.81812499999999999,0.89749742886527262
fixed_received_snr,0,amplitude_db_standardized,0.96834136269786653,0.87937500000000002,0.92171634457910256
fixed_received_snr,0,phase,0.88204795852235907,0.85062499999999996,0.86605154311167676
fixed_received_snr,0,phase_masked,0.89368770764119598,0.84062499999999996,0.86634460547504022
fixed_received_snr,0,phase_weighted,0.93279402613565654,0.93687500000000001,0.93483005924540075
fixed_received_snr,0,complex,0.96437499999999998,0.96437499999999998,0.96437499999999998
fixed_received_snr,0,cir,0.96875,0.96875,0.96875
fixed_received_snr,0,amp_phase_joint,0.88204795852235907,0.85062499999999996,0.86605154311167676
fixed_noise_power,30,amplitude,0.97250000000000003,0.97250000000000003,0.97250000000000003
fixed_noise_power,30,amplitude_raw_db,0.97062499999999996,0.97062499999999996,0.97062499999999996
fixed_noise_power,30,amplitude_db_standardized,0.97624999999999995,0.97624999999999995,0.97624999999999995
fixed_noise_power,30,phase,0.9634703196347032,0.92312499999999997,0.94286626236833704
fixed_noise_power,30,phase_masked,0.96344647519582249,0.92249999999999999,0.94252873563218398
fixed_noise_power,30,phase_weighted,0.96562499999999996,0.96562499999999996,0.96562499999999996
fixed_noise_power,30,complex,0.97187500000000004,0.97187500000000004,0.97187500000000004
fixed_noise_power,30,cir,0.96875,0.96875,0.96875
fixed_noise_power,30,amp_phase_joint,0.9634703196347032,0.92312499999999997,0.94286626236833704
fixed_noise_power,20,amplitude,0.97312500000000002,0.97312500000000002,0.97312500000000002
