sample_id,grid_id,scenario_id,method_id,decision,decision_reason,best_template_id,best_topology_id,best_equivalence_class,accepted_topology_set,baseline_P0_equivalence_class,baseline_P0_equivalence_class_size,prior_conditioned_equivalence_class,prior_conditioned_equivalence_class_size,best_distance,second_distance,margin,rho,robust_best_score,robust_margin,candidate_count_before_prior,candidate_count_after_prior,parameter_template_count,composite_template_count,distance_evaluations,matching_time_s,residual_threshold,margin_threshold,rho_threshold,configuration_hash,calibration_hash
test_grid_G005_02,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G005_P122,G005,"{G005}","G005","{G002,G005}",2,"{G005}",1,0,0.0936367449869368,0.0936367449869368,0,-4.56332922350215,3.79653889345161,7,4,243,972,972,0.064061,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G006_01,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P102,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.080788585773191,0.111085761891748,0.0302971761185571,0.727263191939858,0.184577780031317,0.184615817060584,7,4,243,972,972,0.061829,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G006_02,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P011,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.108522913753479,0.146865033002786,0.0383421192493064,0.738929556844766,0.441627807499435,0.293451355976917,7,4,243,972,972,0.065328,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G006_03,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P011,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.0899265331952924,0.122257205099593,0.032330671904301,0.735552012016803,0.271328726145367,0.212106153636422,7,4,243,972,972,0.068893,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G006_04,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P057,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.127447212867785,0.154385199586668,0.0269379867188827,0.825514448329058,0.471593963134826,0.340387840457083,7,4,243,972,972,0.060289,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G006_05,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P026,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.0961643553307491,0.128758385347346,0.0325940300165967,0.746858972101769,0.304235423569928,0.245681750100249,7,4,243,972,972,0.062752,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G006_06,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P189,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.0710401841140265,0.0980413726035017,0.0270011884894752,0.724593936486407,-0.168262503135776,0.296685243105231,7,4,243,972,972,0.069173,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_grid_G006_01,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P185,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.0444914072839442,0.0868521161781632,0.042360708894219,0.51226624337126,-0.149348543664409,0.0863834226231749,7,4,243,972,972,0.063684,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_grid_G006_02,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P185,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.0444914072839442,0.0868521161781632,0.042360708894219,0.51226624337126,-0.149348543664409,0.0863834226231749,7,4,243,972,972,0.064533,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G007_01,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P012,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.131808559358305,0.160711824918125,0.028903265559821,0.820154705010874,0.464404289150814,0.412274776873267,7,4,243,972,972,0.061281,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
