split,scenario,measurement_kind,method,feature,true_id,predicted_id,count
test,nominal_noise_20,siso_forward,nominal_nearest,amp_phase_joint_weighted,T2,T2,50
test,nominal_noise_20,siso_forward,topology_only,amplitude,T2,T2,50
test,nominal_noise_20,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,50
test,nominal_noise_20,siso_forward,nominal_nearest,amp_phase_joint_weighted,T3,T5,25
test,nominal_noise_20,siso_forward,topology_only,amplitude,T3,T3,38
test,nominal_noise_20,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T3,T5,10
test,nominal_noise_20,siso_forward,nominal_nearest,amp_phase_joint_weighted,T3,T3,25
test,nominal_noise_20,siso_forward,topology_only,amplitude,T3,T5,12
test,nominal_noise_20,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,40
test,nominal_noise_20,siso_forward,nominal_nearest,amp_phase_joint_weighted,T4,T4,50
test,nominal_noise_20,siso_forward,topology_only,amplitude,T4,T4,50
test,nominal_noise_20,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T4,T4,50
test,nominal_noise_20,siso_forward,nominal_nearest,amp_phase_joint_weighted,T5,T5,29
test,nominal_noise_20,siso_forward,topology_only,amplitude,T5,T5,14
test,nominal_noise_20,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T5,T3,33
test,nominal_noise_20,siso_forward,nominal_nearest,amp_phase_joint_weighted,T5,T3,21
test,nominal_noise_20,siso_forward,topology_only,amplitude,T5,T3,36
test,nominal_noise_20,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T5,T5,17
test,nominal_noise_20,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T2,T2,50
test,nominal_noise_20,dual_receiver_complete,topology_only,amplitude,T2,T2,50
test,nominal_noise_20,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,50
test,nominal_noise_20,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T3,T3,50
test,nominal_noise_20,dual_receiver_complete,topology_only,amplitude,T3,T3,50
test,nominal_noise_20,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,50
test,nominal_noise_20,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T4,T4,50
test,nominal_noise_20,dual_receiver_complete,topology_only,amplitude,T4,T4,50
test,nominal_noise_20,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,T4,T4,50
test,nominal_noise_20,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T5,T5,50
test,nominal_noise_20,dual_receiver_complete,topology_only,amplitude,T5,T5,50
test,nominal_noise_20,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,T5,T5,50
test,nominal_noise_20,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T2,T2,50
test,nominal_noise_20,dual_receiver_highz_complete,topology_only,amplitude,T2,T2,50
test,nominal_noise_20,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,50
test,nominal_noise_20,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T3,T3,50
test,nominal_noise_20,dual_receiver_highz_complete,topology_only,amplitude,T3,T3,50
test,nominal_noise_20,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,50
test,nominal_noise_20,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T4,T4,50
test,nominal_noise_20,dual_receiver_highz_complete,topology_only,amplitude,T4,T4,50
test,nominal_noise_20,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,T4,T4,50
test,nominal_noise_20,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T5,T5,50
test,nominal_noise_20,dual_receiver_highz_complete,topology_only,amplitude,T5,T5,50
test,nominal_noise_20,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,T5,T5,50
test,nominal_noise_20,dual_receiver_counterfactual,nominal_nearest,amp_phase_joint_weighted,T2,T2,50
test,nominal_noise_20,dual_receiver_counterfactual,topology_only,amplitude,T2,T2,50
test,nominal_noise_20,dual_receiver_counterfactual,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,50
test,nominal_noise_20,dual_receiver_counterfactual,nominal_nearest,amp_phase_joint_weighted,T3,T3,50
test,nominal_noise_20,dual_receiver_counterfactual,topology_only,amplitude,T3,T3,50
test,nominal_noise_20,dual_receiver_counterfactual,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,50
test,nominal_noise_20,dual_receiver_counterfactual,nominal_nearest,amp_phase_joint_weighted,T4,T4,50
test,nominal_noise_20,dual_receiver_counterfactual,topology_only,amplitude,T4,T4,50
test,nominal_noise_20,dual_receiver_counterfactual,nuisance_aware_joint,amp_phase_joint_weighted,T4,T4,50
test,nominal_noise_20,dual_receiver_counterfactual,nominal_nearest,amp_phase_joint_weighted,T5,T5,50
test,nominal_noise_20,dual_receiver_counterfactual,topology_only,amplitude,T5,T5,50
test,nominal_noise_20,dual_receiver_counterfactual,nuisance_aware_joint,amp_phase_joint_weighted,T5,T5,50
test,nominal_noise_20,three_view_complete,nominal_nearest,amp_phase_joint_weighted,T2,T2,50
test,nominal_noise_20,three_view_complete,topology_only,amplitude,T2,T2,50
test,nominal_noise_20,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,50
test,nominal_noise_20,three_view_complete,nominal_nearest,amp_phase_joint_weighted,T3,T3,50
test,nominal_noise_20,three_view_complete,topology_only,amplitude,T3,T3,50
test,nominal_noise_20,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,50
test,nominal_noise_20,three_view_complete,nominal_nearest,amp_phase_joint_weighted,T4,T4,50
test,nominal_noise_20,three_view_complete,topology_only,amplitude,T4,T4,50
test,nominal_noise_20,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,T4,T4,50
test,nominal_noise_20,three_view_complete,nominal_nearest,amp_phase_joint_weighted,T5,T5,50
test,nominal_noise_20,three_view_complete,topology_only,amplitude,T5,T5,50
test,nominal_noise_20,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,T5,T5,50
test,load_error_10,siso_forward,nominal_nearest,amp_phase_joint_weighted,T2,T2,50
test,load_error_10,siso_forward,topology_only,amplitude,T2,T2,50
test,load_error_10,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,50
test,load_error_10,siso_forward,nominal_nearest,amp_phase_joint_weighted,T3,T5,28
test,load_error_10,siso_forward,topology_only,amplitude,T3,T3,35
test,load_error_10,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,43
test,load_error_10,siso_forward,nominal_nearest,amp_phase_joint_weighted,T3,T3,22
test,load_error_10,siso_forward,topology_only,amplitude,T3,T5,15
test,load_error_10,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T3,T5,7
test,load_error_10,siso_forward,nominal_nearest,amp_phase_joint_weighted,T4,T4,50
test,load_error_10,siso_forward,topology_only,amplitude,T4,T4,50
test,load_error_10,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T4,T4,50
test,load_error_10,siso_forward,nominal_nearest,amp_phase_joint_weighted,T5,T3,24
test,load_error_10,siso_forward,topology_only,amplitude,T5,T5,14
test,load_error_10,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T5,T5,13
test,load_error_10,siso_forward,nominal_nearest,amp_phase_joint_weighted,T5,T5,26
test,load_error_10,siso_forward,topology_only,amplitude,T5,T3,36
test,load_error_10,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T5,T3,37
test,load_error_10,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T2,T2,50
test,load_error_10,dual_receiver_complete,topology_only,amplitude,T2,T2,50
test,load_error_10,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,50
test,load_error_10,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T3,T3,50
test,load_error_10,dual_receiver_complete,topology_only,amplitude,T3,T3,50
test,load_error_10,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,50
test,load_error_10,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T4,T4,50
test,load_error_10,dual_receiver_complete,topology_only,amplitude,T4,T4,50
test,load_error_10,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,T4,T4,50
test,load_error_10,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T5,T5,50
test,load_error_10,dual_receiver_complete,topology_only,amplitude,T5,T5,50
test,load_error_10,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,T5,T5,50
test,load_error_10,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T2,T2,50
test,load_error_10,dual_receiver_highz_complete,topology_only,amplitude,T2,T2,50
test,load_error_10,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,50
test,load_error_10,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T3,T3,50
test,load_error_10,dual_receiver_highz_complete,topology_only,amplitude,T3,T3,50
test,load_error_10,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,50
test,load_error_10,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T4,T4,50
test,load_error_10,dual_receiver_highz_complete,topology_only,amplitude,T4,T4,50
test,load_error_10,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,T4,T4,50
test,load_error_10,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T5,T5,50
test,load_error_10,dual_receiver_highz_complete,topology_only,amplitude,T5,T5,50
test,load_error_10,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,T5,T5,50
test,load_error_10,dual_receiver_counterfactual,nominal_nearest,amp_phase_joint_weighted,T2,T2,50
test,load_error_10,dual_receiver_counterfactual,topology_only,amplitude,T2,T2,50
test,load_error_10,dual_receiver_counterfactual,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,50
test,load_error_10,dual_receiver_counterfactual,nominal_nearest,amp_phase_joint_weighted,T3,T3,50
test,load_error_10,dual_receiver_counterfactual,topology_only,amplitude,T3,T3,50
test,load_error_10,dual_receiver_counterfactual,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,50
test,load_error_10,dual_receiver_counterfactual,nominal_nearest,amp_phase_joint_weighted,T4,T4,50
test,load_error_10,dual_receiver_counterfactual,topology_only,amplitude,T4,T4,50
test,load_error_10,dual_receiver_counterfactual,nuisance_aware_joint,amp_phase_joint_weighted,T4,T4,50
test,load_error_10,dual_receiver_counterfactual,nominal_nearest,amp_phase_joint_weighted,T5,T5,50
test,load_error_10,dual_receiver_counterfactual,topology_only,amplitude,T5,T5,50
test,load_error_10,dual_receiver_counterfactual,nuisance_aware_joint,amp_phase_joint_weighted,T5,T5,50
test,load_error_10,three_view_complete,nominal_nearest,amp_phase_joint_weighted,T2,T2,50
test,load_error_10,three_view_complete,topology_only,amplitude,T2,T2,50
test,load_error_10,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,50
test,load_error_10,three_view_complete,nominal_nearest,amp_phase_joint_weighted,T3,T3,50
test,load_error_10,three_view_complete,topology_only,amplitude,T3,T3,50
test,load_error_10,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,50
test,load_error_10,three_view_complete,nominal_nearest,amp_phase_joint_weighted,T4,T4,50
test,load_error_10,three_view_complete,topology_only,amplitude,T4,T4,50
test,load_error_10,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,T4,T4,50
test,load_error_10,three_view_complete,nominal_nearest,amp_phase_joint_weighted,T5,T5,50
test,load_error_10,three_view_complete,topology_only,amplitude,T5,T5,50
test,load_error_10,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,T5,T5,50
test,joint_bounded,siso_forward,nominal_nearest,amp_phase_joint_weighted,T2,T2,47
test,joint_bounded,siso_forward,topology_only,amplitude,T2,T2,50
test,joint_bounded,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,50
test,joint_bounded,siso_forward,nominal_nearest,amp_phase_joint_weighted,T2,T5,2
test,joint_bounded,siso_forward,nominal_nearest,amp_phase_joint_weighted,T2,T3,1
test,joint_bounded,siso_forward,nominal_nearest,amp_phase_joint_weighted,T3,T5,16
test,joint_bounded,siso_forward,topology_only,amplitude,T3,T5,18
test,joint_bounded,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,19
test,joint_bounded,siso_forward,nominal_nearest,amp_phase_joint_weighted,T3,T3,27
test,joint_bounded,siso_forward,topology_only,amplitude,T3,T3,32
test,joint_bounded,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T3,T5,31
test,joint_bounded,siso_forward,nominal_nearest,amp_phase_joint_weighted,T3,T4,5
test,joint_bounded,siso_forward,nominal_nearest,amp_phase_joint_weighted,T3,T2,2
test,joint_bounded,siso_forward,nominal_nearest,amp_phase_joint_weighted,T4,T4,47
test,joint_bounded,siso_forward,topology_only,amplitude,T4,T4,50
test,joint_bounded,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T4,T4,50
test,joint_bounded,siso_forward,nominal_nearest,amp_phase_joint_weighted,T4,T3,2
test,joint_bounded,siso_forward,nominal_nearest,amp_phase_joint_weighted,T4,T5,1
test,joint_bounded,siso_forward,nominal_nearest,amp_phase_joint_weighted,T5,T3,30
test,joint_bounded,siso_forward,topology_only,amplitude,T5,T3,41
test,joint_bounded,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T5,T5,24
test,joint_bounded,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T5,T3,26
test,joint_bounded,siso_forward,nominal_nearest,amp_phase_joint_weighted,T5,T4,6
test,joint_bounded,siso_forward,nominal_nearest,amp_phase_joint_weighted,T5,T5,13
test,joint_bounded,siso_forward,topology_only,amplitude,T5,T5,9
test,joint_bounded,siso_forward,nominal_nearest,amp_phase_joint_weighted,T5,T2,1
test,joint_bounded,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T2,T2,40
test,joint_bounded,dual_receiver_complete,topology_only,amplitude,T2,T2,50
test,joint_bounded,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,50
test,joint_bounded,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T2,T3,10
test,joint_bounded,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T3,T3,43
test,joint_bounded,dual_receiver_complete,topology_only,amplitude,T3,T3,50
test,joint_bounded,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,50
test,joint_bounded,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T3,T2,7
test,joint_bounded,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T4,T4,49
test,joint_bounded,dual_receiver_complete,topology_only,amplitude,T4,T4,50
test,joint_bounded,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,T4,T4,50
test,joint_bounded,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T4,T5,1
test,joint_bounded,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T5,T5,48
test,joint_bounded,dual_receiver_complete,topology_only,amplitude,T5,T5,50
test,joint_bounded,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,T5,T5,50
test,joint_bounded,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T5,T2,2
test,joint_bounded,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T2,T2,48
test,joint_bounded,dual_receiver_highz_complete,topology_only,amplitude,T2,T2,50
test,joint_bounded,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,50
test,joint_bounded,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T2,T3,2
test,joint_bounded,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T3,T3,49
test,joint_bounded,dual_receiver_highz_complete,topology_only,amplitude,T3,T3,50
