true_or_pred,T1,T2,T3,T4,T5,T6
T1,50,0,0,0,0,0
T2,0,50,0,0,0,0
T3,0,0,42,0,8,0
T4,0,0,0,50,0,0
T5,0,0,38,0,12,0
T6,0,0,1,49,0,0
