mode,scenario,input_mode,measurement_kind,observation_mode,feature,noise_kind,snr_db,pilot_spacing,trials,strict_accuracy,strict_unique_rate,equivalence_class_rate,ambiguity_rate,false_unique_rate,physically_ambiguous_class_rate,cfr_nmse,amplitude_rmse_db,weighted_phase_rmse_deg,circular_delay_error_s,mean_margin,view_count,frequency_count,edge_precision,edge_recall,edge_f1,runtime_s
formal,white_dense_20,ofdm_dense_ls,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,amp_phase_joint_weighted,white_awgn,20,1,8,0.625,0.5,1,0.5,0,0.5,0.00414442509290465,0.742186089286948,4.03785969979073,0,0.0387880349418989,2,1793,0.928571428571429,0.928571428571429,0.928571428571429,1.88574175
formal,white_dense_20,ofdm_dense_ls,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,cir,white_awgn,20,1,8,0.5,0.5,1,0.5,0,0.5,0.00414442509290465,0.742186089286948,4.03785969979073,0,0.00263062486779771,2,1793,0.904761904761905,0.904761904761905,0.904761904761905,1.89671
formal,white_dense_20,ofdm_dense_ls,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,toa,white_awgn,20,1,8,0.25,0,0.25,1,0,0,0.00414442509290465,0.742186089286948,4.03785969979073,0,0,2,1793,0.85,0.80952380952381,0.829268292682927,1.899351125
formal,white_dense_20,ofdm_dense_ls,dual_receiver_complete,ordinary_ofdm_cfr,amplitude,white_awgn,20,1,8,1,1,1,0,0,0,0.00416096852573522,0.853869012236041,6.13190133581044,0,0.00456291909004674,2,1793,1,1,1,2.209908875
formal,white_dense_20,ofdm_dense_ls,dual_receiver_complete,ordinary_ofdm_cfr,amp_phase_joint_weighted,white_awgn,20,1,8,1,1,1,0,0,0,0.00416096852573522,0.853869012236041,6.13190133581044,0,0.0526117353494575,2,1793,1,1,1,2.2167875
formal,white_dense_20,ofdm_dense_ls,dual_receiver_complete,ordinary_ofdm_cfr,cir,white_awgn,20,1,8,1,1,1,0,0,0,0.00416096852573522,0.853869012236041,6.13190133581044,0,0.00439843921515478,2,1793,1,1,1,2.226764125
formal,white_dense_20,ofdm_dense_ls,dual_receiver_complete,ordinary_ofdm_cfr,toa,white_awgn,20,1,8,0.5,0.25,0.5,0.75,0,0,0.00416096852573522,0.853869012236041,6.13190133581044,0,1.93349510480697e-08,2,1793,0.904761904761905,0.904761904761905,0.904761904761905,2.22894125
formal,white_dense_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,amplitude,white_awgn,20,1,8,1,1,1,0,0,0,0.00408686017226195,0.803098638097098,4.85460300211822,0,0.00452580628010232,3,1793,1,1,1,2.582240125
formal,white_dense_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,amp_phase_joint_weighted,white_awgn,20,1,8,1,1,1,0,0,0,0.00408686017226195,0.803098638097098,4.85460300211822,0,0.0770263813081525,3,1793,1,1,1,2.59138775
formal,white_dense_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,cir,white_awgn,20,1,8,1,1,1,0,0,0,0.00408686017226195,0.803098638097098,4.85460300211822,0,0.00460500103699867,3,1793,1,1,1,2.604816375
formal,white_dense_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,toa,white_awgn,20,1,8,0.5,0.25,0.5,0.75,0,0,0.00408686017226195,0.803098638097098,4.85460300211822,0,1.57869214231538e-08,3,1793,0.904761904761905,0.904761904761905,0.904761904761905,2.607645
formal,white_sparse_20,ofdm_sparse_interp,siso_forward,ordinary_ofdm_cfr,amplitude,white_awgn,20,4,8,0.875,0.5,1,0.5,0,0.5,0.000919696225871742,0.348285971872826,1.76294535067186,0,0.00272985209947521,1,1793,0.976190476190476,0.976190476190476,0.976190476190476,2.883276625
formal,white_sparse_20,ofdm_sparse_interp,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,white_awgn,20,4,8,0.75,0.5,1,0.5,0,0.5,0.000919696225871742,0.348285971872826,1.76294535067186,0,0.0425394901842857,1,1793,0.952380952380952,0.952380952380952,0.952380952380952,2.88688875
formal,white_sparse_20,ofdm_sparse_interp,siso_forward,ordinary_ofdm_cfr,cir,white_awgn,20,4,8,0.875,0.5,1,0.5,0,0.5,0.000919696225871742,0.348285971872826,1.76294535067186,0,0.00286356610890101,1,1793,0.976190476190476,0.976190476190476,0.976190476190476,2.891947875
formal,white_sparse_20,ofdm_sparse_interp,siso_forward,ordinary_ofdm_cfr,toa,white_awgn,20,4,8,0.25,0,0.25,1,0,0,0.000919696225871742,0.348285971872826,1.76294535067186,0,0,1,1793,0.85,0.80952380952381,0.829268292682927,2.893337875
formal,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,amplitude,white_awgn,20,4,8,0.75,0.5,1,0.5,0,0.5,0.000916099819362568,0.343373138799812,1.96432636203988,0,0.00272601931841904,2,1793,0.952380952380952,0.952380952380952,0.952380952380952,3.124401625
formal,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,amp_phase_joint_weighted,white_awgn,20,4,8,0.5,0.5,1,0.5,0,0.5,0.000916099819362568,0.343373138799812,1.96432636203988,0,0.0424182491230235,2,1793,0.904761904761905,0.904761904761905,0.904761904761905,3.130813625
formal,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,cir,white_awgn,20,4,8,0.75,0.5,1,0.5,0,0.5,0.000916099819362568,0.343373138799812,1.96432636203988,0,0.00285349090699145,2,1793,0.952380952380952,0.952380952380952,0.952380952380952,3.1400475
formal,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,toa,white_awgn,20,4,8,0.25,0,0.25,1,0,0,0.000916099819362568,0.343373138799812,1.96432636203988,0,0,2,1793,0.85,0.80952380952381,0.829268292682927,3.1421115
formal,white_sparse_20,ofdm_sparse_interp,dual_receiver_complete,ordinary_ofdm_cfr,amplitude,white_awgn,20,4,8,1,1,1,0,0,0,0.000916700073501703,0.424423399598102,2.43362952251535,0,0.00505514395980391,2,1793,1,1,1,3.424388125
formal,white_sparse_20,ofdm_sparse_interp,dual_receiver_complete,ordinary_ofdm_cfr,amp_phase_joint_weighted,white_awgn,20,4,8,1,1,1,0,0,0,0.000916700073501703,0.424423399598102,2.43362952251535,0,0.0615920821396726,2,1793,1,1,1,3.43086825
formal,white_sparse_20,ofdm_sparse_interp,dual_receiver_complete,ordinary_ofdm_cfr,cir,white_awgn,20,4,8,1,1,1,0,0,0,0.000916700073501703,0.424423399598102,2.43362952251535,0,0.00485768889249703,2,1793,1,1,1,3.440327625
formal,white_sparse_20,ofdm_sparse_interp,dual_receiver_complete,ordinary_ofdm_cfr,toa,white_awgn,20,4,8,0.5,0.25,0.5,0.75,0,0,0.000916700073501703,0.424423399598102,2.43362952251535,0,1.93349510480697e-08,2,1793,0.904761904761905,0.904761904761905,0.904761904761905,3.442364625
formal,white_sparse_20,ofdm_sparse_interp,three_view_complete,ordinary_ofdm_cfr,amplitude,white_awgn,20,4,8,1,1,1,0,0,0,0.000919236673729518,0.39771979826564,3.13471731838836,0,0.00502242287167213,3,1793,1,1,1,3.7732265
formal,white_sparse_20,ofdm_sparse_interp,three_view_complete,ordinary_ofdm_cfr,amp_phase_joint_weighted,white_awgn,20,4,8,1,1,1,0,0,0,0.000919236673729518,0.39771979826564,3.13471731838836,0,0.0817507853003363,3,1793,1,1,1,3.782330875
formal,white_sparse_20,ofdm_sparse_interp,three_view_complete,ordinary_ofdm_cfr,cir,white_awgn,20,4,8,1,1,1,0,0,0,0.000919236673729518,0.39771979826564,3.13471731838836,0,0.00506953164520548,3,1793,1,1,1,3.795635
formal,white_sparse_20,ofdm_sparse_interp,three_view_complete,ordinary_ofdm_cfr,toa,white_awgn,20,4,8,0.5,0.25,0.5,0.75,0,0,0.000919236673729518,0.39771979826564,3.13471731838836,0,1.57869214231538e-08,3,1793,0.904761904761905,0.904761904761905,0.904761904761905,3.798406
formal,colored_dense_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,colored_gaussian,20,1,8,1,0.5,1,0.5,0,0.5,0.00525640032370649,0.825612325819859,4.14210686797446,0,0.00241809237410352,1,1793,1,1,1,4.0775415
formal,colored_dense_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,colored_gaussian,20,1,8,0.75,0.5,1,0.5,0,0.5,0.00525640032370649,0.825612325819859,4.14210686797446,0,0.0379592288988402,1,1793,0.952380952380952,0.952380952380952,0.952380952380952,4.081414375
formal,colored_dense_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,colored_gaussian,20,1,8,0.875,0.5,1,0.5,0,0.5,0.00525640032370649,0.825612325819859,4.14210686797446,0,0.00257230725013104,1,1793,0.976190476190476,0.976190476190476,0.976190476190476,4.086886875
formal,colored_dense_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,colored_gaussian,20,1,8,0.25,0,0.25,1,0,0,0.00525640032370649,0.825612325819859,4.14210686797446,0,0,1,1793,0.85,0.80952380952381,0.829268292682927,4.088338
formal,colored_dense_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,amplitude,colored_gaussian,20,1,8,1,1,1,0,0,0,0.00526142739395117,0.900169842519291,6.03389800245039,0,0.00441085022723283,3,1793,1,1,1,4.383841875
formal,colored_dense_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,amp_phase_joint_weighted,colored_gaussian,20,1,8,1,1,1,0,0,0,0.00526142739395117,0.900169842519291,6.03389800245039,0,0.0752254258528028,3,1793,1,1,1,4.393126
formal,colored_dense_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,cir,colored_gaussian,20,1,8,1,1,1,0,0,0,0.00526142739395117,0.900169842519291,6.03389800245039,0,0.00449475738298688,3,1793,1,1,1,4.40669475
formal,colored_dense_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,toa,colored_gaussian,20,1,8,0.5,0.25,0.5,0.75,0,0,0.00526142739395117,0.900169842519291,6.03389800245039,0,1.57869214231538e-08,3,1793,0.904761904761905,0.904761904761905,0.904761904761905,4.409437
formal,impulsive_dense_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,impulsive,20,1,8,0.625,0.5,1,0.5,0,0.5,0.00184448702024176,0.468059543436435,2.38584762879365,0,0.00264194722565565,1,1793,0.928571428571429,0.928571428571429,0.928571428571429,4.690556125
formal,impulsive_dense_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,impulsive,20,1,8,0.75,0.5,1,0.5,0,0.5,0.00184448702024176,0.468059543436435,2.38584762879365,0,0.0410723266576226,1,1793,0.952380952380952,0.952380952380952,0.952380952380952,4.694227875
formal,impulsive_dense_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,impulsive,20,1,8,0.75,0.5,1,0.5,0,0.5,0.00184448702024176,0.468059543436435,2.38584762879365,0,0.00277292393444785,1,1793,0.952380952380952,0.952380952380952,0.952380952380952,4.699465
formal,impulsive_dense_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,impulsive,20,1,8,0.25,0,0.25,1,0,0,0.00184448702024176,0.468059543436435,2.38584762879365,0,0,1,1793,0.85,0.80952380952381,0.829268292682927,4.70089025
formal,impulsive_dense_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,amplitude,impulsive,20,1,8,1,1,1,0,0,0,0.00181962888537586,0.553780436611052,4.090758998234,0,0.00483564589402013,3,1793,1,1,1,4.994040625
formal,impulsive_dense_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,amp_phase_joint_weighted,impulsive,20,1,8,1,1,1,0,0,0,0.00181962888537586,0.553780436611052,4.090758998234,0,0.0809237271652182,3,1793,1,1,1,5.00372725
formal,impulsive_dense_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,cir,impulsive,20,1,8,1,1,1,0,0,0,0.00181962888537586,0.553780436611052,4.090758998234,0,0.00489629512039378,3,1793,1,1,1,5.018178125
formal,impulsive_dense_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,toa,impulsive,20,1,8,0.5,0.25,0.5,0.75,0,0,0.00181962888537586,0.553780436611052,4.090758998234,0,1.57869214231538e-08,3,1793,0.904761904761905,0.904761904761905,0.904761904761905,5.02105025
formal,load_change_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,white_awgn,20,1,8,0.875,0.5,1,0.5,0,0.5,0.00412441511987005,0.750992196809207,3.83142509661703,0,0.00241138741186696,1,1793,0.976190476190476,0.976190476190476,0.976190476190476,5.3110625
formal,load_change_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,white_awgn,20,1,8,0.875,0.5,1,0.5,0,0.5,0.00412441511987005,0.750992196809207,3.83142509661703,0,0.0356039058759272,1,1793,0.976190476190476,0.976190476190476,0.976190476190476,5.31479275
formal,load_change_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,white_awgn,20,1,8,0.875,0.5,1,0.5,0,0.5,0.00412441511987005,0.750992196809207,3.83142509661703,0,0.00255054671182979,1,1793,0.976190476190476,0.976190476190476,0.976190476190476,5.320133625
formal,load_change_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,white_awgn,20,1,8,0.25,0,0.25,1,0,0,0.00412441511987005,0.750992196809207,3.83142509661703,0,0,1,1793,0.85,0.80952380952381,0.829268292682927,5.3215045
formal,load_change_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,amplitude,white_awgn,20,1,8,1,1,1,0,0,0,0.00410837682225707,0.807406965572654,6.08122794430533,0,0.00442086271474428,3,1793,1,1,1,5.608380625
formal,load_change_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,amp_phase_joint_weighted,white_awgn,20,1,8,1,1,1,0,0,0,0.00410837682225707,0.807406965572654,6.08122794430533,0,0.0689944621265019,3,1793,1,1,1,5.61748825
formal,load_change_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,cir,white_awgn,20,1,8,1,1,1,0,0,0,0.00410837682225707,0.807406965572654,6.08122794430533,0,0.00449720174565642,3,1793,1,1,1,5.630772875
formal,load_change_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,toa,white_awgn,20,1,8,0.5,0.25,0.5,0.75,0,0,0.00410837682225707,0.807406965572654,6.08122794430533,0,1.57869214231538e-08,3,1793,0.904761904761905,0.904761904761905,0.904761904761905,5.633510375
formal,load_time_varying_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,white_awgn,20,1,8,0.5,0.5,1,0.5,0,0.5,0.00411414633131129,0.753582687912813,3.65394853796137,-1.3671875e-08,0.00240865098861422,1,1793,0.904761904761905,0.904761904761905,0.904761904761905,5.936885125
formal,load_time_varying_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,white_awgn,20,1,8,0.75,0.5,1,0.5,0,0.5,0.00411414633131129,0.753582687912813,3.65394853796137,-1.3671875e-08,0.0358498052094737,1,1793,0.952380952380952,0.952380952380952,0.952380952380952,5.94060925
formal,load_time_varying_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,white_awgn,20,1,8,0.625,0.5,1,0.5,0,0.5,0.00411414633131129,0.753582687912813,3.65394853796137,-1.3671875e-08,0.00254208933412128,1,1793,0.928571428571429,0.928571428571429,0.928571428571429,5.945736625
formal,load_time_varying_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,white_awgn,20,1,8,0.25,0,0.25,1,0,0,0.00411414633131129,0.753582687912813,3.65394853796137,-1.3671875e-08,0,1,1793,0.85,0.80952380952381,0.829268292682927,5.94718375
