true_or_pred,T1,T2,T3,T4,T5,T6
T1,28,1,1,0,0,20
T2,23,4,4,0,0,19
T3,32,0,1,0,0,17
T4,27,5,0,0,0,18
T5,29,0,1,0,0,20
T6,38,1,1,0,0,10
