snr_db,feature,accuracy,group_accuracy,ambiguous_rate,edge_precision,edge_recall,edge_f1,estimate_nmse,estimate_amplitude_rmse_db,estimate_phase_rmse_deg
30,amplitude,0.79166666666666663,1,0.33333333333333331,0.9609375,0.9609375,0.9609375,0.0010007697163270201,0.54630424610646644,52.08553688447158
30,phase,0.72499999999999998,0.90000000000000002,0.38333333333333336,0.96557377049180326,0.92031249999999998,0.9423999999999999,0.0010007697163270201,0.54630424610646644,52.08553688447158
30,complex,0.78333333333333333,1,0.33333333333333331,0.95937499999999998,0.95937499999999998,0.95937499999999998,0.0010007697163270201,0.54630424610646644,52.08553688447158
30,cir,0.77500000000000002,1,0.33333333333333331,0.95781249999999996,0.95781249999999996,0.95781249999999996,0.0010007697163270201,0.54630424610646644,52.08553688447158
30,amp_phase_joint,0.72499999999999998,0.90000000000000002,0.38333333333333336,0.96557377049180326,0.92031249999999998,0.9423999999999999,0.0010007697163270201,0.54630424610646644,52.08553688447158
20,amplitude,0.84999999999999998,1,0.33333333333333331,0.97187500000000004,0.97187500000000004,0.97187500000000004,0.010005666054199261,1.4309776579099052,162.68112554131307
20,phase,0.59999999999999998,0.79166666666666663,0.34999999999999998,0.94892915980230641,0.90000000000000002,0.92381716118684831,0.010005666054199261,1.4309776579099052,162.68112554131307
20,complex,0.85833333333333328,1,0.33333333333333331,0.97343749999999996,0.97343749999999996,0.97343749999999996,0.010005666054199261,1.4309776579099052,162.68112554131307
20,cir,0.85833333333333328,1,0.33333333333333331,0.97343749999999996,0.97343749999999996,0.97343749999999996,0.010005666054199261,1.4309776579099052,162.68112554131307
20,amp_phase_joint,0.59999999999999998,0.79166666666666663,0.34999999999999998,0.94892915980230641,0.90000000000000002,0.92381716118684831,0.010005666054199261,1.4309776579099052,162.68112554131307
10,amplitude,0.82499999999999996,1,0.33333333333333331,0.96718749999999998,0.96718749999999998,0.96718749999999998,0.099726574544806643,3.5575982161684174,488.34928115347122
10,phase,0.29166666666666669,0.35833333333333334,0.15833333333333333,0.90507364975450078,0.86406249999999996,0.8840927258193445,0.099726574544806643,3.5575982161684174,488.34928115347122
10,complex,0.84166666666666667,1,0.33333333333333331,0.97031250000000002,0.97031250000000002,0.97031250000000002,0.099726574544806643,3.5575982161684174,488.34928115347122
10,cir,0.8833333333333333,1,0.33333333333333331,0.97812500000000002,0.97812500000000002,0.97812500000000002,0.099726574544806643,3.5575982161684174,488.34928115347122
10,amp_phase_joint,0.29999999999999999,0.35833333333333334,0.15833333333333333,0.90671031096563015,0.86562499999999998,0.88569144684252588,0.099726574544806643,3.5575982161684174,488.34928115347122
0,amplitude,0.375,0.54166666666666663,0.66666666666666663,0.96460176991150437,0.8515625,0.90456431535269699,0.99982078707991062,7.0576324198051674,1412.6569184979046
0,phase,0.18333333333333332,0.19166666666666668,0.033333333333333333,0.859375,0.859375,0.859375,0.99982078707991062,7.0576324198051674,1412.6569184979046
0,complex,0.8666666666666667,1,0.33333333333333331,0.97499999999999998,0.97499999999999998,0.97499999999999998,0.99982078707991062,7.0576324198051674,1412.6569184979046
0,cir,0.82499999999999996,1,0.33333333333333331,0.96718749999999998,0.96718749999999998,0.96718749999999998,0.99982078707991062,7.0576324198051674,1412.6569184979046
0,amp_phase_joint,0.18333333333333332,0.19166666666666668,0.033333333333333333,0.859375,0.859375,0.859375,0.99982078707991062,7.0576324198051674,1412.6569184979046
