true_or_pred,T1,T2,T3,T4,T5,T6
T1,14,0,0,0,0,6
T2,8,0,2,0,0,10
T3,11,1,0,0,0,8
T4,11,0,1,0,0,8
T5,6,2,1,0,0,11
T6,12,0,0,0,0,8
