mode,snr_db,trial,true_id,feature,predicted_id,group_correct,numeric_tie,distance_gap,group_intra_distance,group_inter_distance,nmse,amplitude_rmse_db,raw_phase_rmse_deg,masked_phase_rmse_deg,weighted_phase_rmse_deg,valid_phase_fraction
fixed_received_snr,30,1,T1,amplitude,T1,1,0,0.0073967246328478856,0.0005192437010637579,0.0079159683339116438,0.00099646787633947561,0.21790222173463877,1.4875571037121484,1.4875571037121484,1.3994143179270981,1
fixed_received_snr,30,1,T2,amplitude,T2,1,0,0.0066673693793146849,0.00053627574426614623,0.0072036451235808312,0.0010524871495614018,0.32163480998315291,2.2549597498386751,2.2549597498386751,1.7942237152277729,1
fixed_received_snr,30,1,T3,amplitude,T5,1,1,2.1684043449710089e-19,0.00053121198280164602,0.004738732881994165,0.00097637166821873964,0.27990390160768713,2.0718771487469336,2.0718771487469336,1.8242322291785973,1
fixed_received_snr,30,1,T4,amplitude,T4,1,0,0.0031192885015260303,0.00053868831560763167,0.0036579768171336618,0.0010232540355251342,0.65650879471341883,4.1293026771286936,4.1293026771286936,2.0776849760487699,1
fixed_received_snr,30,1,T5,amplitude,T5,1,1,3.2526065174565133e-19,0.00054085064885477292,0.0047961071384495556,0.0010506337507657365,0.28258513135923119,1.9515639505411839,1.9515639505411839,1.6546239533242308,1
fixed_received_snr,30,1,T6,amplitude,T6,1,0,0.003112104907511121,0.00052938869021175049,0.0036414935977228716,0.0010029495327545824,1.6152120690693921,29.80110000550728,9.7256169804886827,5.2478755414931095,0.95872838817624095
fixed_received_snr,30,2,T1,amplitude,T1,1,0,0.0073951911041063977,0.00053086911740625616,0.0079260602215126541,0.0010003465533485584,0.22099247023960469,2.8885433157590881,2.8885433157590881,2.8605560628889903,1
fixed_received_snr,30,2,T2,amplitude,T2,1,0,0.0066663070595542918,0.00052830527857711772,0.0071946123381314096,0.0010007939671036496,0.31054583274840797,2.8251551478740242,2.8251551478740242,2.5480451635932075,1
fixed_received_snr,30,2,T3,amplitude,T5,1,1,2.1684043449710089e-19,0.0005350172213694326,0.004753824091793651,0.0010194321728542084,0.28901959481407341,1.8730603475803826,1.8730603475803826,1.555505622941334,1
fixed_received_snr,30,2,T4,amplitude,T4,1,0,0.0031489169564413262,0.00052213475333744185,0.0036710517097787681,0.00099354982761031192,0.59708635919686603,4.0048817797091569,4.0048817797091569,2.1853472757696752,1
fixed_received_snr,30,2,T5,amplitude,T3,1,1,2.1684043449710089e-19,0.00052369928621277524,0.0047566081643607436,0.00097525689588293075,0.27483019454187241,2.0554517655134648,2.0554517655134648,1.8031229635598405,1
fixed_received_snr,30,2,T6,amplitude,T6,1,0,0.0031115073809765245,0.00054080912840111673,0.0036523165093776413,0.0010509420929160007,1.7603987857511012,317.57860213914847,319.00465122634506,4.0739064094621193,0.95426659230340216
fixed_received_snr,30,3,T1,amplitude,T1,1,0,0.0074096592160905611,0.00051455153362464146,0.0079242107497152024,0.00099914083646205861,0.2143354156582184,1.9026075354397849,1.9026075354397849,1.8359203141806213,1
fixed_received_snr,30,3,T2,amplitude,T2,1,0,0.0066670542692702974,0.00052717939093566753,0.0071942336602059649,0.0010143976999348364,0.30630172568502401,2.1898757389332677,2.1898757389332677,1.7240758495657349,1
fixed_received_snr,30,3,T3,amplitude,T5,1,1,1.0842021724855044e-19,0.00052965181933011332,0.004778470797039574,0.0010059741288257732,0.28303477800532195,1.864792632443371,1.864792632443371,1.5468986382488246,1
fixed_received_snr,30,3,T4,amplitude,T4,1,0,0.0031241452190556977,0.00052920705077238214,0.0036533522698280799,0.0010049751140269786,0.58444734850585944,4.1280123236854651,4.1280123236854651,2.2540781239978589,1
fixed_received_snr,30,3,T5,amplitude,T5,1,1,1.0842021724855044e-19,0.0005392563458684334,0.0047726351711431482,0.0010513976055395939,0.28008680525803858,1.9693872018313239,1.9693872018313239,1.671309763410145,1
