mode,scenario,measurement_kind,method,feature,snr_db,true_id,predicted_id,count
parameter_aware,load_error_10,three_view_complete,topology_only,amplitude,20,T3,T3,20
parameter_aware,load_error_10,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T3,T3,20
parameter_aware,load_error_10,three_view_complete,nominal_nearest,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,load_error_10,three_view_complete,topology_only,amplitude,20,T4,T4,20
parameter_aware,load_error_10,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,load_error_10,three_view_complete,nominal_nearest,amp_phase_joint_weighted,20,T5,T5,20
parameter_aware,load_error_10,three_view_complete,topology_only,amplitude,20,T5,T5,20
parameter_aware,load_error_10,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T5,T5,20
parameter_aware,length_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T2,T2,19
parameter_aware,length_error_2,siso_forward,topology_only,amplitude,20,T2,T2,20
parameter_aware,length_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T2,T2,20
parameter_aware,length_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T2,T5,1
parameter_aware,length_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T3,T3,10
parameter_aware,length_error_2,siso_forward,topology_only,amplitude,20,T3,T3,14
parameter_aware,length_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T3,T5,16
parameter_aware,length_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T3,T5,4
parameter_aware,length_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T3,T3,4
parameter_aware,length_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T3,T4,6
parameter_aware,length_error_2,siso_forward,topology_only,amplitude,20,T3,T5,6
parameter_aware,length_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T4,T4,18
parameter_aware,length_error_2,siso_forward,topology_only,amplitude,20,T4,T4,20
parameter_aware,length_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T4,T4,20
