true_or_pred,T1,T2,T3,T4,T5,T6
T1,50,0,0,0,0,0
T2,20,7,3,1,0,19
T3,16,4,8,0,7,15
T4,19,2,1,0,0,28
T5,17,2,9,0,5,17
T6,20,4,1,1,0,24
