frequency_hz,H_true_real,H_true_imag,H_hat_real,H_hat_imag
2000000,-0.427945447694802,0.0314721516069162,-0.429159445258201,0.0876680370272853
2015625,-0.432981854590959,0.0555903421186157,-0.477779995916902,0.00623919679503165
2031250,-0.435827846063697,0.0804928049493266,-0.540399637308135,6.85009730043503e-05
2046875,-0.436365010629083,0.105859797668286,-0.385250035503788,0.120200396235722
2062500,-0.434540006605757,0.131350533947929,-0.49308401870454,0.183332425812085
2078125,-0.430368448198245,0.156619859652184,-0.361964677403033,0.225278724233362
2093750,-0.423933710072635,0.181335421546949,-0.47833311216904,0.128523152420531
2109375,-0.415380800309403,0.205193573566052,-0.413910832908391,0.271642206848336
2125000,-0.404906105494837,0.227932478776354,-0.297391954816366,0.17831529047824
2140625,-0.392744299011044,0.249341326050822,-0.40513186896189,0.111733649142019
2156250,-0.37915393775381,0.269265176541063,-0.364173803055579,0.274952240965668
2171875,-0.364403236994651,0.287605553092419,-0.410373780675196,0.135288813689784
2187500,-0.34875725649278,0.304317371696417,-0.294703133968845,0.250745527317869
2203125,-0.332467342254465,0.319403120238359,-0.313036662492478,0.473369884667107
2218750,-0.315763245144282,0.332905302163824,-0.356347748503475,0.24602802557691
2234375,-0.298847959784238,0.344898110716048,-0.296575735879508,0.455270275896742
2250000,-0.281895043226212,0.355479136592032,-0.231522751295214,0.368424796984331
2265625,-0.265047998624971,0.364761696135498,-0.320256033072657,0.457618298129993
2281250,-0.248421235545779,0.372868146877832,-0.264112802027383,0.41168737574984
2296875,-0.232102122515478,0.379924364673362,-0.319488129297214,0.415292914371815
2312500,-0.216153701643863,0.386055407903529,-0.179815140432485,0.355111463551877
2328125,-0.200617714796453,0.391382292459977,-0.25381754032599,0.443343504646605
2343750,-0.185517676962168,0.396019741496286,-0.196025935680067,0.338318993399227
2359375,-0.17086181280643,0.400074747373876,-0.178611248103847,0.296063274918404
2375000,-0.156645740366663,0.403645780101475,-0.243704362045591,0.222696637860358
2390625,-0.142854839128845,0.406822488168955,-0.106569412116072,0.346967565422661
2406250,-0.129466278741991,0.409685757119715,-0.12298931592695,0.455967029672924
2421875,-0.116450711265313,0.412308013569799,-0.185820844015091,0.40945815503951
2437500,-0.103773646548066,0.414753684478637,-0.00903271592238965,0.394238090502707
2453125,-0.0913965395703352,0.417079741472821,-0.0483018126297977,0.426839600785477
2468750,-0.0792776224935321,0.419336277052329,0.0130092617264159,0.31812100111168
2484375,-0.067372514548682,0.421567073328835,0.0615056790240936,0.394161554604567
2500000,-0.0556346410844062,0.42381013468937,-0.0659781703111748,0.304185491714548
