true_or_pred,T1,T2,T3,T4,T5,T6
T1,50,0,0,0,0,0
T2,0,50,0,0,0,0
T3,0,0,32,0,18,0
T4,11,0,0,22,0,17
T5,0,0,25,0,25,0
T6,14,1,3,0,0,32
