true_or_pred,T1,T2,T3,T4,T5,T6
T1,20,0,0,0,0,0
T2,0,20,0,0,0,0
T3,0,0,6,0,14,0
T4,0,0,0,20,0,0
T5,0,0,7,0,13,0
T6,6,0,6,0,0,8
