mode,scenario,measurement_kind,observation_mode,method,feature,snr_db,trials,strict_accuracy,strict_accuracy_std,strict_accuracy_ci95,strict_unique_rate,strict_unique_rate_std,strict_unique_ci95,equivalence_class_rate,ambiguity_rate,false_unique_rate,physically_ambiguous_class_rate,cfr_nmse,cfr_nmse_std,cfr_nmse_ci95,theta_estimation_rmse,theta_boundary_rate,edge_precision,edge_recall,edge_f1,mean_margin,grid_size,view_count,frequency_count,runtime_s
parameter_aware,load_error_10,dual_receiver_complete,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,80,1,0,0,1,0,0,1,0,0,0,0.00412252221659039,7.71898091105157e-05,1.69149627134519e-05,0.0288675134594813,0,1,1,1,0.0520900683543779,27,2,1793,16.8129223375
parameter_aware,load_error_10,dual_receiver_complete,ordinary_ofdm_cfr,topology_only,amplitude,20,80,1,0,0,1,0,0,1,0,0,0,0.00412252221659039,7.71898091105157e-05,1.69149627134519e-05,0.0288675134594813,0,1,1,1,0.00454093489107444,27,2,1793,16.8134528625
parameter_aware,load_error_10,dual_receiver_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,80,1,0,0,0.475,0.502525268588178,0.110120704775502,1,0.525,0,0,0.00412252221659039,7.71898091105157e-05,1.69149627134519e-05,0.022386615166805,0.45,1,1,1,0.000829549093442154,27,2,1793,16.8139296875
parameter_aware,load_error_10,dual_receiver_highz_complete,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,80,1,0,0,1,0,0,1,0,0,0,0.00412073813268176,5.74546981384775e-05,1.25903158451079e-05,0.0288675134594813,0,1,1,1,0.0645957266429431,27,2,1793,19.350403275
parameter_aware,load_error_10,dual_receiver_highz_complete,ordinary_ofdm_cfr,topology_only,amplitude,20,80,1,0,0,1,0,0,1,0,0,0,0.00412073813268176,5.74546981384775e-05,1.25903158451079e-05,0.0288675134594813,0,1,1,1,0.0053067393369523,27,2,1793,19.3509272875
parameter_aware,load_error_10,dual_receiver_highz_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,80,1,0,0,0.5125,0.502997345036655,0.11022415308838,1,0.4875,0,0,0.00412073813268176,5.74546981384775e-05,1.25903158451079e-05,0.0140729128114971,0.5125,1,1,1,0.000675686659011103,27,2,1793,19.351394025
parameter_aware,load_error_10,three_view_complete,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,80,1,0,0,1,0,0,1,0,0,0,0.00411766720441395,5.73880947171694e-05,1.25757207269051e-05,0.0288675134594813,0,1,1,1,0.0759169417621277,27,3,1793,22.642354275
parameter_aware,load_error_10,three_view_complete,ordinary_ofdm_cfr,topology_only,amplitude,20,80,1,0,0,1,0,0,1,0,0,0,0.00411766720441395,5.73880947171694e-05,1.25757207269051e-05,0.0288675134594813,0,1,1,1,0.00450131522502072,27,3,1793,22.64289695
parameter_aware,load_error_10,three_view_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,80,1,0,0,0.525,0.502525268588178,0.110120704775502,1,0.475,0,0,0.00411766720441395,5.73880947171694e-05,1.25757207269051e-05,0.0191318737847598,0.5125,1,1,1,0.00072443192513824,27,3,1793,22.643371325
parameter_aware,length_error_2,siso_forward,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,80,0.675,0.471329925566134,0.103284723832788,0.4625,0.501737487466418,0.109948074625816,0.85,0.425,0.1125,0.5,0.00412707829562035,8.75993768348789e-05,1.91960598161621e-05,0.00816496580927727,0,0.94375,0.958333333333333,0.95,0.00891606363682728,27,1,1793,25.3626606875
parameter_aware,length_error_2,siso_forward,ordinary_ofdm_cfr,topology_only,amplitude,20,80,0.7625,0.428236004966148,0.09384135211669,0.5,0.503154605426628,0.11025861429075,1,0.5,0,0.5,0.00412707829562035,8.75993768348789e-05,1.91960598161621e-05,0.00816496580927727,0,0.9525,0.9525,0.9525,0.00132846373253747,27,1,1793,25.3631912875
