true_or_pred,T1,T2,T3,T4,T5,T6
T1,50,0,0,0,0,0
T2,20,4,4,1,0,21
T3,16,3,9,0,6,16
T4,19,1,2,0,0,28
T5,17,2,9,0,5,17
T6,20,3,2,0,0,25
