true_or_pred,T1,T2,T3,T4,T5,T6
T1,38,7,4,0,0,1
T2,0,35,3,0,1,11
T3,8,0,27,8,5,2
T4,3,0,6,26,1,14
T5,4,0,21,14,10,1
T6,8,0,4,10,2,26
