true_or_pred,T1,T2,T3,T4,T5,T6
T1,50,0,0,0,0,0
T2,0,50,0,0,0,0
T3,0,0,48,0,2,0
T4,0,3,38,3,6,0
T5,0,0,46,0,4,0
T6,0,1,41,4,4,0
