mode,snr_db,feature,n,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,group_accuracy_mean,group_accuracy_std,group_accuracy_ci_low,group_accuracy_ci_high,numeric_tie_rate_mean,numeric_tie_rate_std,numeric_tie_rate_ci_low,numeric_tie_rate_ci_high,distance_gap_mean,distance_gap_std,group_intra_mean,group_inter_mean,intra_inter_ratio,d_intra_ge_inter_rate,nmse_mean,nmse_std,nmse_ci_low,nmse_ci_high,amplitude_rmse_db_mean,amplitude_rmse_db_std,raw_phase_rmse_deg_mean,raw_phase_rmse_deg_std,masked_phase_rmse_deg_mean,masked_phase_rmse_deg_std,weighted_phase_rmse_deg_mean,weighted_phase_rmse_deg_std,valid_phase_fraction_mean,valid_phase_fraction_std
fixed_received_snr,30,amplitude,50,0.82666666666666666,0.11644780248226176,0.79438898259719093,0.85894435073614239,1,0,1,1,0.33333333333333326,5.6074730667277685e-17,0.33333333333333326,0.33333333333333326,0.0033850856864761207,4.9019032134541309e-06,0.00052772996922931692,0.0053279404786985016,0.09904952417152936,0,0.0010025218432523383,9.2250551568685988e-06,0.00099996478842150766,0.001005078898083169,0.54771564368241965,0.017084512282283328,62.532974380658032,44.500154235320444,62.242304118641329,45.562268044831512,2.1796105405221646,0.24734251140731772,0.99303773935675776,0.00032756742845307843
fixed_received_snr,30,amplitude_raw_db,50,0.84333333333333327,0.12330483215451478,0.8091549776092789,0.87751168905738763,1,0,1,1,0.33333333333333326,5.6074730667277685e-17,0.33333333333333326,0.33333333333333326,2.6694762987414951,0.014471288933637989,0.54771564368241965,4.187950260301287,0.13078370315769133,0,0.0010025218432523383,9.2250551568685988e-06,0.00099996478842150766,0.001005078898083169,0.54771564368241965,0.017084512282283328,62.532974380658032,44.500154235320444,62.242304118641329,45.562268044831512,2.1796105405221646,0.24734251140731772,0.99303773935675776,0.00032756742845307843
fixed_received_snr,30,amplitude_db_standardized,50,0.84666666666666657,0.10562415720389923,0.81738914400279805,0.87594418933053508,1,0,1,1,0.33333333333333326,5.6074730667277685e-17,0.33333333333333326,0.33333333333333326,0.3102480893440196,0.0012911640710922807,0.095118095904104041,0.51074150373596572,0.18623529752004753,0,0.0010025218432523383,9.2250551568685988e-06,0.00099996478842150766,0.001005078898083169,0.54771564368241965,0.017084512282283328,62.532974380658032,44.500154235320444,62.242304118641329,45.562268044831512,2.1796105405221646,0.24734251140731772,0.99303773935675776,0.00032756742845307843
fixed_received_snr,30,phase,50,0.78666666666666674,0.14692617733849059,0.74594080810536012,0.82739252522797335,0.94666666666666677,0.078535345249860181,0.92489777959257768,0.96843555374075585,0.34666666666666673,0.045674585936311615,0.33400631736483288,0.35932701596850058,0.088706311043501879,0.0091891207215944182,0.34740541322587803,0.46400158099344302,0.74871601187666503,0,0.0010025218432523383,9.2250551568685988e-06,0.00099996478842150766,0.001005078898083169,0.54771564368241965,0.017084512282283328,62.532974380658032,44.500154235320444,62.242304118641329,45.562268044831512,2.1796105405221646,0.24734251140731772,0.99303773935675776,0.00032756742845307843
fixed_received_snr,30,phase_masked,50,0.78666666666666674,0.14692617733849059,0.74594080810536012,0.82739252522797335,0.94666666666666677,0.078535345249860181,0.92489777959257768,0.96843555374075585,0.34666666666666673,0.045674585936311615,0.33400631736483288,0.35932701596850058,0.090640894934430782,0.011595379988353536,0.34579057843689631,0.46403084185797239,0.745188783254915,0,0.0010025218432523383,9.2250551568685988e-06,0.00099996478842150766,0.001005078898083169,0.54771564368241965,0.017084512282283328,62.532974380658032,44.500154235320444,62.242304118641329,45.562268044831512,2.1796105405221646,0.24734251140731772,0.99303773935675776,0.00032756742845307843
fixed_received_snr,30,phase_weighted,50,0.83999999999999997,0.12580804584402769,0.80512778884109704,0.8748722111589029,1,0,1,1,0.33333333333333326,5.6074730667277685e-17,0.33333333333333326,0.33333333333333326,0.092701566655294484,0.0028590381238451468,0.012108947447345348,0.14985119546832951,0.080806478783844796,0,0.0010025218432523383,9.2250551568685988e-06,0.00099996478842150766,0.001005078898083169,0.54771564368241965,0.017084512282283328,62.532974380658032,44.500154235320444,62.242304118641329,45.562268044831512,2.1796105405221646,0.24734251140731772,0.99303773935675776,0.00032756742845307843
fixed_received_snr,30,complex,50,0.82999999999999996,0.11899999047237904,0.79701488551213173,0.86298511448786819,1,0,1,1,0.33333333333333326,5.6074730667277685e-17,0.33333333333333326,0.33333333333333326,0.0055704138011103913,5.1920059497408157e-06,0.00074731296199305052,0.009002168130753491,0.083014775011817032,0,0.0010025218432523383,9.2250551568685988e-06,0.00099996478842150766,0.001005078898083169,0.54771564368241965,0.017084512282283328,62.532974380658032,44.500154235320444,62.242304118641329,45.562268044831512,2.1796105405221646,0.24734251140731772,0.99303773935675776,0.00032756742845307843
fixed_received_snr,30,cir,50,0.84333333333333338,0.11373877059520179,0.81180655459243156,0.8748601120742352,1,0,1,1,0.33333333333333326,5.6074730667277685e-17,0.33333333333333326,0.33333333333333326,0.0036855102973699211,3.4351472035993361e-06,0.00049443896182979868,0.0059560356787019672,0.083014775011817019,0,0.0010025218432523383,9.2250551568685988e-06,0.00099996478842150766,0.001005078898083169,0.54771564368241965,0.017084512282283328,62.532974380658032,44.500154235320444,62.242304118641329,45.562268044831512,2.1796105405221646,0.24734251140731772,0.99303773935675776,0.00032756742845307843
fixed_received_snr,30,amp_phase_joint,50,0.78666666666666674,0.14692617733849059,0.74594080810536012,0.82739252522797335,0.94666666666666677,0.078535345249860181,0.92489777959257768,0.96843555374075585,0.34666666666666673,0.045674585936311615,0.33400631736483288,0.35932701596850058,0.062801218501358905,0.0064996387045936892,0.24565948093236817,0.32823076579688193,0.74843526729114995,0,0.0010025218432523383,9.2250551568685988e-06,0.00099996478842150766,0.001005078898083169,0.54771564368241965,0.017084512282283328,62.532974380658032,44.500154235320444,62.242304118641329,45.562268044831512,2.1796105405221646,0.24734251140731772,0.99303773935675776,0.00032756742845307843
fixed_received_snr,20,amplitude,50,0.85999999999999999,0.13196577581477162,0.82342095317443786,0.89657904682556211,1,0,1,1,0.33333333333333326,5.6074730667277685e-17,0.33333333333333326,0.33333333333333326,0.0027702359877241757,1.3262295968033404e-05,0.0016575353177140301,0.0055583645542767223,0.29820557855254165,0,0.0099823894841985436,9.5398480634768459e-05,0.0099559463744704219,0.010008832593926665,1.4303118839116289,0.024310796623253209,170.83485571963033,103.85672349977071,170.6673103716503,105.03528342875882,6.7305348047914348,0.84001459870524986,0.99352853690276999,0.00034109079032568722
