grid_id,scenario_id,cache_file,cache_source,validation_reason,cache_configuration_hash,template_count,frequency_count,estimated_memory_bytes,build_time_s,forward_model_source_hash
A_stage4a1_quick61,P0_no_prior,/home/chidan/文档/PLC/Code_08_19_Matlab/第一版工作集/matlab_plc_cfr_publish/results/data/stage4a5_1_cache/stage4a5_1_A_stage4a1_quick61_P0_no_prior.mat,rebuilt,rebuilt after: cache absent,df8307d03f49f1cd4005cb0161074498996287748ed0f8de09a821022d5065af,1701,61,1660176,4.111061,2d9cf0d45c277faca83767680b86da9869dce90f27d695ea9396280b919bd37d
B_ofdm_active_subcarriers,P0_no_prior,/home/chidan/文档/PLC/Code_08_19_Matlab/第一版工作集/matlab_plc_cfr_publish/results/data/stage4a5_1_cache/stage4a5_1_B_ofdm_active_subcarriers_P0_no_prior.mat,rebuilt,rebuilt after: cache absent,d8a1d7ff4c137912dff62a05a244a1ba8669b9cff1e4ac22195f5591d7e3f0d0,1701,1793,48798288,18.578573,2d9cf0d45c277faca83767680b86da9869dce90f27d695ea9396280b919bd37d
