scenario_id,frequency_grid_id,candidate_count_before_prior,candidate_count_after_prior,parameter_template_count,composite_template_count,streaming_used,prior_config_hash,configuration_hash
P0_no_prior,A_stage4a1_quick61,7,7,243,1701,1,d03add3ca5bd071bad1e6975c2bce63a2390e814553e819986c85b552dd5e293,d931860d668009a6a605712c020cc2a47abeea6c7e74662ca831568a94e1c31d
P1_partial_consistent_prior,A_stage4a1_quick61,7,4,243,972,1,467d868c370d0cd2ba959025c4e3c392cd0f1460ca9088f93def274744bb4f5b,b389c6ef52349f7cf90ee49e333807cf2b13b76235f7671757997d99fa1ced74
P2_stale_or_inconsistent_prior,A_stage4a1_quick61,7,4,243,972,1,45f6f6c7d3c8c1f421d116fb08403d8ca094248279987c0a19b3a998a0ecc9cb,ee51a366c690a40f66d3c34d7673bf601bbd4c3068fc0f4170b98ab12a568582
P0_no_prior,B_ofdm_active_subcarriers,7,7,243,1701,1,d03add3ca5bd071bad1e6975c2bce63a2390e814553e819986c85b552dd5e293,4ceb5906de51b6b6a0da3e43416c8b5cada9bc3a83e58892934e67dfb6dc05d1
P1_partial_consistent_prior,B_ofdm_active_subcarriers,7,4,243,972,1,467d868c370d0cd2ba959025c4e3c392cd0f1460ca9088f93def274744bb4f5b,1dcf283caa96d84eacc9ec1d5cdca740f4f7be3cb506976db50e290f517cb7af
P2_stale_or_inconsistent_prior,B_ofdm_active_subcarriers,7,4,243,972,1,45f6f6c7d3c8c1f421d116fb08403d8ca094248279987c0a19b3a998a0ecc9cb,b927b732d8d1f16f87a21c4d242f4529ccf40a346a5d723e150ee0272ccab344
