measurement_kind,condition,snr_db,method,true_id,predicted_id,count
bidirectional_endpoint_fixed,noise_only,0,nominal_nearest,T3,T5,45
bidirectional_endpoint_fixed,noise_only,0,nominal_nearest,T4,T2,0
bidirectional_endpoint_fixed,noise_only,0,nominal_nearest,T4,T3,3
bidirectional_endpoint_fixed,noise_only,0,nominal_nearest,T4,T4,88
bidirectional_endpoint_fixed,noise_only,0,nominal_nearest,T4,T5,9
bidirectional_endpoint_fixed,noise_only,0,nominal_nearest,T5,T2,1
bidirectional_endpoint_fixed,noise_only,0,nominal_nearest,T5,T3,42
bidirectional_endpoint_fixed,noise_only,0,nominal_nearest,T5,T4,13
bidirectional_endpoint_fixed,noise_only,0,nominal_nearest,T5,T5,44
bidirectional_endpoint_fixed,length,20,nominal_nearest,T2,T2,57
bidirectional_endpoint_fixed,length,20,nominal_nearest,T2,T3,18
bidirectional_endpoint_fixed,length,20,nominal_nearest,T2,T4,15
bidirectional_endpoint_fixed,length,20,nominal_nearest,T2,T5,10
bidirectional_endpoint_fixed,length,20,nominal_nearest,T3,T2,13
bidirectional_endpoint_fixed,length,20,nominal_nearest,T3,T3,55
bidirectional_endpoint_fixed,length,20,nominal_nearest,T3,T4,15
bidirectional_endpoint_fixed,length,20,nominal_nearest,T3,T5,17
bidirectional_endpoint_fixed,length,20,nominal_nearest,T4,T2,0
bidirectional_endpoint_fixed,length,20,nominal_nearest,T4,T3,15
bidirectional_endpoint_fixed,length,20,nominal_nearest,T4,T4,75
bidirectional_endpoint_fixed,length,20,nominal_nearest,T4,T5,10
bidirectional_endpoint_fixed,length,20,nominal_nearest,T5,T2,13
bidirectional_endpoint_fixed,length,20,nominal_nearest,T5,T3,52
bidirectional_endpoint_fixed,length,20,nominal_nearest,T5,T4,15
bidirectional_endpoint_fixed,length,20,nominal_nearest,T5,T5,20
bidirectional_endpoint_fixed,length,20,nuisance_aware_joint,T2,T2,82
bidirectional_endpoint_fixed,length,20,nuisance_aware_joint,T2,T3,0
bidirectional_endpoint_fixed,length,20,nuisance_aware_joint,T2,T4,0
bidirectional_endpoint_fixed,length,20,nuisance_aware_joint,T2,T5,18
bidirectional_endpoint_fixed,length,20,nuisance_aware_joint,T3,T2,5
bidirectional_endpoint_fixed,length,20,nuisance_aware_joint,T3,T3,49
bidirectional_endpoint_fixed,length,20,nuisance_aware_joint,T3,T4,10
bidirectional_endpoint_fixed,length,20,nuisance_aware_joint,T3,T5,36
bidirectional_endpoint_fixed,length,20,nuisance_aware_joint,T4,T2,0
bidirectional_endpoint_fixed,length,20,nuisance_aware_joint,T4,T3,0
bidirectional_endpoint_fixed,length,20,nuisance_aware_joint,T4,T4,93
bidirectional_endpoint_fixed,length,20,nuisance_aware_joint,T4,T5,7
bidirectional_endpoint_fixed,length,20,nuisance_aware_joint,T5,T2,5
bidirectional_endpoint_fixed,length,20,nuisance_aware_joint,T5,T3,45
bidirectional_endpoint_fixed,length,20,nuisance_aware_joint,T5,T4,10
bidirectional_endpoint_fixed,length,20,nuisance_aware_joint,T5,T5,40
bidirectional_endpoint_fixed,load,20,nominal_nearest,T2,T2,100
bidirectional_endpoint_fixed,load,20,nominal_nearest,T2,T3,0
bidirectional_endpoint_fixed,load,20,nominal_nearest,T2,T4,0
bidirectional_endpoint_fixed,load,20,nominal_nearest,T2,T5,0
