true_or_pred,T1,T2,T3,T4,T5,T6
T1,37,8,4,0,0,1
T2,2,32,5,0,0,11
T3,10,0,25,5,6,4
T4,1,0,6,24,1,18
T5,8,0,17,12,10,3
T6,11,0,6,11,1,21
