true_or_pred,T1,T2,T3,T4,T5,T6
T1,39,1,0,0,0,10
T2,20,1,3,1,0,25
T3,31,2,2,0,0,15
T4,29,1,0,0,0,20
T5,27,2,0,1,0,20
T6,29,1,2,0,0,18
