frequency_hz,branch_kG1_HV_mag_dB,branch_kG1_HV_phase_deg,branch_kG1_Hport_mag_dB,branch_kG1_Hport_phase_deg,baseline_kG1_HV_mag_dB,baseline_kG1_HV_phase_deg,baseline_kG1_Hport_mag_dB,baseline_kG1_Hport_phase_deg,branch_kG5_HV_mag_dB,branch_kG5_HV_phase_deg,branch_kG5_Hport_mag_dB,branch_kG5_Hport_phase_deg,baseline_kG5_HV_mag_dB,baseline_kG5_HV_phase_deg,baseline_kG5_Hport_mag_dB,baseline_kG5_Hport_phase_deg
2136785.5398143623,-21.859633125146409,-105.22754274423305,-15.839033211866784,-105.22754274423305,-13.687885001640067,-104.88795063544751,-7.667285088360444,-104.88795063544751,-22.164121665924391,-108.5374127286068,-16.143521752644766,-108.5374127286068,-14.165997144175604,-109.51896926527432,-8.1453972308959788,-109.51896926527432
2150464.0937957987,-21.83564342422325,-105.46940339812581,-15.815043510943623,-105.46940339812581,-13.624218469754334,-105.31710535972617,-7.6036185564747116,-105.31710535972617,-22.144535453618186,-108.82819202638986,-16.123935540338561,-108.82819202638986,-14.113131885971859,-110.02314873387552,-8.0925319726922353,-110.02314873387552
2164142.6477772351,-21.810542689691317,-105.71297787505442,-15.789942776411699,-105.71297787505442,-13.558903369924224,-105.75294366341154,-7.5383034566446021,-105.75294366341154,-22.123918470955765,-109.12119653187699,-16.10331855767614,-109.12119653187699,-14.05895497959321,-110.53475569987529,-8.038355066313585,-110.53475569987529
2177821.2017586711,-21.784330498432219,-105.95832513237524,-15.763730585152596,-105.95832513237524,-13.491930522166731,-106.19573363215437,-7.471330608887107,-106.19573363215437,-22.102272445725994,-109.41648879463111,-16.081672532446369,-109.41648879463111,-14.003470490491017,-111.05403837344085,-7.9828705772113935,-111.05403837344085
2191499.7557401075,-21.757006276248529,-106.20550506519479,-15.736406362968907,-106.20550506519479,-13.423290864829415,-106.64575374865247,-7.4026909515497934,-106.64575374865247,-22.079599021089482,-109.71413224101688,-16.058999107809861,-109.71413224101688,-13.94668314392259,-111.58125225139237,-7.9260832306429663,-111.58125225139237
2205178.3097215439,-21.728569300143693,-106.4545785597754,-15.707969386864072,-106.4545785597754,-13.352975502688258,-107.10329340673677,-7.3323755894086329,-107.10329340673677,-22.055899760135148,-110.01419121885114,-16.035299846855523,-110.01419121885114,-13.888598390034081,-112.11666033385207,-7.8679984767544582,-112.11666033385207
2218856.8637029799,-21.699018700644093,-106.70560754805841,-15.678418787364468,-106.70560754805841,-13.280975760229985,-107.56865344762356,-7.2603758469503612,-107.56865344762356,-22.031176150555698,-110.31673104251716,-16.010576237276073,-110.31673104251716,-13.829222473589846,-112.66053333743513,-7.8086225603102228,-112.66053333743513
2232535.4176844163,-21.668353464172817,-106.95865506338571,-15.647753550893192,-106.95865506338571,-13.207283240641081,-108.04214671880035,-7.1866833273614574,-108.04214671880035,-22.005429609453607,-110.62181803857938,-15.984829696173984,-110.62181803857938,-13.768562508645605,-113.21314990345844,-7.7479625953659816,-113.21314990345844
2246213.9716658527,-21.636572435485462,-107.21378529750166,-15.615972522205839,-107.21378529750166,-13.131889891075549,-108.52409865590397,-7.1112899777959235,-108.52409865590397,-21.978661488289664,-110.92951959193282,-15.958061575010039,-110.92951959193282,-13.706626558474124,-113.77479679942194,-7.6860266451945014,-113.77479679942194
2259892.5256472887,-21.603674320178552,-107.47106365891905,-15.583074406898929,-107.47106365891905,-13.054788074827307,-109.01484788781048,-7.0341881615476858,-109.01484788781048,-21.950873077986657,-111.2399041925201,-15.930273164707032,-111.2399041925201,-13.64342372106316,-114.34576911176802,-7.6228238077835346,-114.34576911176802
2273571.0796287251,-21.569657687282231,-107.73055683273428,-15.549057774002609,-107.73055683273428,-12.975970651092098,-109.51474686498509,-6.9553707378124745,-109.51474686498509,-21.922065614201461,-111.55304148264767,-15.901465700921836,-111.55304148264767,-13.578964220514429,-114.92637042765074,-7.5583643072348057,-114.92637042765074
2287249.633610161,-21.534520971949323,-107.99233284197852,-15.513921058669698,-107.99233284197852,-12.8954310630668,-110.02416251093045,-6.8748311497871759,-110.02416251093045,-21.892240282779369,-111.86900230492989,-15.871640369499742,-111.86900230492989,-13.513259504680427,-115.5169130031414,-7.4926595914008018,-115.5169130031414
2300928.1875915974,-21.498262478253849,-108.25646111059373,-15.477662564974226,-108.25646111059373,-12.813163435202748,-110.54347689631548,-6.7925635219231228,-110.54347689631548,-21.861398225405253,-112.18785875088825,-15.840798312125628,-112.18785875088825,-13.446322349380965,-116.11771791496147,-7.425722436101343,-116.11771791496147
2314606.7415730339,-21.460880382112833,-108.52301252812353,-15.44028046883321,-108.52301252812353,-12.729162680503025,-111.07308793505796,-6.7085627672234018,-111.07308793505796,-21.829540545466735,-112.50968421023087,-15.80894063218711,-112.50968421023087,-13.378166969544228,-116.72911519246504,-7.3575670562646049,-116.72911519246504
2328285.2955544698,-21.422372734346126,-108.79205951621141,-15.401772821066501,-108.79205951621141,-12.643424618832569,-111.61341010126336,-6.6228247055529446,-111.61341010126336,-21.796668314145393,-112.83455342083428,-15.776068400865771,-112.83455342083428,-13.308809137615928,-117.35144392618557,-7.2882092243363044,-117.35144392618557
2341963.8495359062,-21.382737463890095,-109.06367609700064,-15.362137550610473,-109.06367609700064,-12.555946107294085,-112.16487516547974,-6.5353461940144602,-112.16487516547974,-21.762782576752734,-113.16254251944768,-15.742182663473109,-113.16254251944768,-13.238266309575108,-117.9850523488203,-7.217666396295483,-117.9850523488203
2355642.4035173426,-21.341972381181993,-109.33793796353163,-15.321372467902368,-109.33793796353163,-12.466725183811842,-112.72793294820221,-6.4461252705322183,-112.72793294820221,-21.727884359328606,-113.49372909313568,-15.70728444604898,-113.49372909313568,-13.166557758884665,-118.63029788403927,-7.1459578456050421,-118.63029788403927
2369320.9574987786,-21.300075181733003,-109.614922552235,-15.279475268453378,-109.614922552235,-12.375761225159865,-113.30305208793793,-6.3551613118802415,-113.30305208793793,-21.691974675520406,-113.82819223147426,-15.671374762240784,-113.82819223147426,-13.0937047186877,-119.28754715798422,-7.073104805408077,-119.28754715798422
2382999.511480215,-21.25704344990919,-109.89470911762038,-15.236443536629569,-109.89470911762038,-12.283055120769312,-113.89072082041066,-6.2624552074896878,-113.89072082041066,-21.655054533762602,-114.16601257950894,-15.634454620482977,-114.16601257950894,-13.019730532536775,-119.95717596775233,-6.9991306192571523,-119.95717596775233
2396678.0654616514,-21.212874662940933,-110.17737880926299,-15.192274749661308,-110.17737880926299,-12.188609463752542,-114.49144776462269,-6.1680095504729193,-114.49144776462269,-21.617124944776663,-114.50727239148179,-15.596525031497041,-114.50727239148179,-12.944660813909902,-120.63956920055089,-6.9240609006302805,-120.63956920055089
2410356.6194430874,-21.167566195182829,-110.46301475119141,-15.146966281903204,-110.46301475119141,-12.092428760686422,-115.10576271048593,-6.0718288474067981,-115.10576271048593,-21.578186929413118,-114.85205558532927,-15.557587016133493,-114.85205558532927,-12.868523614723577,-121.33512069655627,-6.8479237014439542,-121.33512069655627
2424035.1734245238,-21.121115322647658,-110.75170212378283,-15.100515409368032,-110.75170212378283,-11.994519661803764,-115.73421740156338,-5.9739197485241391,-115.73421740156338,-21.538241526857593,-115.20044779794786,-15.517641613577968,-115.20044779794786,-12.791349602997443,-122.04423304781669,-6.7707496897178165,-122.04423304781669
2437713.7274059597,-21.07351922783959,-111.04352824827248,-15.052919314559967,-111.04352824827248,-11.894891213348082,-116.37738630509986,-5.8742913000684585,-116.37738630509986,-21.497289803224859,-115.55253644121942,-15.476689889945234,-115.55253644121942,-12.713172249755637,-122.76731732480572,-6.6925723364760126,-122.76731732480572
2451392.2813873962,-21.024775004913678,-111.33858267398634,-15.004175091634053,-111.33858267398634,-11.793555133949262,-117.03586735994766,-5.7729552206696386,-117.03586735994766,-21.455332860565065,-115.90841075878294,-15.434732947285442,-115.90841075878294,-12.634028025163829,-123.50479272146956,-6.613428111884204,-123.50479272146956
2465070.8353688326,-20.974879665190453,-111.63695726840777,-14.954279751910832,-111.63695726840777,-11.690526116974699,-117.71028269117946,-5.6699262036950753,-117.71028269117946,-21.412371846308208,-116.26816188353253,-15.391771933028584,-116.26816188353253,-12.553956603796788,-124.25708610881699,-6.5333566905171638,-124.25708610881699
2478749.3893502685,-20.923830143056833,-111.93874631018855,-14.903230229777208,-111.93874631018855,-11.585822160896438,-118.40127927809478,-5.5652222476168136,-118.40127927809478,-21.368407963173837,-116.6318828958142,-15.347808049894216,-116.6318828958142,-12.473001078806265,-125.02463148628982,-6.4524011655266413,-125.02463148628982
2492427.9433317049,-20.871623302286281,-112.24404658521777,-14.851023389006659,-112.24404658521777,-11.479464929785157,-119.10952955994661,-5.4588650165055332,-119.10952955994661,-21.323442479574251,-116.99966888228843,-15.302842566294627,-116.99966888228843,-12.391208184610036,-125.80786931933667,-6.3706082713304113,-125.80786931933667
2506106.4973131414,-20.818255942814105,-112.55295748586032,-14.797656029534483,-112.55295748586032,-11.371480146090445,-119.83573196100005,-5.3508802328108205,-119.83573196100005,-21.277476740540955,-117.37161699541358,-15.25687682726133,-117.37161699541358,-12.308628527548358,-126.60724575080134,-6.2880286142687325,-126.60724575080134
2519785.0512945773,-20.763724808005783,-112.86558111347856,-14.743124894726156,-112.86558111347856,-11.261898017884619,-120.58061131346007,-5.2412981046049953,-120.58061131346007,-21.230512179205363,-117.74782651350034,-15.209912265925736,-117.74782651350034,-12.22531682374996,-127.42321167296056,-6.2047169104703368,-127.42321167296056
2533463.6052760137,-20.708026592459433,-113.18202238434972,-14.687426679179808,-113.18202238434972,-11.150753702725709,-121.34491915333975,-5.1301537894460836,-121.34491915333975,-21.182550328866213,-118.12839890127329,-15.161950415586588,-118.12839890127329,-12.141332143213944,-128.2562216463175,-6.120732229934319,-128.2562216463175
2547142.1592574501,-20.651157950386185,-113.50238913909028,-14.63055803710656,-113.50238913909028,-11.038087810221475,-122.12943386045252,-5.0174878969418515,-122.12943386045252,-21.133592835677742,-118.51343787086739,-15.112992922398117,-118.51343787086739,-12.056738158843734,-129.10673265061226,-6.0361382455641097,-129.10673265061226
2560820.7132388861,-20.59311550461554,-113.82679225569814,-14.572515591335913,-113.82679225569814,-10.923946945236498,-122.93496060938742,-4.9033470319568746,-122.93496060938742,-21.083641471993776,-118.90304944317401,-15.063041558714151,-118.90304944317401,-11.971603398861919,-129.9752026529849,-5.9510034855822944,-129.9752026529849
2574499.2672203225,-20.533895856276008,-114.15534576631995,-14.513295942996384,-114.15534576631995,-10.808384293461735,-123.76233109354001,-4.7877843801821109,-123.76233109354001,-21.032698150405036,-119.29734200943753,-15.012098237125411,-119.29734200943753,-11.886001500688522,-130.8620889778559,-5.8654015874088987,-130.8620889778559
2588177.8212017585,-20.473495595205264,-114.48816697784821,-14.452895681925641,-114.48816697784821,-10.691460250740676,-124.61240297903343,-4.6708603374610531,-124.61240297903343,-20.980764938507996,-119.69642639298944,-14.96016502522837,-119.69642639298944,-11.800011463978562,-131.76784646293103,-5.7794115506989376,-131.76784646293103
2601856.3751831949,-20.411911311147563,-114.82537659644896,-14.391311397867938,-114.82537659644896,-10.573243097094306,-125.48605903968318,-4.5526431838146806,-125.48605903968318,-20.927844074445375,-120.10041591099126,-14.907244161165751,-120.10041591099126,-11.713717900086756,-132.69292538584179,-5.6931179868071329,-132.69292538584179
2615534.9291646313,-20.34913960580063,-115.16709885611455,-14.328539692521009,-115.16709885611455,-10.453809715784246,-126.38420591806826,-4.4332098025046216,-126.38420591806826,-20.873937983260152,-120.5094264360395,-14.853338069980527,-120.5094264360395,-11.627211274758766,-133.63776914636404,-5.6066113614791426,-133.63776914636404
2629213.4831460672,-20.285177105778548,-115.51346165133009,-14.264577192498924,-115.51346165133009,-10.333246356966942,-127.30777245135488,-4.3126464436873206,-127.30777245135488,-20.819049294106136,-120.92357645746674,-14.798449380826513,-120.92357645746674,-11.540588140341262,-134.60281168999191,-5.5199882270616376,-134.60281168999191
2642892.0371275037,-20.220020476561899,-115.86459667393363,-14.199420563282272,-115.86459667393363,-10.211649444490963,-128.25770749387129,-4.1910495312113376,-128.25770749387129,-20.7631808583603,-121.34298714215383,-14.742580945080677,-121.34298714215383,-11.453951353260896,-135.58847465995296,-5.4333514399812728,-135.58847465995296
2656570.5911089401,-20.153666437511582,-116.22063955423964,-14.133066524231964,-116.22063955423964,-10.089126423136936,-129.2349771617165,-4.0685265098573122,-129.2349771617165,-20.706335768683136,-121.76778239464332,-14.685735855403511,-121.76778239464332,-11.367410271951721,-136.59516426662299,-5.346810358672097,-136.59516426662299
2670249.145090376,-20.086111778028126,-116.58173000648428,-14.065511864748503,-116.58173000648428,-9.9657966420570396,-130.24056141813796,-3.9451967287774141,-130.24056141813796,-20.648517379075074,-122.1980889163214,-14.627917465795452,-122.1980889163214,-11.281080929819172,-137.6232678658194,-5.2604810165395479,-137.6232678658194
2683927.6990718124,-20.017353374943916,-116.94801197863596,-13.996753461664294,-116.94801197863596,-9.8417922683006722,-131.27544991230823,-3.8211923550210485,-131.27544991230823,-20.589729325978571,-122.63403626340859,-14.569129412698947,-122.63403626340859,-11.195086177230312,-138.67315024071328,-5.1744862639506888,-138.67315024071328
2697606.2530532489,-19.947388211242206,-117.31963380659759,-13.926788297962581,-117.31963380659759,-9.7172592220759562,-132.34063697888479,-3.6966593087963311,-132.34063697888479,-20.529975550476593,-123.07575690346945,-14.509375637196968,-123.07575690346945,-11.109555785927977,-139.74514958618246,-5.0889558726483557,-139.74514958618246
