grid_id,residual_threshold,margin_threshold,sample_count,residual_calibration_count,margin_calibration_count,residual_quantile,margin_quantile,residual_quantile_value,margin_quantile_value,residual_safety_factor,calibration_seed,test_seed,source,configuration_hash
A_stage4a1_quick61,0.0434390063322205,0.0665180564690625,7,7,3,0.95,0.05,0.0394900057565641,0.0665180564690625,1.1,20261101,20261102,P0 calibration set only,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
B_ofdm_active_subcarriers,0.0110153779102719,0.0435329461279149,7,7,3,0.95,0.05,0.010013979918429,0.0435329461279149,1.1,20261101,20261102,P0 calibration set only,f755618f214ade036f16b616dc8412ec49d122d8be76256dc4ab6aceb879199a
