mode,snr_db,pilot_spacing,input_mode,measurement_kind,observation_mode,feature,trial,true_id,predicted_id,true_class,predicted_class,strict_correct,class_correct,strict_unique_correct,unique_identification,physically_ambiguous_class,ambiguous,false_unique,best_distance,second_best_distance,distance_margin,cfr_nmse,amplitude_rmse_db,weighted_phase_rmse_deg,circular_delay_error_s,view_count,frequency_count,edge_precision,edge_recall,edge_f1,seed,runtime_s
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,5,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.102887215661026,0.139475006587101,0.0365877909260746,0.126840561029331,3.07749349245631,26.1728923405825,0,1,1793,1,1,1,21270826,0.495402
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,5,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00529881556771265,0.00827848857520934,0.00297967300749669,0.126840561029331,3.07749349245631,26.1728923405825,0,1,1793,1,1,1,21270826,0.501133
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,5,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.126840561029331,3.07749349245631,26.1728923405825,0,1,1793,1,1,1,21270826,0.508456
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,6,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00549175172254112,0.00877302480325764,0.00328127308071651,0.129716338677197,3.41994926856077,20.1672669048835,0,1,1793,1,1,1,21270827,0.516233
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,6,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0793196199759751,0.122127710308158,0.0428080903321833,0.129716338677197,3.41994926856077,20.1672669048835,0,1,1793,1,1,1,21270827,0.520642
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,6,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00537450828459434,0.00840668478652902,0.00303217650193468,0.129716338677197,3.41994926856077,20.1672669048835,0,1,1793,1,1,1,21270827,0.527033
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,6,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.129716338677197,3.41994926856077,20.1672669048835,0,1,1793,1,1,1,21270827,0.528518
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,7,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00541820779878821,0.00860446694039579,0.00318625914160758,0.132849962206713,3.09750644604089,20.24414755512,0,1,1793,1,1,1,21270828,0.535687
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,7,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0796187555692247,0.12205597016308,0.0424372145938551,0.132849962206713,3.09750644604089,20.24414755512,0,1,1793,1,1,1,21270828,0.539644
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,7,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00546547652345435,0.00835114263394712,0.00288566611049277,0.132849962206713,3.09750644604089,20.24414755512,0,1,1793,1,1,1,21270828,0.545418
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,7,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.132849962206713,3.09750644604089,20.24414755512,0,1,1793,1,1,1,21270828,0.546831
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,8,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00558387655353742,0.00855126458730822,0.0029673880337708,0.129874900755657,3.32731961807111,18.8743620548768,0,1,1793,1,1,1,21270829,0.554198
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,8,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0742505522826451,0.117023947433202,0.0427733951505568,0.129874900755657,3.32731961807111,18.8743620548768,0,1,1793,1,1,1,21270829,0.558439
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,8,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00539915073189116,0.00828330357745479,0.00288415284556364,0.129874900755657,3.32731961807111,18.8743620548768,0,1,1793,1,1,1,21270829,0.564251
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,8,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.129874900755657,3.32731961807111,18.8743620548768,0,1,1793,1,1,1,21270829,0.568463
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,9,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00556003745715873,0.00881690105434185,0.00325686359718313,0.128646985474284,3.4016148664277,18.6594684250898,0,1,1793,1,1,1,21270830,0.588104
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,9,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.073406673768396,0.114227237225296,0.0408205634568996,0.128646985474284,3.4016148664277,18.6594684250898,0,1,1793,1,1,1,21270830,0.602505
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,9,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00536593259461126,0.00833700138188689,0.00297106878727563,0.128646985474284,3.4016148664277,18.6594684250898,0,1,1793,1,1,1,21270830,0.616426
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,9,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.128646985474284,3.4016148664277,18.6594684250898,0,1,1793,1,1,1,21270830,0.619945
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,10,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0055365143587595,0.00876985519521521,0.00323334083645571,0.132901981048094,3.39901612355895,19.5574511240666,0,1,1793,1,1,1,21270831,0.636719
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,10,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0769286036027049,0.118543388562774,0.0416147849600694,0.132901981048094,3.39901612355895,19.5574511240666,0,1,1793,1,1,1,21270831,0.644137
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,10,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00542586572599921,0.00837571578560112,0.00294985005960191,0.132901981048094,3.39901612355895,19.5574511240666,0,1,1793,1,1,1,21270831,0.651982
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,10,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.132901981048094,3.39901612355895,19.5574511240666,0,1,1793,1,1,1,21270831,0.653562
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,11,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.005598409560702,0.00849463670571009,0.0028962271450081,0.13320402430038,3.28936579965608,19.5479328050455,0,1,1793,1,1,1,21270832,0.662203
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,11,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0768935013763744,0.122551394060497,0.0456578926841231,0.13320402430038,3.28936579965608,19.5479328050455,0,1,1793,1,1,1,21270832,0.668342
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,11,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00543808799854654,0.00831924256902534,0.0028811545704788,0.13320402430038,3.28936579965608,19.5479328050455,0,1,1793,1,1,1,21270832,0.676501
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,11,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.13320402430038,3.28936579965608,19.5479328050455,0,1,1793,1,1,1,21270832,0.678066
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,12,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00556888453829837,0.00866448079033379,0.00309559625203542,0.129597712541565,3.31882917094478,20.9354435800544,0,1,1793,1,1,1,21270833,0.686496
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,12,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0823364073953477,0.121059672005849,0.0387232646105015,0.129597712541565,3.31882917094478,20.9354435800544,0,1,1793,1,1,1,21270833,0.691618
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,12,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00537454211090272,0.00826468955862092,0.00289014744771821,0.129597712541565,3.31882917094478,20.9354435800544,0,1,1793,1,1,1,21270833,0.698582
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,12,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.129597712541565,3.31882917094478,20.9354435800544,0,1,1793,1,1,1,21270833,0.700075
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,13,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00568351137421922,0.00876411717935019,0.00308060580513097,0.132708018596847,3.221354933791,21.7305616701684,0,1,1793,1,1,1,21270834,0.707652
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,13,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0854602558220396,0.125777752104444,0.0403174962824048,0.132708018596847,3.221354933791,21.7305616701684,0,1,1793,1,1,1,21270834,0.712117
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,13,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00544654376584146,0.00840057320629529,0.00295402944045384,0.132708018596847,3.221354933791,21.7305616701684,0,1,1793,1,1,1,21270834,0.718445
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,13,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.132708018596847,3.221354933791,21.7305616701684,0,1,1793,1,1,1,21270834,0.71988
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,14,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00569341779286545,0.0086117722772257,0.00291835448436025,0.133252099553665,3.38594094269432,19.0110447375969,0,1,1793,1,1,1,21270835,0.72801
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,14,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0747908677058974,0.117340364161743,0.042549496455846,0.133252099553665,3.38594094269432,19.0110447375969,0,1,1793,1,1,1,21270835,0.735649
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,14,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00545170845692036,0.00831497538866945,0.00286326693174909,0.133252099553665,3.38594094269432,19.0110447375969,0,1,1793,1,1,1,21270835,0.744282
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,14,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.133252099553665,3.38594094269432,19.0110447375969,0,1,1793,1,1,1,21270835,0.745646
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,15,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00539082707107864,0.008781016049805,0.00339018897872636,0.126719627649663,3.17305634216478,19.3159029702665,0,1,1793,1,1,1,21270836,0.752897
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,15,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0759757194494353,0.119480552231796,0.0435048327823607,0.126719627649663,3.17305634216478,19.3159029702665,0,1,1793,1,1,1,21270836,0.758523
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,15,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00531870967548768,0.00839857431869664,0.00307986464320896,0.126719627649663,3.17305634216478,19.3159029702665,0,1,1793,1,1,1,21270836,0.765138
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,15,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.126719627649663,3.17305634216478,19.3159029702665,0,1,1793,1,1,1,21270836,0.766582
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,16,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00562294957496647,0.00858161497402199,0.00295866539905551,0.134589813751706,3.28194422786884,22.8058129288581,0,1,1793,1,1,1,21270837,0.775057
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,16,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0896778796816871,0.125683001036906,0.0360051213552192,0.134589813751706,3.28194422786884,22.8058129288581,0,1,1793,1,1,1,21270837,0.779285
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,16,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00548871092763045,0.00829539962502176,0.00280668869739131,0.134589813751706,3.28194422786884,22.8058129288581,0,1,1793,1,1,1,21270837,0.785413
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,16,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.134589813751706,3.28194422786884,22.8058129288581,0,1,1793,1,1,1,21270837,0.786781
