measurement_kind,condition,snr_db,trial,true_id,predicted_id,method,feature,true_class,predicted_class,strict_correct,class_correct,unique_strict_correct,ambiguous,false_unique,best_distance,second_best_distance,distance_margin,class_intra_distance,nearest_class_inter_distance,intra_inter_ratio,nmse,amplitude_rmse_db,raw_phase_rmse_deg,weighted_phase_rmse_deg,valid_phase_fraction,view_count,runtime_s
bidirectional_endpoint_fixed,noise_only,30,1,T2,T2,nominal_nearest,amplitude,{T2},{T2},1,1,1,0,0,0.000535334988323215,0.00651641353908493,0.00598107855076171,0.000535334988323215,0.00651641353908493,0.0821517825890452,0.00101696272849421,0.307147311897508,2.16692769220422,1.76077955282724,1,2,0.012675
bidirectional_endpoint_fixed,noise_only,30,1,T2,T2,nominal_nearest,amplitude_raw_db,{T2},{T2},1,1,1,0,0,0.307166283515181,2.90882439758065,2.60165811406547,0.307166283515181,2.90882439758065,0.105598084150649,0.00101696272849421,0.307147311897508,2.16692769220422,1.76077955282724,1,2,0.006078
bidirectional_endpoint_fixed,noise_only,30,1,T2,T2,nominal_nearest,amplitude_db_standardized,{T2},{T2},1,1,1,0,0,0.0748963898543495,0.664660852745408,0.589764462891058,0.0748963898543495,0.664660852745408,0.112683618337062,0.00101696272849421,0.307147311897508,2.16692769220422,1.76077955282724,1,2,0.005642
bidirectional_endpoint_fixed,noise_only,30,1,T2,T2,nominal_nearest,phase_weighted,{T2},{T2},1,1,1,0,0,0.00978618433135672,0.124753704023585,0.114967519692228,0.00978618433135672,0.124753704023585,0.0784440382588292,0.00101696272849421,0.307147311897508,2.16692769220422,1.76077955282724,1,2,0.005446
bidirectional_endpoint_fixed,noise_only,30,1,T2,T2,nominal_nearest,complex,{T2},{T2},1,1,1,0,0,0.00075300373536505,0.00905363192707636,0.00830062819171131,0.00075300373536505,0.00905363192707636,0.0831714544428374,0.00101696272849421,0.307147311897508,2.16692769220422,1.76077955282724,1,2,0.005583
bidirectional_endpoint_fixed,noise_only,30,1,T2,T2,nominal_nearest,amp_phase_joint_weighted,{T2},{T2},1,1,1,0,0,0.00693022320408999,0.0884007351920451,0.0814705119879551,0.00693022320408999,0.0884007351920451,0.0783955381030996,0.00101696272849421,0.307147311897508,2.16692769220422,1.76077955282724,1,2,0.00546
bidirectional_endpoint_fixed,noise_only,30,1,T3,T3,nominal_nearest,amplitude,{T3},{T3},1,1,1,0,0,0.000523474428631313,0.000920118034448537,0.000396643605817224,0.000523474428631313,0.000920118034448537,0.568920952565669,0.000971532921169266,0.27363175944699,1.76318617286325,1.49302061140167,1,2,0.005648
bidirectional_endpoint_fixed,noise_only,30,1,T3,T3,nominal_nearest,amplitude_raw_db,{T3},{T3},1,1,1,0,0,0.273661180135231,0.429398875231613,0.155737695096382,0.273661180135231,0.429398875231613,0.637312289156839,0.000971532921169266,0.27363175944699,1.76318617286325,1.49302061140167,1,2,0.005481
bidirectional_endpoint_fixed,noise_only,30,1,T3,T3,nominal_nearest,amplitude_db_standardized,{T3},{T3},1,1,1,0,0,0.0758650051692892,0.116445148351812,0.0405801431825229,0.0758650051692892,0.116445148351812,0.651508510600035,0.000971532921169266,0.27363175944699,1.76318617286325,1.49302061140167,1,2,0.005465
bidirectional_endpoint_fixed,noise_only,30,1,T3,T3,nominal_nearest,phase_weighted,{T3},{T3},1,1,1,0,0,0.00829463086077003,0.0179883116909869,0.00969368083021688,0.00829463086077003,0.0179883116909869,0.461112249068159,0.000971532921169266,0.27363175944699,1.76318617286325,1.49302061140167,1,2,0.005512
