true_or_pred,T1,T2,T3,T4,T5,T6
T1,28,2,1,0,0,19
T2,23,9,2,3,0,13
T3,32,5,1,2,0,10
T4,27,6,0,3,0,14
T5,29,3,1,2,0,15
T6,38,2,1,1,0,8
