true_or_pred,T1,T2,T3,T4,T5,T6
T1,48,1,1,0,0,0
T2,27,2,3,0,0,18
T3,29,4,2,0,1,14
T4,23,3,2,1,0,21
T5,30,2,0,1,0,17
T6,18,5,4,3,0,20
