sample_id,replicate_id,grid_id,topology_id,category,outlier_dimension,outlier_severity,eta,in_distance,ext_distance,lambda,relative_improvement,extended_outside,boundary_hit,outward_decrease,minimum_boundary_distance,minimum_sensitivity,condition_number,effective_rank,optimization_converged,experiment_scientific_hash
final01_test_out_source_impedance_ohm_near,final01,B_ofdm_active_subcarriers,G007,parameter_out_of_domain,source_impedance_ohm,near,0.5,0.0590267542458934,0.0111041862880903,0.00336085476368448,0.81187875852627,1,1,1,0,0.566356298630217,189.286687096899,5,0,421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_out_receiver_impedance_ohm_medium,final01,B_ofdm_active_subcarriers,G002,parameter_out_of_domain,receiver_impedance_ohm,medium,0.5,0.0399919134803905,0.0164377385111208,0.00132915389646305,0.588973442849395,1,1,1,1.86085913789213e-05,0.980575415360332,224.935818094204,5,0,421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_out_receiver_impedance_ohm_medium,final01,B_ofdm_active_subcarriers,G005,parameter_out_of_domain,receiver_impedance_ohm,medium,0.5,0.0400079920673584,0.0146123467081054,0.00138711875294393,0.634764306988001,1,1,1,1.86085913789213e-05,0.965758723788139,196.064954936527,5,0,421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_out_joint_parameter_set_far,final01,B_ofdm_active_subcarriers,G004,parameter_out_of_domain,joint_parameter_set,far,0.5,0.213982721017559,0.0976905706416937,0.0362451573017786,0.543465144392565,1,1,1,0,0.511515116955559,212.488770019402,5,0,421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_out_joint_parameter_set_far,final01,B_ofdm_active_subcarriers,G007,parameter_out_of_domain,joint_parameter_set,far,0.5,0.213982721017559,0.097690598548908,0.0362451518492345,0.543465013974492,1,1,1,0,0.494496720274606,174.767836760471,5,0,421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_01,final02,B_ofdm_active_subcarriers,G001,parameter_in_domain,,,0.5,0.0348349158798064,0.00367535182715302,0.00119996315329983,0.894492300749947,1,1,0,0.000109827663582251,0,Inf,3,0,421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_02,final02,B_ofdm_active_subcarriers,G002,parameter_in_domain,,,0.5,0.0175802894481029,0.0172029557109613,1.3124891885781e-05,0.0214634541845283,0,1,0,0.000837005013327285,0.811004570786598,212.17964789307,5,0,421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_02,final02,B_ofdm_active_subcarriers,G005,parameter_in_domain,,,0.5,0.0176991455733875,0.017276592608753,1.47791018591432e-05,0.0238742013199761,0,1,0,0.000840895703861833,0.798155049319912,195.875929914463,5,0,421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_03,final02,B_ofdm_active_subcarriers,G003,parameter_in_domain,,,0.5,0.0517032230313807,0.0191811664103584,0.00230530612697084,0.62901410615455,0,1,0,6.91775454697563e-08,0.782008032249068,246.169769640165,5,0,421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_04,final02,B_ofdm_active_subcarriers,G004,parameter_in_domain,,,0.5,0.0105061158727775,0.00608338641783736,7.33708804234998e-05,0.420967130771798,0,1,0,0.000177506954432971,0.647476294260065,239.519793478716,5,0,421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_04,final02,B_ofdm_active_subcarriers,G007,parameter_in_domain,,,0.5,0.0105641003277778,0.00620553831694428,7.30915099322917e-05,0.412582413569125,0,1,0,0.000183511607508535,0.634420925033843,193.922778628928,5,0,421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_05,final02,B_ofdm_active_subcarriers,G002,parameter_in_domain,,,0.5,0.0363260904251603,0.00764273902334053,0.00126117338579803,0.789607443722141,0,1,0,0.000167679161189316,0.793676088572774,214.746189409435,5,0,421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_05,final02,B_ofdm_active_subcarriers,G005,parameter_in_domain,,,0.5,0.036326155118808,0.00765121585654527,0.00126104844163225,0.789374464974048,0,1,0,0.000167679161189316,0.781047242544754,198.136102682552,5,0,421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
