true_or_pred,T1,T2,T3,T4,T5,T6
T1,50,0,0,0,0,0
T2,50,0,0,0,0,0
T3,42,0,7,0,1,0
T4,0,0,40,0,10,0
T5,41,0,7,0,2,0
T6,0,0,41,0,9,0
