true_or_pred,T1,T2,T3,T4,T5,T6
T1,50,0,0,0,0,0
T2,28,22,0,0,0,0
T3,0,0,37,0,13,0
T4,0,0,40,0,10,0
T5,1,0,38,0,11,0
T6,0,0,40,0,10,0
