sample_id,replicate_id,split,grid_id,scenario_id,best_topology_id,best_equivalence_class,best_distance,margin,rho,best_subband_distance,best_amplitude_distance,best_phase_distance,topology_best_distances,topK_neighborhood_scores,topK_neighborhood_std,stability_value,block_repetitions,uses_topK_cache,distance_evaluations,configuration_hash
final05_final_replication_test_cont_G007_02,final05,final_replication_test,B_ofdm_active_subcarriers,P0_no_prior,G004,"{G004,G007}",0.0889692554010011,0.0114669793533551,0.885828263252934,[0.0352075 0.0740309 0.0794452 0.0916741 0.124298 0.0635477 0.133781 0.0670852],0.0523988119303339,0.626425407073922,[0.26252 0.130477 0.151716 0.0889693 0.130477 0.100436 0.08899],[0.26252 0.26252 0.263254;0.132016 0.133256 0.135505;0.152997 0.153846 0.156277;0.089063 0.0893267 0.0901366;0.132079 0.133409 0.13565;0.100956 0.101109 0.101466;0.089078 0.0893364 0.090156],[0 0 0.00220163;0.00109034 0.00174316 0.00273679;0.00105166 0.0013301 0.00288219;0.000118177 0.000402519 0.000922833;0.00113316 0.00185857 0.00276922;0.000369512 0.000342603 0.00048341;0.000110365 0.000406168 0.000928422],1,30,1,1701,cb4a8948d2c30a9ff5901bc3cb4b64cea7348e122640626cf6b74c9c437dc641
final05_final_replication_test_cont_G007_02,final05,final_replication_test,B_ofdm_active_subcarriers,P1_partial_consistent_prior,G007,"{G007}",0.0889900340001191,0.0414869363461363,0.682036329961359,[0.0207606 0.078944 0.0797976 0.0916995 0.122742 0.0660491 0.133443 0.068389],0.0496291905940075,0.627030181019777,[0.26252 0.151716 0.130477 0.08899],[0.26252 0.26252 0.263254;0.152997 0.153846 0.156277;0.132079 0.133409 0.13565;0.089078 0.0893364 0.090156],[0 0 0.00220163;0.00105166 0.0013301 0.00288219;0.00113316 0.00185857 0.00276922;0.000110365 0.000406168 0.000928422],1,30,1,972,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470
final05_final_replication_test_cont_G007_02,final05,final_replication_test,B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,G006,"{G006}",0.100436234754356,0.0300407355918993,0.769762161759673,[0.111355 0.0773111 0.106152 0.0946558 0.123507 0.0650408 0.131847 0.0723316],0.0614817690946142,0.635645975064872,[0.26252 0.130477 0.130477 0.100436],[0.26252 0.26252 0.263254;0.132016 0.133256 0.135505;0.132079 0.133409 0.13565;0.100956 0.101109 0.101466],[0 0 0.00220163;0.00109034 0.00174316 0.00273679;0.00113316 0.00185857 0.00276922;0.000369512 0.000342603 0.00048341],1,30,1,972,ea7b1f1038fa0e7f944dafa07d86a670bf5d0c86ee37902f05ee261e1b70cb02
final05_final_replication_test_cont_G007_03,final05,final_replication_test,A_stage4a1_quick61,P0_no_prior,G004,"{G004,G007}",0.05811852429497,0.0136282383570545,0.810050825234273,[0.0190644 0.0624615 0.0526588 0.0602925 0.0787639 0.0527007 0.0724569 0.0526375],0.0221422313202575,0.383232359933354,[0.248532 0.11394 0.133134 0.0581185 0.11394 0.0717468 0.0581367],[0.248532 0.248532 0.249363;0.114887 0.116058 0.119153;0.133433 0.134889 0.13812;0.0583023 0.0584685 0.059141;0.114887 0.116238 0.119522;0.0721044 0.0724226 0.0728344;0.05834 0.0584898 0.0591614],[0 2.77556e-17 0.00249278;0.000899868 0.00160002 0.00362783;0.000364715 0.00180827 0.00392531;0.000130366 0.000234491 0.000809172;0.000899868 0.00180104 0.00375851;0.000301676 0.00045571 0.000547475;0.000145545 0.000222417 0.000800196],1,30,1,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85
final05_final_replication_test_cont_G007_03,final05,final_replication_test,A_stage4a1_quick61,P1_partial_consistent_prior,G007,"{G007}",0.0581367331044008,0.0558035703984925,0.510238531200808,[0.0201097 0.0631506 0.0524015 0.0600505 0.0784226 0.0526255 0.0722507 0.0529838],0.022263176341393,0.38316209806284,[0.248532 0.133134 0.11394 0.0581367],[0.248532 0.248532 0.249363;0.133433 0.134889 0.13812;0.114887 0.116238 0.119522;0.05834 0.0584898 0.0591614],[0 2.77556e-17 0.00249278;0.000364715 0.00180827 0.00392531;0.000899868 0.00180104 0.00375851;0.000145545 0.000222417 0.000800196],1,30,1,972,45730c6484f397830c411e04b050555c36fd02843e0f955e1b442cd1d927df0c
final05_final_replication_test_cont_G007_03,final05,final_replication_test,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,G006,"{G006}",0.0717467626520244,0.0421935408508688,0.629687305068245,[0.0924262 0.0611692 0.0727229 0.068153 0.0821395 0.0616221 0.0722165 0.0568882],0.0376600627714404,0.402196723870563,[0.248532 0.11394 0.11394 0.0717468],[0.248532 0.248532 0.249363;0.114887 0.116058 0.119153;0.114887 0.116238 0.119522;0.0721044 0.0724226 0.0728344],[0 2.77556e-17 0.00249278;0.000899868 0.00160002 0.00362783;0.000899868 0.00180104 0.00375851;0.000301676 0.00045571 0.000547475],1,30,1,972,b17052d94dcd7df8157639d4abbec353befae316da88ce43e32c5fe1f8bad4a0
final05_final_replication_test_cont_G007_03,final05,final_replication_test,B_ofdm_active_subcarriers,P0_no_prior,G004,"{G004,G007}",0.0582633885371459,0.0137283310078928,0.809306805067859,[0.0190091 0.0569246 0.0557431 0.0640028 0.075836 0.0534556 0.0708395 0.0521689],0.0219806170103476,0.384632888138285,[0.249477 0.109878 0.135928 0.0582634 0.109878 0.0719917 0.0582964],[0.249477 0.249477 0.250284;0.111109 0.112229 0.11533;0.136221 0.137529 0.14059;0.0584115 0.0586217 0.0593132;0.111109 0.112314 0.115525;0.072408 0.0726754 0.0731016;0.0584744 0.0586547 0.059339],[0 0 0.00241972;0.00112629 0.00163995 0.0035739;0.000414572 0.00163557 0.00374514;0.000114593 0.000272704 0.000855318;0.00112629 0.00173123 0.00366105;0.000317823 0.000409698 0.000530292;0.000148798 0.000249157 0.000839244],1,30,1,1701,cb4a8948d2c30a9ff5901bc3cb4b64cea7348e122640626cf6b74c9c437dc641
final05_final_replication_test_cont_G007_03,final05,final_replication_test,B_ofdm_active_subcarriers,P1_partial_consistent_prior,G007,"{G007}",0.0582964420361086,0.0515812256297601,0.530557694515814,[0.0201594 0.0577434 0.0555211 0.0637026 0.0755354 0.0533083 0.0706894 0.0525279],0.0221123636556817,0.384518631572329,[0.249477 0.135928 0.109878 0.0582964],[0.249477 0.249477 0.250284;0.136221 0.137529 0.14059;0.111109 0.112314 0.115525;0.0584744 0.0586547 0.059339],[0 0 0.00241972;0.000414572 0.00163557 0.00374514;0.00112629 0.00173123 0.00366105;0.000148798 0.000249157 0.000839244],1,30,1,972,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470
final05_final_replication_test_cont_G007_03,final05,final_replication_test,B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,G006,"{G006}",0.0719917195450386,0.0378859481208301,0.655198832244109,[0.0951222 0.0554672 0.0755963 0.0724644 0.0790042 0.0632155 0.0701924 0.0566266],0.0371648642587505,0.404587583246568,[0.249477 0.109878 0.109878 0.0719917],[0.249477 0.249477 0.250284;0.111109 0.112229 0.11533;0.111109 0.112314 0.115525;0.072408 0.0726754 0.0731016],[0 0 0.00241972;0.00112629 0.00163995 0.0035739;0.00112629 0.00173123 0.00366105;0.000317823 0.000409698 0.000530292],1,30,1,972,ea7b1f1038fa0e7f944dafa07d86a670bf5d0c86ee37902f05ee261e1b70cb02
final05_final_replication_test_cont_G007_04,final05,final_replication_test,A_stage4a1_quick61,P0_no_prior,G004,"{G004,G007}",0.0261389158113973,0.0259797953144308,0.50152651986711,[0.0120497 0.0204064 0.0225527 0.0291457 0.024185 0.0345664 0.023144 0.0341576],0.015484066650932,0.13877072235765,[0.227753 0.0895392 0.109321 0.0261389 0.0895392 0.0521187 0.0261389],[0.227753 0.227753 0.22853;0.0907394 0.0916116 0.0936423;0.109891 0.110813 0.112964;0.0268966 0.0275248 0.0290771;0.0909467 0.0918704 0.0941055;0.0523869 0.0529197 0.0542847;0.0270024 0.0276284 0.0291287],[0 0 0.00232885;0.000947463 0.0012983 0.00232211;0.000661257 0.00124044 0.00242639;0.000986162 0.00108429 0.00206256;0.00120266 0.00147182 0.00249999;0.000276723 0.000836624 0.00158751;0.00108231 0.00113615 0.00203933],1,30,1,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85
final05_final_replication_test_cont_G007_04,final05,final_replication_test,A_stage4a1_quick61,P1_partial_consistent_prior,G007,"{G007}",0.0261389158113973,0.063400292749695,0.291927036559307,[0.0120497 0.0204064 0.0225527 0.0291457 0.024185 0.0345664 0.023144 0.0341576],0.015484066650932,0.13877072235765,[0.227753 0.109321 0.0895392 0.0261389],[0.227753 0.227753 0.22853;0.109891 0.110813 0.112964;0.0909467 0.0918704 0.0941055;0.0270024 0.0276284 0.0291287],[0 0 0.00232885;0.000661257 0.00124044 0.00242639;0.00120266 0.00147182 0.00249999;0.00108231 0.00113615 0.00203933],1,30,1,972,45730c6484f397830c411e04b050555c36fd02843e0f955e1b442cd1d927df0c
