sample_id,replicate_id,split,grid_id,scenario_id,method_id,method_family,decision,decision_reason,best_template_id,best_topology_id,best_equivalence_class,accepted_topology_set,baseline_P0_equivalence_class,baseline_P0_equivalence_class_size,prior_conditioned_equivalence_class_size,best_distance,second_distance,margin,rho,subband_max_stat,subband_quantile_stat,neighborhood_score,neighborhood_margin,stability_value,stability_threshold,candidate_count_before_prior,candidate_count_after_prior,parameter_template_count,composite_template_count,configuration_hash,calibration_hash
final01_final_replication_test_cont_G002_03,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G002_P206,G002,"{G002,G005}","G002,G005","{G002,G005}",2,2,0.0405163386884222,0.11522801380816,0.0747116751197381,0.351618823835018,NaN,NaN,0.0410791051777049,0.0783748651152591,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G002_04,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G002_P011,G002,"{G002,G005}","G002,G005","{G002,G005}",2,2,0.169617704648172,0.177759695845048,0.00814199119687556,0.954196640812622,NaN,NaN,0.170276402080752,0.00807471660181791,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G002_05,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G002_P039,G002,"{G002,G005}","G002,G005","{G002,G005}",2,2,0.12173876403156,0.147741582123773,0.026002818092213,0.823997971869201,NaN,NaN,0.121949739941669,0.0263709627470595,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G002_06,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G002_P005,G002,"{G002,G005}","G002,G005","{G002,G005}",2,2,0.173383031257791,0.189969965096008,0.0165869338382173,0.912686545840301,NaN,NaN,0.173739129585455,0.0165813090802607,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_grid_G002_01,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G002_P122,G002,"{G002,G005}","G002,G005","{G002,G005}",2,2,0,0.0966310350221523,0.0966310350221523,0,NaN,NaN,0.00776225642592834,0.0926550143965827,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_grid_G002_02,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G002_P122,G002,"{G002,G005}","G002,G005","{G002,G005}",2,2,0,0.0966310350221523,0.0966310350221523,0,NaN,NaN,0.00776225642592834,0.0926550143965827,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G003_01,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G003_P200,G003,"{G003}","G003","{G003}",1,1,0.0207136373136846,0.129001819743697,0.108288182430012,0.160568566820827,NaN,NaN,0.0221569256593163,0.10749556880288,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G003_02,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G003_P104,G003,"{G003}","G003","{G003}",1,1,0.0277109895629753,0.116022224598987,0.0883112350360119,0.238842080976427,NaN,NaN,0.0283541345644495,0.0892391416175591,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G003_03,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G003_P182,G003,"{G003}","G003","{G003}",1,1,0.0346403178737188,0.127226440908902,0.0925861230351835,0.272272945984946,NaN,NaN,0.0356620537002138,0.092116649933592,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G003_04,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G003_P057,G003,"{G003}","G003","{G003}",1,1,0.110798203408313,0.15462004992288,0.0438218465145671,0.716583673739979,NaN,NaN,0.111597591061953,0.0448834367485493,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
