true_or_pred,T1,T2,T3,T4,T5,T6
T1,48,0,2,0,0,0
T2,0,50,0,0,0,0
T3,3,0,26,0,21,0
T4,0,0,3,41,0,6
T5,2,0,30,1,17,0
T6,1,0,3,6,4,36
