mode,scenario,input_mode,measurement_kind,feature,snr_db,noise_kind,true_id,predicted_id,count
smoke,white_sparse_20,ofdm_sparse_interp,siso_forward,amplitude,20,white_awgn,T4,T4,1
smoke,white_sparse_20,ofdm_sparse_interp,siso_forward,amp_phase_joint_weighted,20,white_awgn,T4,T4,1
smoke,white_sparse_20,ofdm_sparse_interp,siso_forward,cir,20,white_awgn,T4,T4,1
smoke,white_sparse_20,ofdm_sparse_interp,siso_forward,toa,20,white_awgn,T4,T2,1
smoke,white_sparse_20,ofdm_sparse_interp,siso_forward,amplitude,20,white_awgn,T5,T3,1
smoke,white_sparse_20,ofdm_sparse_interp,siso_forward,amp_phase_joint_weighted,20,white_awgn,T5,T3,1
smoke,white_sparse_20,ofdm_sparse_interp,siso_forward,cir,20,white_awgn,T5,T3,1
smoke,white_sparse_20,ofdm_sparse_interp,siso_forward,toa,20,white_awgn,T5,T2,1
smoke,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,amplitude,20,white_awgn,T2,T2,1
smoke,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,amp_phase_joint_weighted,20,white_awgn,T2,T2,1
smoke,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,cir,20,white_awgn,T2,T2,1
smoke,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,toa,20,white_awgn,T2,T2,1
smoke,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,amplitude,20,white_awgn,T3,T3,1
smoke,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,amp_phase_joint_weighted,20,white_awgn,T3,T5,1
smoke,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,cir,20,white_awgn,T3,T3,1
smoke,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,toa,20,white_awgn,T3,T2,1
smoke,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,amplitude,20,white_awgn,T4,T4,1
smoke,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,amp_phase_joint_weighted,20,white_awgn,T4,T4,1
smoke,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,cir,20,white_awgn,T4,T4,1
smoke,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,toa,20,white_awgn,T4,T2,1
smoke,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,amplitude,20,white_awgn,T5,T3,1
smoke,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,amp_phase_joint_weighted,20,white_awgn,T5,T3,1
smoke,white_sparse_20,ofdm_sparse_interp,bidirectional_endpoint_fixed,cir,20,white_awgn,T5,T3,1
