mode,topology_id,cp_samples,nfft,sample_rate_hz,frequency_start_hz,frequency_end_hz,frequency_count,threshold_db,physical_delay_support_samples,physical_delay_support_s,physical_delay_available,energy_99_support_samples,threshold_support_samples,cp_energy_fraction,cp_covers_threshold_support,linear_circular_max_abs,linear_circular_rms,linear_circular_relative_rms,linear_tail_samples,circular_output_samples,linear_output_samples,seed,runtime_s
stage3a_2,T2,0,4096,64000000,2000000,30000000,1793,-40,NaN,NaN,0,4095,4095,0.272645851036398,0,0.00251451977312435,0.00014397553970717,0.0480195941439439,4095,4096,4096,20333821,0.033368
stage3a_2,T2,64,4096,64000000,2000000,30000000,1793,-40,NaN,NaN,0,4095,4095,0.681327140709237,0,0.0025135563092369,0.000142966845863663,0.0480539654626961,4095,4160,4160,20333821,0.048418
stage3a_2,T2,128,4096,64000000,2000000,30000000,1793,-40,NaN,NaN,0,4095,4095,0.690683625846087,0,0.002512484530743,0.000142001399846441,0.0480948899103067,4095,4224,4224,20333821,0.06311
stage3a_2,T2,256,4096,64000000,2000000,30000000,1793,-40,NaN,NaN,0,4095,4095,0.69191206122656,0,0.00250990569913049,0.000140216731229144,0.0482038377788061,4095,4352,4352,20333821,0.074611
stage3a_2,T2,512,4096,64000000,2000000,30000000,1793,-40,NaN,NaN,0,4095,4095,0.692220276023446,0,0.00250148637026777,0.000137516055559633,0.0486432984624062,4095,4608,4608,20333821,0.086282
stage3a_2,T2,1024,4096,64000000,2000000,30000000,1793,-40,NaN,NaN,0,4095,4095,0.692378461437615,0,0.0398950633620582,0.00112701067339276,0.297574437165973,4095,5120,5120,20333821,0.093747
