scenario,feature,sample_count,strict_accuracy,group_accuracy,numeric_tie_rate,mean_distance_gap,group_intra_distance,group_inter_distance,intra_inter_ratio,d_intra_ge_inter,sample_d_intra_ge_inter_rate
main_length_-1percent,amplitude,6,0.83333333333333337,1,0.33333333333333331,0.0026157232307746602,0.0017965063280516718,0.005524955946927943,0.32516210903918397,0,0
main_length_-1percent,amplitude_raw_db,6,0.83333333333333337,1,0.33333333333333331,2.5742864999966382,0.81150708141240235,4.2330730197547988,0.19170637445309388,0,0
main_length_-1percent,amplitude_db_standardized,6,1,1,0.33333333333333331,0.25346595915790932,0.18980058420965074,0.51615218791106121,0.36772213439179591,0,0
main_length_-1percent,phase,6,0.83333333333333337,1,0.33333333333333331,0.059362504449339666,0.10650859728585914,0.17773396230388327,0.59925855421911145,0,0
main_length_-1percent,phase_masked,6,0.83333333333333337,1,0.33333333333333331,0.058844368619029967,0.10679833818520224,0.17750556737291667,0.60166190709293343,0,0
main_length_-1percent,phase_weighted,6,0.83333333333333337,1,0.33333333333333331,0.045747771917256486,0.099898022991397162,0.15754717210615313,0.6340832504698164,0,0
main_length_-1percent,complex,6,0.83333333333333337,1,0.33333333333333331,0.0025098061774571556,0.0078400550314771406,0.011601541014980787,0.67577703870145078,0,0
main_length_-1percent,cir,6,0.83333333333333337,1,0.33333333333333331,0.0016605438737023672,0.0051871556731918371,0.0076758388878664626,0.675777038701451,0,0
main_length_-1percent,amp_phase_joint,6,0.83333333333333337,1,0.33333333333333331,0.04203824041903198,0.075323707504602183,0.12580226398719194,0.59874683584606214,0,0
main_length_+1percent,amplitude,6,0.83333333333333337,1,0.33333333333333331,0.0026608718821403573,0.0017754128400742986,0.00556807528409044,0.31885575346783712,0,0
main_length_+1percent,amplitude_raw_db,6,0.83333333333333337,1,0.33333333333333331,2.5431790434216381,0.81466075356016976,4.2013092748412388,0.19390639923573696,0,0
main_length_+1percent,amplitude_db_standardized,6,0.83333333333333337,1,0.33333333333333331,0.25155596062830304,0.19033977430893967,0.51785047814838647,0.36755739801479748,0,0
main_length_+1percent,phase,6,0.83333333333333337,1,0.33333333333333331,0.065010704613645248,0.10627770188263226,0.20873232942460399,0.50915783949520255,0,0
main_length_+1percent,phase_masked,6,0.83333333333333337,1,0.33333333333333331,0.064414054111013155,0.10657350938213518,0.20843148642147483,0.51131194817000958,0,0
main_length_+1percent,phase_weighted,6,0.83333333333333337,1,0.33333333333333331,0.054630343385277523,0.099155869386989615,0.19030379298069544,0.52103990064479722,0,0
main_length_+1percent,complex,6,0.83333333333333337,1,0.33333333333333331,0.0025991506334744198,0.007749461912644349,0.011618346657866549,0.66700212524622371,0,0
main_length_+1percent,cir,6,0.66666666666666663,1,0.33333333333333331,0.0017196561630979789,0.0051272172405636253,0.0076869578768896931,0.66700212524622371,0,0
main_length_+1percent,amp_phase_joint,6,0.83333333333333337,1,0.33333333333333331,0.04602252833052254,0.07516021791320826,0.1476912019638035,0.50890111877909083,0,0
main_length_-2percent,amplitude,6,0.66666666666666663,1,0.33333333333333331,0.0018380459126717617,0.0034329594013373876,0.0060890854857549503,0.5637889974395317,0,0
main_length_-2percent,amplitude_raw_db,6,0.83333333333333337,1,0.33333333333333331,2.1230445579701436,1.5416431864526323,4.340800102024664,0.35515184993973098,0,0
main_length_-2percent,amplitude_db_standardized,6,1,1,0.33333333333333331,0.16743618223053316,0.35622672655604881,0.5580603617539811,0.63833010005661373,0,0
main_length_-2percent,phase,6,0.33333333333333331,0.33333333333333331,0.16666666666666666,0.030119183626210858,0.2121866551787415,0.21926418879104173,0.9677214338952308,0,0.66666666666666663
main_length_-2percent,phase_masked,6,0.33333333333333331,0.33333333333333331,0.16666666666666666,0.030628889755350053,0.21276155024803897,0.21932937773119998,0.97005495774847705,0,0.66666666666666663
main_length_-2percent,phase_weighted,6,0.5,0.5,0,0.037600963073932507,0.1975177661523565,0.20675084429820204,0.95534200512125389,0,0.5
main_length_-2percent,complex,6,0.83333333333333337,1,0.33333333333333331,0.0010831278639726078,0.015035982318641389,0.016760897772810934,0.89708692949803348,0,0
main_length_-2percent,cir,6,0.83333333333333337,1,0.33333333333333331,0.00071662160811887619,0.009948142031275772,0.011089384656225304,0.89708692949803426,0,0
main_length_-2percent,amp_phase_joint,6,0.33333333333333331,0.33333333333333331,0.16666666666666666,0.021269723942847717,0.15005833959807838,0.1551307431197145,0.96730239654868577,0,0.66666666666666663
main_length_+2percent,amplitude,6,0.66666666666666663,1,0.33333333333333331,0.001936841552303558,0.0033669986006949191,0.0061659110805749899,0.54606668125693059,0,0
