grid_id,scenario_id,sample_count,candidate_count_before_prior,candidate_count_after_prior,parameter_template_count,composite_template_count,experiment_scientific_hash,cache_configuration_hash
A_stage4a1_quick61,P0_no_prior,1310,7,7,243,1701,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d,df8307d03f49f1cd4005cb0161074498996287748ed0f8de09a821022d5065af
B_ofdm_active_subcarriers,P0_no_prior,1310,7,7,243,1701,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d,d8a1d7ff4c137912dff62a05a244a1ba8669b9cff1e4ac22195f5591d7e3f0d0
