sample_id,replicate_id,grid_id,topology_id,parameter_names,sensitivity_norms,singular_values,condition_number,effective_rank,low_sensitivity,experiment_scientific_hash
final01_test_out_source_impedance_ohm_near,final01,A_stage4a1_quick61,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.8780647 1.3226617 0.23279492 0.10689372 0.32226173],[5.9321585 1.0539128 0.37994532 0.15483535 0.031322383],189.390394595045,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_out_receiver_impedance_ohm_medium,final01,A_stage4a1_quick61,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[8.0063038 1.251726 0.21243774 0.18087048 0.32565642],[8.0272634 1.1094405 0.38668282 0.18107527 0.038560937],208.170861819408,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_out_receiver_impedance_ohm_medium,final01,A_stage4a1_quick61,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.7791523 1.1766695 0.20213179 0.18098636 0.31712965],[7.7966317 1.0546983 0.37723475 0.17342645 0.041347042],188.565644468813,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_out_joint_parameter_set_far,final01,A_stage4a1_quick61,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[4.4783144 0.81587448 0.1515673 0.095226305 0.26828095],[4.4951807 0.71759223 0.29995837 0.11382595 0.021135653],212.682368442877,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_out_joint_parameter_set_far,final01,A_stage4a1_quick61,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[4.4783384 0.81587741 0.15156771 0.092369691 0.27204051],[4.4952049 0.71759912 0.30219644 0.11366213 0.02499078],179.874535118868,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_01,final02,A_stage4a1_quick61,G001,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[10.285988 0 0 0.21349424 0.4685827],[10.28599 0.51356982 0.036750821 4.6466957e-18 3.0568477e-19],Inf,3,[false true true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_02,final02,A_stage4a1_quick61,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.243892 0.95720201 0.16861182 0.14828896 0.35327095],[7.2581058 0.84286186 0.39014217 0.14541723 0.039420915],184.118147945173,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_02,final02,A_stage4a1_quick61,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.2483506 0.95965278 0.16882172 0.14857376 0.35294332],[7.2627214 0.84421612 0.39021822 0.14536152 0.037959774],191.326781863654,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_03,final02,A_stage4a1_quick61,G003,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.8807367 0.96522691 0.1773847 0.14885268 0.36476002],[7.8901266 0.88528051 0.40134973 0.15664127 0.03012859],261.881705577287,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_04,final02,A_stage4a1_quick61,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.778024 1.1891956 0.21343833 0.11907799 0.27672097],[5.8131038 1.0040583 0.3374823 0.14584245 0.024180291],240.406693558737,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_04,final02,A_stage4a1_quick61,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.7876649 1.192119 0.21379118 0.11665958 0.28024613],[5.8227256 1.0073032 0.33912219 0.14635172 0.029182237],199.529790465449,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_05,final02,A_stage4a1_quick61,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.352167 0.96820814 0.17006705 0.1457663 0.35954817],[7.3669962 0.84807371 0.39532058 0.14691674 0.038832729],189.711008757949,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_05,final02,A_stage4a1_quick61,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.3521301 0.96819792 0.17006564 0.14559621 0.35981645],[7.3669593 0.84806873 0.39570218 0.14661059 0.037791196],194.938503586536,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_06,final02,A_stage4a1_quick61,G006,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.1091746 1.2089448 0.21463908 0.11189799 0.28092981],[6.1495534 0.98336146 0.33693785 0.1519984 0.020904761],294.169986555509,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_07,final02,A_stage4a1_quick61,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.5893507 1.283693 0.23049476 0.11479545 0.30333052],[5.6376384 1.0515517 0.36547102 0.15536967 0.024224017],232.729293252514,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_07,final02,A_stage4a1_quick61,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.5790308 1.2896671 0.23157595 0.11185971 0.30970823],[5.6287744 1.051544 0.3699727 0.15584376 0.02952777],190.626463692885,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_main_length_scale_medium,final02,A_stage4a1_quick61,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.5514961 1.2258363 0.22270075 0.11591958 0.26643501],[6.5854358 1.0280197 0.33244068 0.15145679 0.023469395],280.59674057855,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_main_length_scale_medium,final02,A_stage4a1_quick61,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.0503658 1.1258095 0.20510913 0.10319703 0.28127948],[6.0816254 0.94244961 0.33237888 0.14337156 0.028305862],214.853920756552,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_branch_length_scale_far,final02,A_stage4a1_quick61,G003,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.8145266 0.91765808 0.16649615 0.14876404 0.33927471],[7.8169841 0.89649208 0.3755504 0.15180267 0.029344069],266.390594594164,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
