true_or_pred,T1,T2,T3,T4,T5,T6
T1,17,1,2,0,0,0
T2,7,2,2,0,1,8
T3,10,3,4,0,1,2
T4,10,0,0,0,0,10
T5,5,1,6,0,3,5
T6,10,0,0,0,0,10
