grid_id,residual_threshold,margin_threshold,sample_count,residual_calibration_count,margin_calibration_count,residual_quantile,margin_quantile,residual_quantile_value,margin_quantile_value,residual_safety_factor,calibration_seed,test_seed,source,configuration_hash
A_stage4a1_quick61,0.192576260242945,0.00630149726018205,56,56,23,0.95,0.05,0.175069327493586,0.00630149726018205,1.1,20261101,20261102,P0 calibration set only,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
B_ofdm_active_subcarriers,0.195930116408432,0.00612766518197704,56,56,23,0.95,0.05,0.178118287644029,0.00612766518197704,1.1,20261101,20261102,P0 calibration set only,371ef4b56b788c9ed57c8e9a90664acb8ba02d9bc66141a0dec80dfe701c8f32
